"","Mouse_ID","Target","delta","NE","HI","MC"
"1","AA_0237","IL.12",-4.82,-4.3775,0,"TRUE"
"2","AA_0237","IRG6",-4.82,-2.4375,0,"TRUE"
"3","AA_0237","CXCR3",-4.82,-4.9775,0,"TRUE"
"4","AA_0240","IL.12",-10.985,-3.815,0.24,"FALSE"
"5","AA_0240","IRG6",-10.985,-1.12,0.24,"FALSE"
"6","AA_0240","CXCR3",-10.985,-3.31,0.24,"FALSE"
"7","AA_0243","CXCR3",-2.375,-4.3525,0.85,"TRUE"
"8","AA_0243","IL.12",-2.375,-3.7775,0.85,"TRUE"
"9","AA_0243","IRG6",-2.375,-1.1425,0.85,"TRUE"
"10","AA_0257","IL.12",-1.61,-6.2875,0,"TRUE"
"11","AA_0257","CXCR3",-1.61,-5.1225,0,"TRUE"
"12","AA_0257","IRG6",-1.61,-1.9725,0,"TRUE"
"13","AA_0259","IL.12",-4.55,-8.785,0.083333333,"TRUE"
"14","AA_0259","IRG6",-4.55,2.14,0.083333333,"TRUE"
"15","AA_0259","CXCR3",-4.55,-6.175,0.083333333,"TRUE"
"16","AA_0261","IL.12",-4.21,-3.445,0,"TRUE"
"17","AA_0261","IRG6",-4.21,-1.32,0,"TRUE"
"18","AA_0261","CXCR3",-4.21,-3.965,0,"TRUE"
"19","AA_0280","IL.12",-12.4033333333333,-7.2125,0.6,"FALSE"
"20","AA_0280","CXCR3",-12.4033333333333,-5.0775,0.6,"FALSE"
"21","AA_0280","IRG6",-12.4033333333333,-3.2875,0.6,"FALSE"
"22","AA_0298","CXCR3",-4.73,-5.0075,0.76,"TRUE"
"23","AA_0298","IL.12",-4.73,-10.2925,0.76,"TRUE"
"24","AA_0298","IRG6",-4.73,-5.9775,0.76,"TRUE"
"25","AA_0301","IL.12",-3.73666666666667,-4.0175,0.782608696,"FALSE"
"26","AA_0301","CXCR3",-3.73666666666667,-3.5275,0.782608696,"FALSE"
"27","AA_0301","IRG6",-3.73666666666667,-2.3575,0.782608696,"FALSE"
"28","AA_0303","IRG6",-2.07,-2.56,0.2,"TRUE"
"29","AA_0303","CXCR3",-2.07,-4.975,0.2,"TRUE"
"30","AA_0303","IL.12",-2.07,-4.845,0.2,"TRUE"
"31","AA_0311","IL.12",-15.6,-10.32,0.88,"FALSE"
"32","AA_0311","CXCR3",-15.6,-10.1,0.88,"FALSE"
"33","AA_0311","IRG6",-15.6,-10.85,0.88,"FALSE"
"34","AA_0312","IRG6",-11.41,-3.9425,0.96,"FALSE"
"35","AA_0312","CXCR3",-11.41,-3.8275,0.96,"FALSE"
"36","AA_0312","IL.12",-11.41,-9.87250000000001,0.96,"FALSE"
"37","AA_0314","CXCR3",-2.82,-5.265,0.3,"TRUE"
"38","AA_0314","IRG6",-2.82,-3.285,0.3,"TRUE"
"39","AA_0314","IL.12",-2.82,-6.72,0.3,"TRUE"
"40","AA_0316","IL.12",-3.06,-9.3025,0.631578947,"TRUE"
"41","AA_0316","IRG6",-3.06,-3.1925,0.631578947,"TRUE"
"42","AA_0316","CXCR3",-3.06,-5.4625,0.631578947,"TRUE"
"43","AA_0323","IRG6",-3.605,-2.315,0.826086957,"FALSE"
"44","AA_0323","CXCR3",-3.605,-3.175,0.826086957,"FALSE"
"45","AA_0323","IL.12",-3.605,-4.095,0.826086957,"FALSE"
"46","AA_0338","IL.12",-15.57,-3.9425,0.15,"FALSE"
"47","AA_0338","IRG6",-15.57,-2.3675,0.15,"FALSE"
"48","AA_0338","CXCR3",-15.57,-4.5825,0.15,"FALSE"
"49","AA_0345","IRG6",-7.83,-1.6075,0.8,"TRUE"
"50","AA_0345","IL.12",-7.83,-2.6975,0.8,"TRUE"
"51","AA_0345","CXCR3",-7.83,-4.6575,0.8,"TRUE"
"52","AA_0347","IRG6",-10.955,-3.61,0.705882353,"TRUE"
"53","AA_0347","IL.12",-10.955,-5.09,0.705882353,"TRUE"
"54","AA_0347","CXCR3",-10.955,-6.385,0.705882353,"TRUE"
"55","AA_0348","IL.12",-4.945,NA,0.777777778,"TRUE"
"56","AA_0348","IRG6",-4.945,NA,0.777777778,"TRUE"
"57","AA_0348","CXCR3",-4.945,NA,0.777777778,"TRUE"
"58","AA_0352","CXCR3",-12.66,2.665,0.8,"FALSE"
"59","AA_0352","IL.12",-12.66,-7.065,0.8,"FALSE"
"60","AA_0352","IRG6",-12.66,-2.515,0.8,"FALSE"
"61","AA_0358","IL.12",-13.27,-5.155,0.64,"TRUE"
"62","AA_0358","IRG6",-13.27,-2.815,0.64,"TRUE"
"63","AA_0358","CXCR3",-13.27,-4.08,0.64,"TRUE"
"64","AA_0360","IRG6",-13.48,-2.3375,0.739130435,"FALSE"
"65","AA_0360","IL.12",-13.48,-4.3275,0.739130435,"FALSE"
"66","AA_0360","CXCR3",-13.48,-5.0025,0.739130435,"FALSE"
"67","AA_0370","CXCR3",-12.48,-3.2475,0.08,"TRUE"
"68","AA_0370","IL.12",-12.48,-3.9575,0.08,"TRUE"
"69","AA_0370","IRG6",-12.48,-2.0175,0.08,"TRUE"
"70","AA_0375","CXCR3",-12.34,-4.67,0.75,"FALSE"
"71","AA_0375","IRG6",-12.34,-3.035,0.75,"FALSE"
"72","AA_0375","IL.12",-12.34,-4.755,0.75,"FALSE"
"73","AA_0376","CXCR3",-10.3,-4.6425,0.913043478,"TRUE"
"74","AA_0376","IRG6",-10.3,-3.0825,0.913043478,"TRUE"
"75","AA_0376","IL.12",-10.3,-4.4025,0.913043478,"TRUE"
"76","AA_0389","IL.12",-10.2766666666667,-4.9925,0.65,"TRUE"
"77","AA_0389","IRG6",-10.2766666666667,-3.0775,0.65,"TRUE"
"78","AA_0389","CXCR3",-10.2766666666667,-4.9975,0.65,"TRUE"
"79","AA_0390","IL.12",-7.77,-4.955,0.25,"FALSE"
"80","AA_0390","CXCR3",-7.77,-2.14,0.25,"FALSE"
"81","AA_0390","IRG6",-7.77,-3.315,0.25,"FALSE"
"82","AA_0393","IRG6",-14.115,-2.055,0.869565217,"FALSE"
"83","AA_0393","CXCR3",-14.115,-3.875,0.869565217,"FALSE"
"84","AA_0393","IL.12",-14.115,-4.5,0.869565217,"FALSE"
"85","AA_0395","IRG6",-12.765,-2.655,0.869565217,"FALSE"
"86","AA_0395","CXCR3",-12.765,-5.31,0.869565217,"FALSE"
"87","AA_0395","IL.12",-12.765,-4.12,0.869565217,"FALSE"
"88","AA_0396","IL.12",-4.79,-6.1075,0.826086957,"TRUE"
"89","AA_0396","CXCR3",-4.79,-4.6825,0.826086957,"TRUE"
"90","AA_0396","IRG6",-4.79,-2.9575,0.826086957,"TRUE"
"91","AA_0404","CXCR3",-14.99,-4.52,0.8,"FALSE"
"92","AA_0404","IL.12",-14.99,-7.66,0.8,"FALSE"
"93","AA_0404","IRG6",-14.99,-2.985,0.8,"FALSE"
"94","AA_0406","IL.12",-0.959999999999997,-7.2375,0.92,"FALSE"
"95","AA_0406","IRG6",-0.959999999999997,-3.8425,0.92,"FALSE"
"96","AA_0406","CXCR3",-0.959999999999997,-6.1475,0.92,"FALSE"
"97","AA_0408","IL.12",-9.07,-6.5175,0.8,"TRUE"
"98","AA_0408","IRG6",-9.07,1.8175,0.8,"TRUE"
"99","AA_0408","CXCR3",-9.07,-6.2525,0.8,"TRUE"
"100","AA_0413","IL.12",-2.85,-9.7375,0.391304348,"TRUE"
"101","AA_0413","IRG6",-2.85,-7.1125,0.391304348,"TRUE"
"102","AA_0413","CXCR3",-2.85,-6.9875,0.391304348,"TRUE"
"103","AA_0424","CXCR3",-4.555,-1.4575,0.88,"FALSE"
"104","AA_0424","IL.12",-4.555,-1.4825,0.88,"FALSE"
"105","AA_0424","IRG6",-4.555,0.087499999999995,0.88,"FALSE"
"106","AA_0428","IRG6",-1.13,-3.8875,0.826086957,"TRUE"
"107","AA_0428","CXCR3",-1.13,-5.9525,0.826086957,"TRUE"
"108","AA_0428","IL.12",-1.13,-4.6175,0.826086957,"TRUE"
"109","AA_0429","IL.12",-2.495,-4.3,1,"FALSE"
"110","AA_0429","CXCR3",-2.495,-4.72,1,"FALSE"
"111","AA_0429","IRG6",-2.495,-2.505,1,"FALSE"
"112","AA_0431","IRG6",-4.985,6.325,0.894736842,"TRUE"
"113","AA_0431","CXCR3",-4.985,-2.155,0.894736842,"TRUE"
"114","AA_0431","IL.12",-4.985,-5.55,0.894736842,"TRUE"
"115","AA_0432","CXCR3",-3.68,-3.9175,0.043478261,"FALSE"
"116","AA_0432","IL.12",-3.68,-5.1075,0.043478261,"FALSE"
"117","AA_0432","IRG6",-3.68,-3.2675,0.043478261,"FALSE"
"118","AA_0434","CXCR3",-4.935,-4.5075,0.736842105,"TRUE"
"119","AA_0434","IL.12",-4.935,-4.0225,0.736842105,"TRUE"
"120","AA_0434","IRG6",-4.935,-2.1225,0.736842105,"TRUE"
"121","AA_0437","IRG6",-12.24,-2.285,0.052631579,"FALSE"
"122","AA_0437","CXCR3",-12.24,-4.72,0.052631579,"FALSE"
"123","AA_0437","IL.12",-12.24,-3.24,0.052631579,"FALSE"
"124","AA_0438","IL.12",-10.39,-1.7125,0.947368421,"FALSE"
"125","AA_0438","IRG6",-10.39,-0.127500000000001,0.947368421,"FALSE"
"126","AA_0438","CXCR3",-10.39,-2.9875,0.947368421,"FALSE"
"127","AA_0446","IRG6",-3.53,-1.91,0.842105263,"TRUE"
"128","AA_0446","IL.12",-3.53,-6.28,0.842105263,"TRUE"
"129","AA_0446","CXCR3",-3.53,-4.145,0.842105263,"TRUE"
"130","AA_0454","CXCR3",1.33,-5.1075,0.826086957,"TRUE"
"131","AA_0454","IL.12",1.33,-7.8425,0.826086957,"TRUE"
"132","AA_0454","IRG6",1.33,-4.3475,0.826086957,"TRUE"
"133","AA_0458","IL.12",0.350000000000001,-4.56,0.826086957,"TRUE"
"134","AA_0458","IRG6",0.350000000000001,-2.625,0.826086957,"TRUE"
"135","AA_0458","CXCR3",0.350000000000001,-4.82,0.826086957,"TRUE"
"136","AA_0460","IRG6",-3.75,-7.575,0.25,"FALSE"
"137","AA_0460","CXCR3",-3.75,-3.425,0.25,"FALSE"
"138","AA_0460","IL.12",-3.75,NA,0.25,"FALSE"
"139","AA_0465","IRG6",-2.84,-2.81999999999999,0.083333333,"TRUE"
"140","AA_0465","IL.12",-2.84,-6.245,0.083333333,"TRUE"
"141","AA_0465","CXCR3",-2.84,-4.66999999999999,0.083333333,"TRUE"
"142","AA_0524","CXCR3",-5.29,-4.30833333333333,0.8,"TRUE"
"143","AA_0524","IL.12",-5.29,-3.915,0.8,"TRUE"
"144","AA_0524","IRG6",-5.29,-1.36833333333333,0.8,"TRUE"
"145","AA_0525","IL.12",-1.53,-3.48666666666667,0.578947368,"TRUE"
"146","AA_0525","IRG6",-1.53,-2.24333333333334,0.578947368,"TRUE"
"147","AA_0525","CXCR3",-1.53,-5.49333333333334,0.578947368,"TRUE"
"148","AA_0526","IRG6",-8.55,-2.54166666666666,0.789473684,"FALSE"
"149","AA_0526","IL.12",-8.55,-4.04833333333333,0.789473684,"FALSE"
"150","AA_0526","CXCR3",-8.55,-5.12166666666667,0.789473684,"FALSE"
"151","AA_0527","IL.12",-7.02,-3.72833333333333,0.8,"FALSE"
"152","AA_0527","CXCR3",-7.02,-4.14166666666667,0.8,"FALSE"
"153","AA_0527","IRG6",-7.02,-1.62833333333333,0.8,"FALSE"
"154","AA_0528","IL.12",-10.36,-3.9,0,"FALSE"
"155","AA_0528","CXCR3",-10.36,-4.03666666666667,0,"FALSE"
"156","AA_0528","IRG6",-10.36,-2.58333333333334,0,"FALSE"
"157","AA_0529","CXCR3",-10.38,-4.24,0.05,"FALSE"
