"","Mouse_ID","Year","delta","HI","Target","NE","MC"
"55","AA_0348","2017",-4.945,0.777777778,"IL.12",NA,"pos"
"56","AA_0348","2017",-4.945,0.777777778,"IRG6",NA,"pos"
"57","AA_0348","2017",-4.945,0.777777778,"CXCR3",NA,"pos"
"138","AA_0460","2017",-3.75,0.25,"IL.12",NA,"neg"
"193","AA_0542","2018",-1.69,0.882352941,"CXCR3",NA,"pos"
"195","AA_0542","2018",-1.69,0.882352941,"IL.12",NA,"pos"
"231","AA_0555","2018",-4.85,0.88,"IL.12",NA,"pos"
"238","AA_0561","2018",1.31,0.869565217,"CXCR3",NA,"pos"
"239","AA_0561","2018",1.31,0.869565217,"IL.12",NA,"pos"
"240","AA_0561","2018",1.31,0.869565217,"IRG6",NA,"pos"
"247","AA_0579","2018",-0.100000000000001,0.95,"IRG6",NA,"pos"
"248","AA_0579","2018",-0.100000000000001,0.95,"IL.12",NA,"pos"
"249","AA_0579","2018",-0.100000000000001,0.95,"CXCR3",NA,"pos"
"250","AA_0591","2018",3.25,0.611111111,"CXCR3",NA,"pos"
"251","AA_0591","2018",3.25,0.611111111,"IL.12",NA,"pos"
"252","AA_0591","2018",3.25,0.611111111,"IRG6",NA,"pos"
"259","AA_0631","2018",-7.74,0.777777778,"CXCR3",NA,"pos"
"260","AA_0631","2018",-7.74,0.777777778,"IL.12",NA,"pos"
