"Mouse_ID","MC.Eimeria","delta_ct_cewe_MminusE","eimeriaSpecies","OPG","Sex","Latitude","Longitude","Year","HI"
"AA_0116",NA,NA,"Negative",0,"M",52.9783,13.7336,2016,0.882352941
"AA_0117",NA,-8.7266666667,"Negative",0,"F",52.9783,13.7336,2016,0.92
"AA_0118",NA,-9.17,"Negative",0,"F",52.9783,13.7336,2016,0.913043478
"AA_0119",NA,-8.5833333333,"Negative",0,"F",52.9783,13.7336,2016,0.869565217
"AA_0120",NA,-2.77,"E_ferrisi",0,"F",52.9581,13.895,2016,0.869565217
"AA_0121",NA,-3.1266666667,"E_ferrisi",NA,"F",52.9581,13.895,2016,0.888888889
"AA_0122",NA,-9.24,"Negative",0,"F",52.9783,13.7336,2016,1
"AA_0123",NA,-8.6866666667,"Negative",0,"F",52.9936,13.3047,2016,0
"AA_0124",NA,-9.2133333333,"Negative",0,"F",52.9936,13.3047,2016,0.04
"AA_0125",NA,-7.8933333333,"Negative",0,"F",52.9936,13.3047,2016,0.043478261
"AA_0126",NA,-9.4333333333,"Negative",0,"F",52.7544,13.7875,2016,0.235294118
"AA_0127",NA,-9.0333333333,"Negative",0,"M",53.0322,13.2567,2016,0.05
"AA_0128",NA,-9.2133333333,"Negative",0,"M",53.0386,13.1869,2016,0
"AA_0129",NA,-9.53,"Negative",0,"F",53.0322,13.2567,2016,0
"AA_0130",NA,-8.5466666667,"Negative",0,"F",52.1583,13.5878,2016,0
"AA_0131",NA,-9.18,"Negative",0,"M",52.1583,13.5878,2016,0
"AA_0132",NA,-8.97,"Negative",0,"M",52.1583,13.5878,2016,0
"AA_0133",NA,-9.3033333333,"Negative",0,"M",52.1303,13.6086,2016,0
"AA_0134",NA,-9.1433333333,"Negative",0,"F",52.1583,13.5878,2016,0
"AA_0135",NA,-8.84,"Negative",0,"M",52.1583,13.5878,2016,0
"AA_0136",NA,-8.6933333333,"Negative",0,"M",52.7544,13.7875,2016,0.1
"AA_0137",NA,-8.59,"Negative",93750,"F",52.7544,13.7875,2016,0.130434783
"AA_0138",NA,-8.21,"Negative",0,"F",52.4206,14.1167,2016,0.84
"AA_0139",NA,-1.9033333333,"E_ferrisi",NA,"M",52.4317,14.0403,2016,0.85
"AA_0140",NA,4.39,"E_vermiformis",18750,"F",53.1164,13.7731,2016,0.8
"AA_0141",NA,-8.7066666667,"Negative",0,"M",53.1164,13.7731,2016,0.875
"AA_0142",NA,-8.5433333333,"Negative",0,"F",53.1164,13.7731,2016,0.782608696
"AA_0143",NA,-6.5333333333,"Negative",0,"M",52.7881,13.5544,2016,0
"AA_0144",NA,-9.25,"Negative",0,"F",52.7,14.0828,2016,0.869565217
"AA_0145",NA,-8.37,"Negative",0,"F",52.6703,14.0589,2016,0.92
"AA_0146",NA,-9,"Negative",0,"M",51.8978,13.81,2016,0.2
"AA_0147",NA,-8.7833333333,"Negative",0,"F",51.8853,13.7875,2016,0.173913043
"AA_0148",NA,-8.3766666667,"Negative",0,"M",51.8978,13.81,2016,0.05
