Mouse_ID,Longitude,Latitude
ZZ_0005,13.52381,52.75755
ZZ_0011,14.0767,51.83075
ZZ_0016,13.83407,52.26942
ZZ_0054,13.91784,52.19469
ZZ_0056,11.9645,53.61532
ZZ_0062,13.64141,52.77697
ZZ_0067,13.69555,52.58066
ZZ_0068,13.72034,52.64944
ZZ_0069,13.72034,52.64944
ZZ_0072,13.90839,52.61075
ZZ_0073,13.63505,52.63889
