"Mouse_ID","delta_ct_cewe_MminusE","Ct_Mus","Ct1_Mus","Ct2_Mus","Ct3_Mus","Ct_Eim","Ct1_Eim","Ct2_Eim","Ct3_Eim","Tm1_Mus","Tm2_Mus","Tm3_Mus","Tm4_Mus","Tm1_Eim","Tm2_Eim","Tm3_Eim","Tm4_Eim","Ct_StDev_Mus","Ct_StDev_Eim","plate"
"AA_0860",-9.8854468226461,22.4847244364986,22.3466534664529,22.3466534664529,22.3466534664529,32.3701712591447,32.6755074991342,32.6755074991342,32.6755074991342,79.7627410888672,NA,NA,NA,82.9319000244141,NA,NA,NA,0.246381321530684,0.387012091180219,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0861",-9.3996128868393,25.7073318405764,24.7419256038901,24.7419256038901,24.7419256038901,35.1069447274157,34.3913135061578,34.3913135061578,34.3913135061578,79.9136505126953,NA,NA,NA,78.8572616577148,78.5554351806641,NA,NA,0.842324961281011,1.45403523175357,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0862",-8.4923959673877,22.8613677360388,22.8570146671575,22.8570146671575,22.8570146671575,31.3537637034265,31.2773587383387,31.2773587383387,31.2773587383387,79.7627410888672,NA,NA,NA,79.4609146118164,73.4244079589844,82.7809906005859,61.9550590515137,0.147653534306416,0.0663730596255658,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0863",-3.3942954910254,21.8820095235644,21.7355090301844,21.7355090301844,21.7355090301844,25.2763050145898,24.8784794856766,24.8784794856766,24.8784794856766,79.9136505126953,NA,NA,NA,75.3862762451172,NA,NA,NA,0.136471239804995,0.362702968161011,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0865",-8.8191172552035,24.5598700254749,23.6461441103319,23.6461441103319,23.6461441103319,33.3789872806784,32.6906317626965,32.6906317626965,32.6906317626965,79.7627410888672,NA,NA,NA,78.8572616577148,78.7063522338867,82.7809906005859,62.1059722900391,0.824504599299241,0.854713413994426,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0866",-9.5638697978864,21.4863003904203,20.9338231533313,20.9338231533313,20.9338231533313,31.0501701883067,31.2100500865982,31.2100500865982,31.2100500865982,79.3099975585938,NA,NA,NA,78.8572616577148,77.951789855957,NA,NA,0.483997587412677,0.198273823895985,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0867",-9.7861903982406,21.47721567251,21.427891021894,21.427891021894,21.427891021894,31.2634060707506,30.9433263048898,30.9433263048898,30.9433263048898,79.7627410888672,NA,NA,NA,74.7826232910156,82.6300811767578,79.6118240356445,62.1059722900391,0.0786924727749019,0.317563186237353,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0869",-8.5000815597896,23.2238194919369,23.1311769619164,23.1311769619164,23.1311769619164,31.7239010517265,32.5657643731562,32.5657643731562,32.5657643731562,79.6118240356445,NA,NA,NA,75.0844497680664,82.7809906005859,78.4045257568359,NA,0.089315537896299,0.731714202408543,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0871",-3.3373866945759,26.8405656798241,26.6701415057821,26.6701415057821,26.6701415057821,30.1779523744,30.0683287870594,30.0683287870594,30.0683287870594,80.0975570678711,NA,NA,NA,75.5444869995117,NA,NA,NA,0.148340399523339,0.0951998088745647,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0872",-0.7639224639506,32.3249118866865,30.7726074563063,30.7726074563063,30.7726074563063,33.0888343506371,32.6886868009249,32.6886868009249,32.6886868009249,79.9463958740234,NA,NA,NA,79.7721862792969,71.6327362060547,NA,NA,1.67981595159441,2.41175981205129,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0873",-2.5860720285538,31.3807007976652,30.7338522434826,30.7338522434826,30.7338522434826,33.966772826219,33.8423472116939,33.8423472116939,33.8423472116939,79.9463958740234,NA,NA,NA,77.3563537597656,83.2718658447266,NA,NA,0.584802849833617,0.594483235362338,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0875",-1.7183142527954,23.3786186400935,27.8252861235253,27.8252861235253,27.8252861235253,25.0969328928889,24.6046503748245,24.6046503748245,24.6046503748245,79.7952423095703,NA,NA,NA,75.3934936523438,NA,NA,NA,3.87985175832591,0.50186003829192,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
"AA_0876",1.2048185663148,23.7244207119687,24.4145624035074,24.4145624035074,24.4145624035074,22.5196021456539,22.4620208720094,22.4620208720094,22.4620208720094,79.7952423095703,NA,NA,NA,75.2425079345703,NA,NA,NA,0.725151752620566,0.0878502541461469,"qPCR_eimeria_field_CEWE_JK_25022022.eds"
