"Mouse_ID","Target","Task","Reporter","Amp.Status","Amp.Score","Cq.Confidence","Cq.Mean","Cq.SD","Threshold","Auto.Baseline","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","plate","Ct1","Ct2","Ct3","FEC_Eim_Ct1","FEC_Eim_Ct2","FEC_Eim_Ct3"
"AA_0524","Eim","UNKNOWN","SYBR","Amp",1.44478697878946,0.92387186053926,25.1663749622532,0.275868175518563,0.103987900813344,"TRUE",3,21,75.5411071777344,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",25.4722242504082,24.9363438335892,25.0905568027622,25.4722242504082,24.9363438335892,25.0905568027622
"AA_0525","Eim","UNKNOWN","SYBR","Amp",1.45429199138094,0.949701974776987,21.0782407826769,0.431284113785721,0.0909914659255709,"TRUE",3,18,75.0938949584961,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022.eds",21.5561953258138,20.9604063104202,20.7181207117969,21.5561953258138,20.9604063104202,20.7181207117969
"AA_0526","Eim","UNKNOWN","SYBR","Amp",1.40466112425336,0.855394160556969,32.2630557708503,0.565535868488429,0.0601103991645981,"TRUE",3,28,79.9340286254883,83.2573318481445,77.9702606201172,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",31.9041253690276,31.9700725158085,32.9149694277149,31.9041253690276,31.9700725158085,32.9149694277149
"AA_0527","Eim","UNKNOWN","SYBR","Amp",1.48166145259474,0.984935416596901,22.4515499417248,0.285129664659165,0.106609839384532,"TRUE",3,18,75.0838851928711,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_3.eds",22.7638793299114,22.3855888541278,22.2051816411352,22.7638793299114,22.3855888541278,22.2051816411352
"AA_0529","Eim","UNKNOWN","SYBR","Amp",1.47808319491579,0.933388987010787,29.5583018467262,0.31784757834497,0.0909914659255709,"TRUE",3,25,84.0034790039062,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022.eds",29.1917753081136,29.7251089491274,29.7580212829375,29.1917753081136,29.7251089491274,29.7580212829375
"AA_0533","Eim","UNKNOWN","SYBR","Amp",1.46335104245509,0.858736240898727,30.5293300480807,0.0964582639184347,0.0601103991645981,"TRUE",3,28,80.998405456543,74.8025054931641,62.4107131958008,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",30.5142954559483,30.4412718898825,30.6324227984115,30.5142954559483,30.4412718898825,30.6324227984115
"AA_0535","Eim","UNKNOWN","SYBR","Amp",1.43594957327461,0.907751105285094,27.496519109002,0.192982203085957,0.103987900813344,"TRUE",3,23,75.6920471191406,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",27.539458922411,27.6644146163154,27.2856837882797,27.539458922411,27.6644146163154,27.2856837882797
"AA_0538","Eim","UNKNOWN","SYBR","No Amp",0,0,35.3559712207677,NA,0.103987900813344,"TRUE",3,39,75.9939346313477,72.0693969726562,85.3524475097656,64.6731567382812,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",NA,35.3559712207677,NA,NA,35.3559712207677,NA
"AA_0540","Eim","UNKNOWN","SYBR","Amp",1.43064817512241,0.819283017056488,25.5015479311307,0.0194734106148798,0.0697698200514773,"TRUE",3,22,75.4192123413086,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",25.481793574028,25.5207276766715,25.5021225426928,25.481793574028,25.5207276766715,25.5021225426928
"AA_0542","Eim","UNKNOWN","SYBR","Amp",1.5004294374751,0.967815442010155,19.6600362137816,0.211611832119925,0.103987900813344,"TRUE",3,15,75.2496185302734,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",19.8585661777477,19.6841363709137,19.4374060926835,19.8585661777477,19.6841363709137,19.4374060926835
"AA_0543","Eim","UNKNOWN","SYBR","Amp",1.45280363883363,0.727668702039541,32.6931067991843,0.717736482409216,0.103987900813344,"TRUE",3,28,80.9898071289062,78.4380950927734,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",32.0670137531779,33.476420566941,32.5358860774339,32.0670137531779,33.476420566941,32.5358860774339
"AA_0544","Eim","UNKNOWN","SYBR","Amp",1.34860392251127,0.868698958089395,33.0238802661614,0.278797536978026,0.0601103991645981,"TRUE",3,29,84.6168670654297,83.5428466796875,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",32.7178408824216,33.2634042257002,33.0903956903625,32.7178408824216,33.2634042257002,33.0903956903625
"AA_0545","Eim","UNKNOWN","SYBR","Amp",1.39081594415153,0.696301291006593,30.6503985788715,0.42880127204787,0.0601103991645981,"TRUE",3,27,82.0562438964844,83.8696746826172,79.7894515991211,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",30.4719310916206,30.3396541382099,31.1396105067842,30.4719310916206,30.3396541382099,31.1396105067842
"AA_0547","Eim","UNKNOWN","SYBR","Amp",1.43658709483292,0.959737052491535,31.1281001707893,0.647831907197244,0.106609839384532,"TRUE",3,25,84.2886505126953,77.6491470336914,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_3.eds",30.4414614370272,31.2143560883894,31.7284829869513,30.4414614370272,31.2143560883894,31.7284829869513
"AA_0552","Eim","UNKNOWN","SYBR","Amp",1.44261244830557,0.886042059175701,31.4874185111014,0.763183639092984,0.0601103991645981,"TRUE",3,26,80.2428131103516,86.1364669799805,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",30.708035333962,32.2332991848111,31.520921014531,30.708035333962,32.2332991848111,31.520921014531
"AA_0553","Eim","UNKNOWN","SYBR","Inconclusive",1.00138447575926,0.797670597409313,35.4653452262241,2.19525123935849,0.0970454119866894,"TRUE",3,33,83.9957275390625,65.2769317626953,78.1083602905273,NA,"qPCR_eimeria_field_faeces_JK_03022022_2.eds",38,34.1702349806588,34.2258006980136,38,34.1702349806588,34.2258006980136
"AA_0554","Eim","UNKNOWN","SYBR","Amp",1.46020638790903,0.938742947913363,19.3996804001041,0.279558421622193,0.0697698200514773,"TRUE",3,16,75.5704498291016,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",19.6672521277511,19.4222816809663,19.1095073915949,19.6672521277511,19.4222816809663,19.1095073915949
"AA_0559","Eim","UNKNOWN","SYBR","Amp",1.45777876006566,0.901189858572265,20.713121754199,0.284237729969491,0.0697698200514773,"TRUE",3,17,75.5513458251953,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",22.8139543987782,22.7061137016402,20.713121754199,22.8139543987782,22.7061137016402,20.713121754199
"AA_0560","Eim","UNKNOWN","SYBR","Amp",1.41546630597877,0.896560094012512,33.2810161831122,0.698737744097342,0.0697698200514773,"TRUE",3,30,81.5931167602539,79.1764068603516,75.2492599487305,93.8276901245117,"qPCR_eimeria_field_faeces_07022022.eds",36.5864783784417,36.172666048033,33.2810161831122,36.5864783784417,36.172666048033,33.2810161831122
"AA_0561","Eim","UNKNOWN","SYBR","Amp",1.43847024112771,0.848893148046162,21.1401397425384,0.108182538050343,0.0697698200514773,"TRUE",3,17,75.4003067016602,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",21.2496717311024,21.1373883534158,21.0333591430969,21.2496717311024,21.1373883534158,21.0333591430969
"AA_0563","Eim","UNKNOWN","SYBR","Amp",1.44311457688066,0.820208762089168,18.3163561520775,0.226899715978867,0.0697698200514773,"TRUE",3,15,75.5513458251953,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",20.8194571773882,20.6238288543684,18.3163561520775,20.8194571773882,20.6238288543684,18.3163561520775
