"Mouse_ID","Target","Task","Reporter","Amp Status","Amp Score","Cq Confidence","ILWE_Crypto_Ct","Cq SD","Threshold","Auto Baseline","Baseline Start","Baseline End","plate","ILWE_Crypto_Ct1","ILWE_Crypto_Ct2","ILWE_Crypto_Ct3"
"AA_0523","Unknown","UNKNOWN","FAM","Amp",1.4350338682714,0.789370850040021,24.47,0.24242575766067,0.0703220092871635,"TRUE",3,21,"HZ19_ILWE_Crypto_Plate7.eds",24.5747280615753,24.6427489897847,24.1929974897866
"AA_0570","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0703220092871635,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate7.eds",NA,NA,NA
"AA_0681","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0682","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0683","Unknown","UNKNOWN","FAM","No Amp",0.752245132718724,0,0,NA,0.265073790415862,"TRUE",3,36,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0684","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0685","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.265073790415862,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate5.eds",NA,NA,NA
"AA_0686","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0687","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.269380199710307,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate1.eds",NA,NA,NA
"AA_0688","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0399999991059303,"TRUE",3,39,"HZ19_ILWE_Crypto_Plate4.eds",NA,NA,NA
"AA_0689","Unknown","UNKNOWN","FAM","Amp",1.43647435257679,0.976097021579009,29.18,0.0255719593519561,0.269380199710307,"TRUE",3,23,"HZ19_ILWE_Crypto_Plate1.eds",29.1521034172799,29.2005285088341,29.1905649348336
