"Mouse_ID","Target","Task","Reporter","Amp.Status","Amp.Score","Cq.Confidence","FEC_Eim_Ct","Cq.SD","Threshold","Auto Baseline","Baseline Start","Baseline End","plate","FEC_Eim_Ct1","FEC_Eim_Ct2","FEC_Eim_Ct3","Tm_sum1","Tm_sum2","Tm_sum3","MC.1","MC.2","MC.3","MC.Eimeria.FEC","Auto.Baseline","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4"
"AA_0524","Eim","UNKNOWN","SYBR","Amp",1.44478697878946,0.92387186053926,25.1663749622532,0.275868175518563,0.103987900813344,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",25.4722242504082,24.9363438335892,25.0905568027622,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,21,75.5411071777344,NA,NA,NA
"AA_0525","Eim","UNKNOWN","SYBR","Amp",1.45429199138094,0.949701974776987,21.0782407826769,0.431284113785721,0.0909914659255709,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022.eds",21.5561953258138,20.9604063104202,20.7181207117969,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,18,75.0938949584961,NA,NA,NA
"AA_0526","Eim","UNKNOWN","SYBR","Amp",1.40466112425336,0.855394160556969,32.2630557708503,0.565535868488429,0.0601103991645981,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",31.9041253690276,31.9700725158085,32.9149694277149,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,28,79.9340286254883,83.2573318481445,77.9702606201172,NA
"AA_0527","Eim","UNKNOWN","SYBR","Amp",1.48166145259474,0.984935416596901,22.4515499417248,0.285129664659165,0.106609839384532,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_3.eds",22.7638793299114,22.3855888541278,22.2051816411352,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,18,75.0838851928711,NA,NA,NA
"AA_0529","Eim","UNKNOWN","SYBR","Amp",1.47808319491579,0.933388987010787,29.5583018467262,0.31784757834497,0.0909914659255709,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022.eds",29.1917753081136,29.7251089491274,29.7580212829375,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,25,84.0034790039062,NA,NA,NA
"AA_0533","Eim","UNKNOWN","SYBR","Amp",1.46335104245509,0.858736240898727,30.5293300480807,0.0964582639184347,0.0601103991645981,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_04022022_2.eds",30.5142954559483,30.4412718898825,30.6324227984115,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,28,80.998405456543,74.8025054931641,62.4107131958008,NA
"AA_0535","Eim","UNKNOWN","SYBR","Amp",1.43594957327461,0.907751105285094,27.496519109002,0.192982203085957,0.103987900813344,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",27.539458922411,27.6644146163154,27.2856837882797,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,23,75.6920471191406,NA,NA,NA
"AA_0538","Eim","UNKNOWN","SYBR","No Amp",0,0,35.3559712207677,NA,0.103987900813344,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",NA,35.3559712207677,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,39,75.9939346313477,72.0693969726562,85.3524475097656,64.6731567382812
"AA_0540","Eim","UNKNOWN","SYBR","Amp",1.43064817512241,0.819283017056488,25.5015479311307,0.0194734106148798,0.0697698200514773,NA,NA,NA,"qPCR_eimeria_field_faeces_07022022.eds",25.481793574028,25.5207276766715,25.5021225426928,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,22,75.4192123413086,NA,NA,NA
"AA_0542","Eim","UNKNOWN","SYBR","Amp",1.5004294374751,0.967815442010155,19.6600362137816,0.211611832119925,0.103987900813344,NA,NA,NA,"qPCR_eimeria_field_faeces_JK_07022022_2.eds",19.8585661777477,19.6841363709137,19.4374060926835,NA,NA,NA,NA,NA,NA,NA,"TRUE",3,15,75.2496185302734,NA,NA,NA
