"Mouse_ID","SC","Ct_Mean_Eim","Ct1_Eim","Ct2_Eim","Ct3_Eim","Tm1_Eim","Tm2_Eim","Tm3_Eim","Tm4_Eim","Ct_StDev_Eim","plate"
"V10_0",1,38,NA,38,NA,87.9699096679688,64.98388671875,84.7942047119141,80.8623886108398,NA,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_0",2,NA,NA,NA,NA,88.1323852539062,75.8120727539062,82.2003784179688,71.8574066162109,NA,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_1",1,32.2134591791516,32.7554269926855,31.4796417117737,32.4053088329957,74.7936706542969,NA,NA,NA,0.659175043526407,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_1",2,30.0209002855751,30.5032036908072,29.9154176827276,29.6440794831904,74.4431457519531,NA,NA,NA,0.43916800390749,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_2",1,27.3912464101057,27.1663003817337,27.4850700462815,27.5223688023018,74.3406143188477,NA,NA,NA,0.195699606694238,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_2",2,26.2214125759948,26.3364507271158,26.214698771592,26.1130882292766,74.4431457519531,NA,NA,NA,0.111832498573854,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_3",1,23.4013331674496,23.6139044356645,23.3003283146381,23.2897667520462,74.3446273803711,NA,NA,NA,0.184167843838002,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_3",2,22.5214701534743,22.6015750513767,22.6508981606315,22.3119372484148,74.1389389038086,NA,NA,NA,0.183128973687476,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_4",1,18.8214550087493,18.6383878626223,18.6856937295231,19.1402834341025,74.3597640991211,NA,NA,NA,0.277124764087817,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_4",2,18.2899909961446,18.2895535679884,18.3650294668959,18.2153899535495,74.4431457519531,NA,NA,NA,0.0748207156893825,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_5",1,13.9929757832551,13.9596302428681,14.2340305789433,13.7852665279537,74.3406143188477,NA,NA,NA,0.226232705776612,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_5",2,14.4746905485731,14.8641178288024,14.3041188729853,14.2558349439315,74.1389389038086,NA,NA,NA,0.338116901960583,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
"V10_6",1,11.6092483801989,11.6469471403411,11.6673027306859,11.5134952695698,74.03857421875,NA,NA,NA,0.0835468800190553,"qPCR_eimeria_field_CEWE_JK_04032022.eds"
"V10_6",2,11.216417212953,11.4363091227783,11.0998996776296,11.113042838451,74.1389389038086,NA,NA,NA,0.190545334957367,"qPCR_eimeria_field_CEWE_JK_04032022_2.eds"
