Mouse_ID,Transect,State,Code,GPS.latitude,GPS.longitude,Year,Sex,HI,Species,Ectoparasites(TRUE),Eimeria_atleasforonedetectionmethod,Wormspresence,Hymenolepis_microstoma,Hymenolepis_diminuta,Catenotaenia_pusilla,Cysticercus,Taenia_martis,Mesocestoides_litteratus,Mastophorus_muris,Trichuris_muris,Heterakis,Syphacia_obvelata,Aspiculuris_tetraptera,Syphacia_Aspiculuris,S_A,
AA_0047,HZ_BR,Germany,HOPPE1,52.497666,13.676085,2016,M,0.65,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0048,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,F,0.72,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,1,
AA_0049,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,M,0.85,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,3,4,0,0,4,
AA_0050,HZ_BR,Germany,HOPPE1,52.97666,13.676085,2016,M,0.7,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,15,0,0,15,
AA_0051,HZ_BR,Germany,E_ZIND,52.50186,13.928061,2016,F,0.76,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,8,0,0,8,
AA_0052,HZ_BR,Germany,E_ZIND,52.50186,13.928061,2016,M,0.58,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,4,0,0,4,
AA_0053,HZ_BR,Germany,E_ZIND,52.50186,13.928061,2016,F,0.61,mus musculus,FALSE,TRUE,TRUE,0,0,0,1,0,0,0,0,12,0,0,338,338,
AA_0054,HZ_BR,Germany,E_ZIND,52.50186,13.928061,2016,F,0.71,mus musculus,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,8,26,0,0,26,
AA_0055,HZ_BR,Germany,E_PAPP,52.90833,13.3066,2016,M,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0056,HZ_BR,Germany,E_PAPP,52.90833,13.3066,2016,F,0.08,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,8,0,0,8,
AA_0057,HZ_BR,Germany,E_PAPP,52.90833,13.3066,2016,M,0,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0058,HZ_BR,Germany,E_HOHE,52.83667,14.0997,2016,F,0.92,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0059,HZ_BR,Germany,E_HOHE,52.83667,14.0997,2016,M,0.85,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0060,HZ_BR,Germany,E_HOHE,52.83667,14.0997,2016,F,0.84,mus musculus,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,
AA_0061,HZ_BR,Germany,SCHEN8h,52.73117,13.599425,2016,M,0,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,15,0,0,15,
AA_0062,HZ_BR,Germany,SCHEN8h,52.73117,13.599425,2016,F,0.04,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,44,0,0,44,
AA_0063,HZ_BR,Germany,E_WOLZ,52.67513,13.840138,2016,M,0.1,mus musculus,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,5,0,0,5,
