"Mouse_ID","Target","Task","Reporter","Amp Status","Amp Score","Cq Confidence","FEC_Crypto_Ct","Cq SD","Threshold","Auto Baseline","Baseline Start","Baseline End","plate","FEC_Crypto_Ct1","FEC_Crypto_Ct2","FEC_Crypto_Ct3"
"AA_0958","Unknown","UNKNOWN","FAM","Inconclusive",1.02257203891595,0.555200960966572,36.36,0.745654474850052,0.0672693099232437,"TRUE",3,32,"HZ22_FEC_Crypto_Plate1.eds",36.0748767565993,35.7903953867999,37.2004312248173
"AA_0959","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0672693099232437,"TRUE",3,39,"HZ22_FEC_Crypto_Plate1.eds",NA,NA,NA
"AA_0960","Unknown","UNKNOWN","FAM","Amp",1.23400082503239,0.911940957959133,32.79,0.235779913490759,0.0672693099232437,"TRUE",3,29,"HZ22_FEC_Crypto_Plate1.eds",32.8036365887943,32.5502750454274,33.0213864328736
"AA_0962","Unknown","UNKNOWN","FAM","Amp",1.30120163591046,0.958330736229002,32.17,0.372871481099702,0.0672693099232437,"TRUE",3,28,"HZ22_FEC_Crypto_Plate1.eds",31.7759816675794,32.519228815642,32.2003990094786
"AA_0964","Unknown","UNKNOWN","FAM","Amp",1.25866705650231,0.9361939671625,32.45,0.18682661928129,0.0672693099232437,"TRUE",3,29,"HZ22_FEC_Crypto_Plate1.eds",32.2329381613692,32.546517478239,32.5656924925087
"AA_0965","Unknown","UNKNOWN","FAM","No Amp",0,0,0,NA,0.0672693099232437,"TRUE",3,39,"HZ22_FEC_Crypto_Plate1.eds",NA,36.2679694236507,NA
"AA_0967","Unknown","UNKNOWN","FAM","Amp",1.40558139662746,0.956769847678331,25.75,0.546448445017067,0.0672693099232437,"TRUE",3,22,"HZ22_FEC_Crypto_Plate1.eds",26.1118999381453,26.0107972812602,25.1189307624807
"AA_0968","Unknown","UNKNOWN","FAM","Amp",1.11839381739312,0.848805847827009,33.88,2.01909823360098,0.0672693099232437,"TRUE",3,28,"HZ22_FEC_Crypto_Plate1.eds",32.4580664299604,32.9971654071021,36.1934927557003
"AA_0970","Unknown","UNKNOWN","FAM","Amp",1.37694178334426,0.941871926873296,26.48,0.48700604149351,0.0672693099232437,"TRUE",3,23,"HZ22_FEC_Crypto_Plate1.eds",26.8330528606599,26.6793569477716,25.9232536282551
"AA_0971","Unknown","UNKNOWN","FAM","Amp",1.32200211218328,0.965544987284081,30.8,0.177634961766305,0.0672693099232437,"TRUE",3,28,"HZ22_FEC_Crypto_Plate1.eds",30.9361993091149,30.8557440005909,30.5962922487817
"AA_0972","Unknown","UNKNOWN","FAM","Amp",1.38235939862115,0.805470279540556,19.11,1.47727896477629,0.0672693099232437,"TRUE",3,16,"HZ22_FEC_Crypto_Plate1.eds",20.2695199061918,19.6187423274092,17.4482493434533
"AA_0973","Unknown","UNKNOWN","FAM","Amp",1.05165463802835,0.856357757942482,35.41,0.425016868502128,0.0672693099232437,"TRUE",3,31,"HZ22_FEC_Crypto_Plate1.eds",35.1091881694571,35.7102527891308,NA
