Mouse_ID;Transect;State;Address;Code;Latitude;Longitude;Sex;Status;Species;Year;Trap_date;Dissection_date;Dissectors;Ectoparasites;Body_weight;Body_length;Tail_length;Spleen;Left_Testis;Right_Testis;Left_epididymis;Seminal_vesicles;Left_ovarium;Right_ovarium;Total;Embryo_left;Embryo_right;Feces;Worms_presence;HM;HD;CP;Cysticercus;Mesocestoides;MM;TM;Heterakis_spumosa;SYP;ASP;Heligmosomoides_polygurus;Notes
AA_0237;HZ_BR;Germany;Danewitz 22;DANE22;527.339;136.664;female;pregnant;Mus musculus;2017;10.09.2017;11.09.2017;Czech;FALSE;21.69;83.04;87.61;0.0303;NA;NA;NA;NA;NA;NA;NA;2;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;Error in tubes : colon wall in liq nitro is in the CEWE tube
AA_0238;HZ_BR;Germany;Mittelstrasse 4 15345 Altlandsberg (Buchholz);NA;52.585.905;13.789.663;NA;adult;Mus musculus;2017;10.09.2017;11.09.2017;German;FALSE;Dez 37;72.92;69.4;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0239;HZ_BR;Germany;Mittelstrasse 4 15345 Altlandsberg (Buchholz);NA;52.585.905;13.789.663;male;adult;Mus musculus;2017;10.09.2017;11.09.2017;Czech;FALSE;13.89;76.19;79.88;0.0235;NA;NA;0.0163;0.0506;NA;NA;NA;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0240;HZ_BR;Germany;29/30 spitzmühlerstrasse Buchholz;BUCHH;525.844;137.881;female;adult;Mus musculus;2017;10.09.2017;11.09.2017;German;FALSE;Okt 54;69.72;67.29;0.01;NA;NA;NA;NA;NA;NA;NA;0;0;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;Only one salivary gland
AA_0241;HZ_BR;Germany;Kastanienweg 7 15345 Prädikow;NA;526.242.788;140.101.667;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;13.83;74.78;77.92;0.0219;NA;NA;NA;NA;0.0026;NA;0.0075;0;0;NA;TRUE;0;0;0;0;0;0;0;0;75;0;0;NA
AA_0242;HZ_BR;Germany;Am Fährkrug 6, 16259 Bad Freienwalde (Oder);NA;52.807.371;14.036.785;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;14.97;79.71;68.88;0.0285;0.0576;0.0519;0.0252;0.1328;NA;NA;NA;NA;NA;0.9;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0243;HZ_BR;Germany;Kirchstrasse 2 16230 Britz;BRITZ2;528.875;138.119;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;Nov 13;70.42;70.4;0.0164;0.0592;0.0628;0.0114;25;NA;NA;NA;NA;NA;0.54;TRUE;0;0;0;0;0;0;0;0;5;0;0;NA
AA_0244;HZ_BR;Germany;Marienhof 6 15741 Bestensee;MARIE;522.458;135.994;female;young;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;Okt 47;69.45;76.75;0.0147;NA;NA;NA;NA;0.0023;0.0023;0.0046;0;0;NA;TRUE;0;0;0;0;0;0;0;0;26;0;0;NA
AA_0245;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;19.13;86.99;Def;0.0495;0.1027;0.1003;0.0355;0.1668;NA;NA;NA;NA;NA;0.34;TRUE;0;0;0;0;0;0;0;0;21;0;0;NA
AA_0246;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;TRUE (collected);Dez 45;73.87;73.54;0.0539;NA;NA;NA;NA;0.0028;0.0037;0.0065;0;0;0.11;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0247;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;TRUE;23.58;87.94;90.55;0.0972;0.0945;0.1001;44;0.2147;NA;NA;NA;NA;NA;01. Feb;TRUE;0;0;0;0;0;0;0;0;10;0;0;NA
AA_0248;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;female;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;14.87;80.11;81.7;0.0331;NA;NA;NA;NA;0.0075;0.0039;0.0114;0;0;0.41;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
AA_0249;HZ_BR;Germany;Unter den Eichen 6, 15741 Bestensee;BESTE6;522.225;136.025;male;adult;Mus musculus;2017;11.09.2017;12.09.2017;Czech;FALSE;25.74;94.62;96.15;0.11;0.1262;0.1296;0.0382;0.2445;NA;NA;NA;NA;NA;0.82;FALSE;0;0;0;0;0;0;0;0;0;0;0;NA
