Mouse_ID,Address,Address_ZIP,Latitude,Longitude,Trap_Date,Dissection_Date,Sex,Status,Body_Weight,Body_Length,Tail_Length,Spleen,Feces_Weight,Dead_in_Cage,Seminal_Vesicles_Weight,Left_Testis,Right_Testis,Left_Epididymis,Left_Ovarium_Weight,Right_Ovarium_Weight,Left_Embryo,Right_Embryo,Ectoparasites_Logical,Fleas,Ticks,Note,Heterakis_sp,Aspiculuris_sp,Catenotaenia_pusilla,Mastophorus_muris,Syphacia_sp,Trichuris_muris,Heligmosomoides_polygurus,Taenia_sp,Hymenolepis_sp,Digestive_Tract_taken
AA_0858,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,M,adult,16.46,83.90,80.14,0.0405,0.18,FALSE,0.1049,0.0502,0.0523,0.0177,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0859,Neumädewitz 6,"Neumädewitz 6, 16259 Oderaue",52.7361,14.1693,14/09/2021,15/09/2021,M,adult,19.81,83.81,70.53,0.0417,0.61,FALSE,0.1480,0.0702,0.0671,0.0218,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0860,"Eberswalder Str. 13, 16259 Falkenberg",Eberswalderstr. 13,52.8043,13.9550,14/09/2021,15/09/2021,F,pregnant,15.17,85.82,66.85,0.0312,0.80,FALSE,,,,,0.0110,0.0115,0,0,,,,,1,0,0,0,0,0,0,0,0,
AA_0861,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,F,pregnant,24.96,88.00,70.81,0.0606,0.23,FALSE,,,,,0.0106,0.0100,2,4,,,,,0,0,0,0,0,0,0,0,0,
AA_0862,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,F,adult,17.19,84.55,76.37,0.0589,0.18,FALSE,,,,,0.0124,0.0085,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0863,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,M,adult,15.26,81.49,69.19,0.0321,0.08,FALSE,0.0909,0.1193,0.1197,0.0200,,,,,TRUE,TRUE,,,0,0,0,0,2,0,0,0,0,
AA_0864,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,M,adult,13.10,76.75,66.74,0.0514,0.46,TRUE,,,,,,,,,TRUE,,TRUE,,0,0,0,0,0,0,0,0,0,
AA_0865,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,F,adult,12.14,78.85,77.89,0.0274,0.35,FALSE,,,,,0.0060,0.0050,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0866,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,F,pregnant,18.05,80.32,82.24,0.0442,0.23,FALSE,,,,,0.0075,0.0065,3,2,,,,,0,0,0,0,0,0,0,0,0,
AA_0867,"Eberswalder Str. 13, 16259 Falkenberg",Eberswalderstr. 13,52.8043,13.9550,14/09/2021,15/09/2021,F,adult,15.22,79.59,75.78,0.0236,0.44,FALSE,,,,,0.0056,0.0098,0,0,,,,,0,1,0,0,0,0,0,0,0,
AA_0868,"Eberswalder Str. 13, 16259 Falkenberg",Eberswalderstr. 13,52.8043,13.9550,14/09/2021,15/09/2021,M,young,10.33,69.47,59.66,0.0185,0.18,FALSE,,0.0548,0.0536,,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0869,Münchenhofe 1,"Münchehofer Str. 1, 15366 Hoppegarten",52.4979,13.6763,14/09/2021,15/09/2021,M,adult,14.18,80.00,75.90,0.0585,0.24,FALSE,,0.0352,0.0345,0.0081,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0870,Wildpark Schorfheide,"Wildpark Schorfheide, Prenzlauer Str. 16, 16244 Schorfheide",52.9206,13.5558,14/09/2021,15/09/2021,F,adult,11.35,74.57,71.29,0.0322,0.17,FALSE,,,,,0.0064,0.0062,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0871,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,pregnant,13.43,69.98,69.28,0.0312,0.34,FALSE,,,,,0.0051,0.0059,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0872,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,pregnant,18.83,84.00,71.73,0.0580,0.29,FALSE,,,,,0.0055,0.0062,1,3,,,,,0,0,0,0,0,0,0,0,0,
AA_0873,Münchenhofe 1,"Münchehofer Str. 1, 15366 Hoppegarten",52.4979,13.6763,14/09/2021,15/09/2021,M,young,12.97,83.90,79.80,0.0413,0.20,FALSE,,0.0351,0.0342,,,,,,TRUE,TRUE,,,0,0,0,0,12,0,0,0,0,
AA_0874,Münchenhofe 1,"Münchehofer Str. 1, 15366 Hoppegarten",52.4979,13.6763,14/09/2021,15/09/2021,M,young,7.96,76.01,74.79,0.0304,0.00,FALSE,,,,,,,,,TRUE,TRUE,,,0,0,0,0,4,0,0,0,0,
AA_0875,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,adult,16.44,85.43,77.45,0.0961,0.21,FALSE,,,,,0.0130,0.0129,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0876,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,adult,14.94,83.10,75.30,0.0516,0.00,FALSE,,,,,0.0080,0.0079,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0877,Münchenhofe 1,"Münchehofer Str. 1, 15366 Hoppegarten",52.4979,13.6763,14/09/2021,15/09/2021,M,young,11.15,72.61,66.13,0.0212,0.00,FALSE,,,,,,,,,TRUE,TRUE,,,0,0,0,0,22,0,0,0,0,
AA_0878,Münchenhofe 1,"Münchehofer Str. 1, 15366 Hoppegarten",52.4979,13.6763,14/09/2021,15/09/2021,F,adult,22.09,98.42,98.09,0.0346,0.31,FALSE,,,,,0.0195,0.0173,0,0,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0879,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,pregnant,24.62,88.61,67.27,0.0332,0.00,FALSE,,,,,0.0115,0.0092,4,3,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0880,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,adult,16.57,82.44,66.95,0.0320,0.20,FALSE,,,,,0.0088,0.0099,0,0,,,,,1,0,0,0,0,0,0,0,0,
AA_0881,"Alt-Gielsdorf 68, 15345 Altlandsberg",Gielsdorf 68,52.6053,13.8756,14/09/2021,15/09/2021,F,adult,18.89,89.53,72.53,0.0926,0.00,FALSE,,,,,0.0096,0.0097,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0882,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,M,adult,17.82,86.58,67.52,0.0782,0.13,FALSE,0.1910,0.0817,0.0890,0.0353,,,,,TRUE,TRUE,,,0,25,0,0,0,0,0,0,0,
AA_0883,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,M,adult,17.49,84.88,73.37,0.0974,0.09,FALSE,0.0807,0.0542,0.0573,0.0312,,,,,,,,,0,10,0,0,0,0,0,0,0,
AA_0884,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,pregnant,24.82,93.63,72.39,0.0835,0.08,FALSE,,,,,0.0173,0.0214,5,3,,,,,7,4,0,10,0,0,0,0,0,
AA_0885,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,young,13.34,79.24,76.17,0.0669,0.07,FALSE,,,,,0.0102,0.0082,0,0,,,,,0,12,0,0,0,0,0,0,0,
AA_0886,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,pregnant,21.15,90.67,67.88,0.0676,0.13,FALSE,,,,,0.0140,0.0150,0,0,TRUE,TRUE,,,8,65,0,11,0,0,0,0,0,
AA_0887,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,M,adult,21.35,91.71,66.07,0.0416,0.21,FALSE,0.1956,0.0852,0.0866,0.0404,,,,,TRUE,TRUE,,,3,25,0,26,0,0,0,0,0,
AA_0888,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,M,adult,19.90,87.83,69.51,0.0546,0.20,FALSE,0.2553,0.0935,0.0946,0.0397,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0889,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,adult,19.58,88.44,67.65,0.0585,0.52,FALSE,,,,,0.0037,0.0093,0,0,TRUE,TRUE,,,4,0,0,7,0,0,0,0,0,
AA_0890,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,young,15.04,80.53,72.68,0.0575,0.01,FALSE,,,,,,,0,0,,,,,1,1,0,0,0,0,0,0,0,
AA_0891,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,adult,16.60,83.87,78.55,0.0485,0.04,FALSE,,,,,0.0137,0.0088,0,0,,,,,1,1,0,0,0,0,0,0,0,
AA_0892,"Dorfstraße 2, 16359 Biesenthal",Danewitz 2,52.7371,13.6599,15/09/2021,16/09/2021,F,young,14.09,81.55,73.83,0.0527,0.09,FALSE,,,,,0.0076,0.0088,0,0,,,,,0,6,0,0,0,0,0,0,0,
AA_0893,"Altgaul 28, 16269 Wriezen",Altgaul 28,52.7392,14.0953,15/09/2021,16/09/2021,M,young,12.56,80.13,66.99,0.0304,0.24,FALSE,0.1383,0.0603,0.0603,0.0206,,,,,,,,,0,0,0,0,20,0,0,0,0,
AA_0894,"Altgaul 28, 16269 Wriezen",Altgaul 28,52.7392,14.0953,15/09/2021,16/09/2021,F,young,16.88,85.69,69.77,0.1091,0.36,FALSE,,,,,0.0077,0.0084,0,0,,,,,0,1,0,0,0,0,0,0,0,
AA_0895,"Altgaul 28, 16269 Wriezen",Altgaul 28,52.7392,14.0953,15/09/2021,16/09/2021,F,adult,23.20,93.02,69.34,0.0536,0.09,FALSE,,,,,0.0115,0.0123,0,0,,,,,25,0,0,0,9,0,0,0,0,
AA_0896,"Altgaul 28, 16269 Wriezen",Altgaul 28,52.7392,14.0953,15/09/2021,16/09/2021,F,adult,13.88,83.40,60.99,0.0408,0.00,FALSE,,,,,0.0106,0.0072,0,0,,,,,0,0,0,0,0,77,0,0,0,
AA_0897,"Altgaul 28, 16269 Wriezen",Altgaul 28,52.7392,14.0953,15/09/2021,16/09/2021,F,pregnant,18.24,84.58,66.08,0.0451,0.20,FALSE,,,,,0.0088,0.0081,4,2,,,,,0,0,0,0,0,0,0,0,0,
AA_0898,Mahlerstraße 23,"Mahlerstraße 23, 16269 Wriezen",52.7350,14.1264,15/09/2021,16/09/2021,M,young,14.49,81.28,64.65,0.0592,0.42,FALSE,0.1871,0.0677,0.0667,0.0208,,,,,,,,,0,29,0,0,0,0,0,0,0,
AA_0899,Mahlerstraße 23,"Mahlerstraße 23, 16269 Wriezen",52.7350,14.1264,15/09/2021,16/09/2021,F,pregnant,14.23,83.71,66.48,0.0442,0.16,FALSE,,,,,0.0086,0.0069,4,3,,,,,0,2,0,0,0,0,0,0,0,
AA_0900,Wirtschaftshof 6 Lüdersdorf,"Wirtschaftshof 6, 16269 Wriezen",52.6967,14.0833,15/09/2021,16/09/2021,M,young,13.69,77.00,61.62,0.0529,0.60,FALSE,0.1238,0.0653,0.0651,0.0236,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0901,Wirtschaftshof 6 Lüdersdorf,"Wirtschaftshof 6, 16269 Wriezen",52.6967,14.0833,15/09/2021,16/09/2021,M,young,16.39,84.00,73.23,0.0525,0.12,FALSE,0.1386,0.0663,0.0686,0.0194,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0902,Wirtschaftshof 6 Lüdersdorf,"Wirtschaftshof 6, 16269 Wriezen",52.6967,14.0833,15/09/2021,16/09/2021,F,young,13.11,81.57,73.07,0.0296,0.01,FALSE,,,,,0.0058,0.0072,0,0,,,,,0,0,0,0,0,0,0,0,0,
AA_0903,Wirtschaftshof 6 Lüdersdorf,"Wirtschaftshof 6, 16269 Wriezen",52.6967,14.0833,15/09/2021,16/09/2021,F,pregnant,11.43,75.15,60.88,0.0347,0.29,FALSE,,,,,0.0090,0.0066,3,3,TRUE,TRUE,,,0,1,0,0,0,0,0,0,0,
AA_0904,Wirtschaftshof 6 Lüdersdorf,"Wirtschaftshof 6, 16269 Wriezen",52.6967,14.0833,15/09/2021,16/09/2021,F,adult,11.41,72.63,48.59,0.0515,0.10,FALSE,,,,,0.0033,0.0038,0,0,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0905,"Alter Kietz 4, 16792 Zehdenick",Alter Kiez 4,53.0008,13.4765,15/09/2021,16/09/2021,M,adult,12.83,78.85,65.21,0.0225,0.17,FALSE,0.0306,0.0460,0.0437,0.0155,,,,,TRUE,TRUE,,,0,65,0,0,0,0,0,0,0,
AA_0906,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7465,13.7306,16/09/2021,17/09/2021,F,pregnant,17.29,88.30,84.20,0.0430,0.22,FALSE,,,,,0.0073,0.0105,0,0,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0907,Schönholzer Str. 8C,"Schönholzer Str. 8, 16230 Sydower Fließ",52.7465,13.7306,16/09/2021,17/09/2021,M,adult,24.41,95.27,91.44,0.0363,1.12,FALSE,0.2252,0.0729,0.0789,0.0263,,,,,TRUE,TRUE,,,0,0,0,0,0,0,0,0,0,
AA_0908,"Bergsdorfer Str. 6, 16792 Zehdenick","Bergdorfer Str. 6, Zehdenick",52.9576,13.2839,17/09/2021,18/09/2021,M,adult,11.92,74.38,71.65,0.0211,0.22,FALSE,0.0517,0.0572,0.0592,0.0164,,,,,,,,,0,0,0,0,0,0,0,0,0,
AA_0909,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,M,adult,17.53,84.58,70.89,0.0384,,FALSE,0.1004,0.0679,0.0687,0.0266,,,,,TRUE,TRUE,,,0,0,1,10,0,0,0,0,0,
AA_0910,Töpferstr. 36,"Töpferstraße 36, 16247 Joachimsthal",52.9751,13.7549,18/09/2021,18/09/2021,M,adult,13.14,80.65,56.37,0.0668,,FALSE,0.0420,0.0487,0.0514,0.0227,,,,,TRUE,TRUE,,,0,7,2,0,0,0,0,0,0,
