"","Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Death","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Notes","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","Ticks","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","IL.12","IRG6","CXCR3","IL-6","GBP2","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position","Ct_mean","Oocyst_Predict","COCE","CEWE","ILWE","CECE","COWE","SICE","Aspiculuris_sp","Taenia_sp","Hymenolepis_sp"
"11","AA_0057","M",13.3064,52.91,2016,"d","d","d","d",NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-24",15,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dom",11.477,76,NA,16,NA,NA,NA,NA,0.05,0.064,0.066,85,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"12","AA_0058","F",14.1158,52.8431,2016,NA,NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",12,0.916666667,NA,"2016-09-24",49,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",22.044,100,NA,NA,2,NA,NA,NA,NA,NA,NA,87,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"13","AA_0059","M",14.1158,52.8431,2016,"d","m","m","m","m","m","m","m","100","95","125","120","90/100","80/100","mm","mm","mm","mm","dm","dm",14,0.85,NA,"2016-09-24",28,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",17.826,88,NA,18,2,NA,NA,NA,147,0.063,0.069,86,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"14","AA_0060","F",14.1158,52.8431,2016,"d",NA,"mm","mm","mm","dm","mm","mm","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm",13,0.84,NA,"2016-09-24",65,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",26.264,94,NA,NA,2.5,NA,NA,NA,NA,NA,NA,82,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"15","AA_0061","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,NA,"2016-09-24",17,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",11.937,72,NA,8,2.5,NA,NA,NA,NA,0.044,0.047,80,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"16","AA_0062","F",13.599425,52.273117,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd",13,0.04,NA,"2016-09-24",46,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",17.289,87,NA,NA,2.5,NA,NA,NA,NA,NA,NA,92,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"17","AA_0063","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,NA,"2016-09-24",13,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",9.764,65,NA,NA,2.5,NA,NA,NA,NA,0.019,0.014,74,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"18","AA_0064","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",13,0.08,NA,"2016-09-25",48,0,NA,NA,"Positive_LOST",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"dom",16.199,73,NA,NA,2.5,NA,NA,NA,NA,NA,NA,88,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"19","AA_0065","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,NA,"2016-09-25",37,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,"dom",14,75,NA,6,2.5,NA,NA,NA,8,0.021,0.024,81,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"20","AA_0066","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd",13,0.12,NA,"2016-09-25",0.02,0,NA,NA,"Positive_LOST",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"dom",19.447,87,NA,NA,2.5,NA,NA,NA,NA,NA,NA,89,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21","AA_0067","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",14,0.1,NA,"2016-09-25",26,0,NA,NA,"",0,0,NA,NA,NA,NA,TRUE,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"dom",18.73,79,NA,31,2.5,NA,NA,NA,153,0.094,0.094,86,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"22","AA_0068","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd",13,0.04,NA,"2016-09-25",34,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",4,4,3,0,1,2,1,2,2.125,0.1,85000,8,"dom",16.799,83,NA,NA,2.5,NA,NA,NA,NA,NA,NA,89,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23","AA_0069","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,NA,"2016-09-25",29,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",3,5,3,4,3,8,5,2,4.125,0.1,165000,8,"dom",14.252,78,NA,3,2.5,NA,NA,NA,5,0.017,0.018,87,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24","AA_0070","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",21,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",13.956,72,NA,NA,2.5,NA,NA,NA,NA,NA,NA,85,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"25","AA_0071","F",13.6,52.8425,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd",13,0.04,NA,"2016-09-25",22,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",13.654,78,NA,NA,2.5,NA,NA,NA,NA,NA,NA,88,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"26","AA_0072","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",41,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",15.107,75,NA,NA,2.5,NA,NA,NA,NA,NA,NA,82,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"27","AA_0073","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",33,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",18.033,85,NA,NA,2.5,NA,NA,NA,NA,NA,NA,79,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"28","AA_0074","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",35,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",19.747,86,NA,NA,2.5,NA,NA,NA,NA,NA,NA,88,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"29","AA_0075","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",48,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",17.084,84,NA,NA,2.5,NA,NA,NA,NA,NA,NA,81,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"30","AA_0076","M",13.7072,52.2422,2016,"d","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0.05,NA,"2016-09-25",NA,0,NA,NA,"",15,0,NA,NA,NA,NA,TRUE,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",21.853,86,NA,32,2.5,NA,NA,NA,316,0.107,0.106,86,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"31","AA_0077","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",42,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",25.724,92,NA,NA,2.5,NA,NA,NA,NA,NA,NA,90,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"32","AA_0078","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",45,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",14.418,74,NA,NA,2.5,NA,NA,NA,NA,NA,NA,73,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.85,7138,NA,NA,NA,NA,NA,NA,0,0,0
"33","AA_0079","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,NA,"2016-09-25",71,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",14.533,75,NA,24,2.5,NA,NA,NA,155,0.074,0.078,83,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"34","AA_0080","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",42,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",12.512,72,NA,NA,2.5,NA,NA,NA,NA,NA,NA,80,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35","AA_0081","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0.05,NA,"2016-09-25",46,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",18.354,86,NA,31,2.5,NA,NA,NA,196,0.091,0.091,91,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"36","AA_0082","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,NA,"2016-09-25",33,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,"DyM",12.015,72,NA,NA,2.5,NA,NA,NA,NA,NA,NA,81,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"37","AA_0083","F",13.676085,52.497666,2016,"d",NA,"mm","mm",NA,"mm","mm","mm","100","95/100","125","120","90","80","mm","dm","mm","mm","mm","mm",12,0.913043478,NA,"2016-09-25",38,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",17.938,85,NA,NA,2.5,NA,NA,NA,NA,NA,NA,79,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"38","AA_0084","M",13.676085,52.497666,2016,"d",NA,NA,NA,NA,"m","m","m","94","100","100/125","100/120","90/100","80","dd","dd","dm","dm","dm","mm",10,0.5,NA,"2016-09-26",33,0,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",20.04,82,NA,14,2.5,NA,NA,NA,154,0.05,0.053,82,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0
