Sample ID,WBC's/ µl,Comments,Neutrophil,Eosinophil,Basophil,Lymphocyte,Monocyte,transect,,X332,X347,X65,Tsx,Btk,Syap1
SK2952,,,15,3,0,70,12,CZ,,,,,,,
SK2953,,,40,11,0,44,5,CZ,,,,,,,
SK2954,800,,,,,,,CZ,,,,,,,
SK2955,,,,,,,,CZ,,,,,,,
SK2956,,,21,1,0,75,3,CZ,,,,,,,
SK2957,4450,,47,3,0,47,3,CZ,,,,,,,
SK2958,,,,,,,,CZ,,,,,,,
SK2959,,,,,,,,CZ,,,,,,,
SK2960,,,,,,,,CZ,,,,,,,
SK2961,,,,,,,,CZ,,,,,,,
SK2962,,,,,,,,CZ,,,,,,,
SK2963,3350,,14,2,0,80,4,CZ,,,,,,,
SK2964,5650,,19,1,0,74,6,CZ,,,,,,,
SK2965,6850,,23,1,0,70,6,CZ,,,,,,,
SK2966,,,,,,,,CZ,,,,,,,
SK2967,2650,,39,0,0,52,9,CZ,,,,,,,
SK2968,11950,,38,0,0,57,5,CZ,,,,,,,
SK2969,10300,,6,5,0,81,8,CZ,,,,,,,
SK2970,3350,,16,5,0,72,7,CZ,,,,,,,
SK2971,2250,,2,0,0,98,0,CZ,,,,,,,
SK2972,2050,,2,0,0,95,3,CZ,,,,,,,
SK2973,,counted til 50,0,0,0,48,2,CZ,,,,,,,
SK2974,,,,,,,,CZ,,,,,,,
SK2975,4200,,7,0,0,87,6,CZ,,,,,,,
SK2976,1150,,0,1,0,99,0,CZ,,,,,,,
SK2977,4850,,6,0,0,94,0,CZ,,,,,,,
SK2978,13450,,3,0,0,97,0,CZ,,,,,,,
SK2979,,,0,0,0,100,0,CZ,,,,,,,
SK2980,7500,,27,0,0,73,0,CZ,,,,,,,
SK2981,,,12,1,0,83,4,CZ,,,,,,,
SK2982,7450,,4,0,0,94,2,CZ,,,,,,,
SK2983,5700,,22,8,0,70,0,CZ,,,,,,,
SK2984,5400,,,,,,,CZ,,,,,,,
SK2985,6100,,22,3,0,75,0,CZ,,,,,,,
SK2986,4550,,1,0,0,96,3,CZ,,,,,,,
SK2987,,,0,0,0,95,5,CZ,,,,,,,
SK2988,6300,,28,5,0,55,12,CZ,,,,,,,
SK2989,,,26,1,0,67,6,CZ,,,,,,,
SK2990,1000,counted til 50,17,0,0,31,2,CZ,,,,,,,
SK2991,,,,,,,,CZ,,,,,,,
SK2992,3650,,53,5,0,39,3,CZ,,,,,,,
SK2993,3650,,72,0,0,26,2,CZ,,,,,,,
SK2994,,,52,2,0,43,3,CZ,,,,,,,
SK2995,,,,,,,,CZ,,,,,,,
SK2996,,counted til 50,1,0,0,47,2,CZ,,,,,,,
SK2997,2300,,25,1,0,73,1,CZ,,,,,,,
SK2998,,,0,0,0,99,1,CZ,,,,,,,
SK2999,10650,,5,0,0,92,3,CZ,,,,,,,
SK3000,8100,,25,0,0,74,1,CZ,,,,,,,
SK3001,1500,,23,5,0,68,4,CZ,,,,,,,
SK3002,4100,counted til 50,0,0,0,50,0,CZ,,,,,,,
SK3003,7050,,25,6,0,67,2,CZ,,,,,,,
SK3004,10100,,2,0,0,95,3,CZ,,,,,,,
SK3005,6950,,10,1,0,88,1,CZ,,,,,,,
SK3006,10750,,0,1,0,97,2,CZ,,,,,,,
SK3007,3100,,20,0,0,75,5,CZ,,,,,,,
SK3008,,,,,,,,CZ,,,,,,,
SK3009,5000,,6,0,0,92,2,CZ,,,,,,,
SK3010,3800,,10,0,0,88,2,CZ,,,,,,,
SK3011,68100,-has dead embryos,1,2,0,93,4,CZ,,,,,,,
SK3012,3600,,14,4,0,81,1,CZ,,,,,,,
SK3013,,,7,1,0,91,1,CZ,,,,,,,
SK3014,,,1,0,0,99,0,CZ,,,,,,,
SK3015,2950,,2,0,0,98,0,CZ,,,,,,,
SK3016,3750,,3,3,0,94,0,CZ,,,,,,,
SK3017,750,,1,3,0,96,0,CZ,,,,,,,
SK3018,3650,,5,0,0,95,0,CZ,,,,,,,
SK3019,4900,,17,1,0,82,0,CZ,,,,,,,
SK3020,,,0,21,0,78,1,CZ,,,,,,,
SK3021,5850,,8,0,0,92,0,CZ,,,,,,,
SK3022,,counted til 50,2,0,0,48,0,CZ,,,,,,,
SK3023,5250,,32,5,0,63,0,CZ,,,,,,,
SK3024,,,0,5,0,95,0,CZ,,,,,,,
SK3025,6100,,1,3,0,96,0,CZ,,,,,,,
SK3026,5650,,0,1,0,98,1,CZ,,,,,,,
SK3027,,,,,,,,CZ,,,,,,,
SK3028,1650,,4,4,0,91,1,CZ,,,,,,,
SK3029,5850,,0,0,0,100,0,CZ,,,,,,,
SK3030,,,3,0,0,97,0,CZ,,,,,,,
SK3031,,,1,0,0,99,0,CZ,,,,,,,
SK3032,,,2,1,0,97,0,CZ,,,,,,,
SK3033,4050,,5,1,0,93,1,CZ,,,,,,,
SK3034,,,3,7,0,90,0,CZ,,,,,,,
SK3035,,,3,6,0,91,0,CZ,,,,,,,
SK3036,10550,,0,0,0,100,0,CZ,,,,,,,
SK3037,5600,,6,6,0,88,0,CZ,,,,,,,
SK3038,3250,,0,2,0,98,0,CZ,,,,,,,
SK3039,3000,,9,6,0,85,0,CZ,,,,,,,
SK3040,3100,,13,4,0,83,0,CZ,,,,,,,
