# File Name: qPCR_eimeria_field_faeces_FW_25012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-25 03:59:46 PM UTC
# Run End Date/Time: 2022-01-25 05:20:20 PM UTC
# Run Duration: 80 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-25 05:01:13 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-25 05:03:22 PM UTC
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"AA862","Eim","31.805471975727716","31.805471975727716","","","","","","","","false"
"AA866","Eim","30.456694690556652","30.456694690556652","","","","","","","","false"
"AA884","Eim","27.364872688061958","27.364872688061958","","","","","","","","false"
"AA885","Eim","17.520988682277444","17.520988682277444","","","","","","","","false"
"AA899","Eim","31.07372707723006","31.07372707723006","","","","","","","","false"
"AA904","Eim","30.099491179417598","30.099491179417598","","","","","","","","false"
"AA908","Eim","31.513354273437226","31.513354273437226","","","","","","","","false"
"AA914","Eim","26.53877667418234","26.53877667418234","","","","","","","","false"
"AA915","Eim","31.014905328171707","31.014905328171707","","","","","","","","false"
"AA930","Eim","29.602291610811484","29.602291610811484","","","","","","","","false"
