Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,701,Eimeria,Unknown,31.97,0.921,,,,,74.2
A2,701,Eimeria,Unknown,33.59,0.921,,,,,74.2
A3,701,Eimeria,Unknown,33.53,0.921,,,,,74.4
A4,701,Mus,Unknown,26.31,1.986,,,,,79.2
A5,701,Mus,Unknown,23.5,1.986,,,,,79.5
A6,701,Mus,Unknown,22.47,1.986,,,,,79.7
A7,827,Eimeria,Unknown,32.92,2.046,,,,,74.4
A8,827,Eimeria,Unknown,32.13,2.046,,,,,74.7
A9,827,Eimeria,Unknown,36,2.046,,,,,81.8
A10,827,Mus,Unknown,24.92,1.583,,,,,79
A11,827,Mus,Unknown,23.8,1.583,,,,,79
A12,827,Mus,Unknown,21.79,1.583,,,,,79
B1,700,Eimeria,Unknown,32.61,0.685,,,,,74.7
B2,700,Eimeria,Unknown,33.61,0.685,,,,,83
B3,700,Eimeria,Unknown,32.3,0.685,,,,,74.2
B4,700,Mus,Unknown,25.35,1.838,,,,,79.5
B5,700,Mus,Unknown,23.32,1.838,,,,,79.5
B6,700,Mus,Unknown,21.68,1.838,,,,,79.7
B7,744,Eimeria,Unknown,31.23,0.24,,,,,74.4
B8,744,Eimeria,Unknown,30.92,0.24,,,,,74.2
B9,744,Eimeria,Unknown,31.39,0.24,,,,,74.2
B10,744,Mus,Unknown,25.12,1.404,,,,,79.2
B11,744,Mus,Unknown,24.46,1.404,,,,,79.2
B12,744,Mus,Unknown,22.42,1.404,,,,,79.2
C1,699,Eimeria,Unknown,30.01,0.658,,,,,83
C2,699,Eimeria,Unknown,31.23,0.658,,,,,83
C3,699,Eimeria,Unknown,31.04,0.658,,,,,83
C4,699,Mus,Unknown,22.11,9.61,,,,,79.7
C5,699,Mus,Unknown,21.27,9.61,,,,,79.7
C6,699,Mus,Unknown,5.06,9.61,,,,,80
C7,764,Eimeria,Unknown,34.06,0.797,,,,,81
C8,764,Eimeria,Unknown,32.47,0.797,,,,,83
C9,764,Eimeria,Unknown,33.34,0.797,,,,,80.3
C10,764,Mus,Unknown,24.84,1.319,,,,,79.5
C11,764,Mus,Unknown,23.82,1.319,,,,,79.2
C12,764,Mus,Unknown,22.22,1.319,,,,,79.2
D1,697,Eimeria,Unknown,32.3,0.911,,,,,74.7
D2,697,Eimeria,Unknown,31.2,0.911,,,,,72.3
D3,697,Eimeria,Unknown,33.01,0.911,,,,,74.9
D4,697,Mus,Unknown,26.13,1.114,,,,,79.7
