Detector = Eimeria,Reporter = SYBR
Well, Tm
1,73.6
2,81.2
3,81.0
7,74.0
8,74.0
9,73.6
13,74.3
14,74.5
15,74.5
19,76.1
20,83.1
21,74.0
25,73.8
26,75.0
27,78.9
31,74.0
32,74.3
33,75.0
37,82.0
38,79.2
39,75.0
43,74.0
44,74.3
45,78.7
49,81.2
50,74.3
51,74.8
55,75.3
56,75.3
57,74.5
61,79.7
62,73.3
63,83.1
67,75.3
68,78.4
69,74.0
73,78.1
74,79.2
75,78.7
79,74.3
80,82.6
81,73.8
85,83.1
86,74.3
87,74.3
91,73.6
92,74.0
93,73.1
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.4
5,79.4
6,79.7
10,78.9
11,78.9
12,78.9
16,79.4
17,79.7
18,80.0
22,79.2
23,79.2
24,79.2
28,79.7
29,80.0
30,80.0
34,79.4
35,79.2
36,79.2
40,80.0
41,80.0
42,80.0
46,79.4
47,79.4
48,79.4
52,80.0
53,80.0
54,80.0
58,79.4
59,79.4
60,79.4
64,79.7
65,80.0
66,80.0
70,79.4
71,79.4
72,79.4
76,79.4
77,79.7
78,80.0
82,79.2
83,79.2
84,79.2
88,79.2
89,79.4
90,79.7
94,81.2
95,77.6
96,80.5
