Detector = Eimeria,Reporter = SYBR
Well, Tm
1,74.2
2,74.2
3,74.4
7,74.4
8,74.7
9,81.8
13,74.7
14,83.0
15,74.2
19,74.4
20,74.2
21,74.2
25,83.0
26,83.0
27,83.0
31,81.0
32,83.0
33,80.3
37,74.7
38,72.3
39,74.9
43,74.4
44,74.2
45,73.9
49,74.7
50,74.9
51,75.2
55,74.9
56,74.9
57,74.2
61,74.2
62,74.9
63,75.2
67,75.4
68,74.7
69,74.4
73,74.2
74,74.4
75,74.7
79,83.5
80,74.2
81,74.4
85,74.4
86,74.4
87,74.2
91,74.9
92,74.4
93,74.4
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.2
5,79.5
6,79.7
10,79.0
11,79.0
12,79.0
16,79.5
17,79.5
18,79.7
22,79.2
23,79.2
24,79.2
28,79.7
29,79.7
30,80.0
34,79.5
35,79.2
36,79.2
40,79.7
41,79.7
42,80.0
46,79.5
47,79.5
48,79.5
52,79.7
53,79.7
54,80.0
58,79.5
59,79.5
60,79.5
64,79.5
65,79.7
66,80.0
70,79.5
71,79.5
72,79.5
76,79.2
77,79.2
78,79.7
82,79.2
83,79.2
84,79.2
88,79.2
89,79.5
90,79.7
94,80.0
95,72.3
96,73.2
