Detector = Eimeria,Reporter = SYBR
Well, Tm
1,72.4
2,78.5
3,74.9
7,74.7
8,74.7
9,74.7
13,74.4
14,82.9
15,78.7
19,82.9
20,79.7
21,79.7
25,74.2
26,81.8
27,83.1
31,74.7
32,79.5
33,81.8
37,72.9
38,79.2
39,81.5
43,74.7
44,74.7
45,74.4
49,73.9
50,82.6
51,74.9
55,75.2
56,76.2
57,78.2
61,74.7
62,74.9
63,72.4
67,81.8
68,78.7
69,78.2
73,74.7
74,74.7
75,74.9
79,74.2
80,74.2
81,73.9
85,74.2
86,74.4
87,74.7
91,77.4
92,88.9
93,74.2
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.2
5,79.5
6,79.7
10,79.0
11,79.2
12,79.2
16,79.5
17,79.5
18,79.7
22,79.2
23,79.2
24,79.2
28,79.7
29,79.7
30,79.7
34,79.5
35,79.5
36,79.2
40,79.7
41,79.7
42,80.0
46,79.5
47,79.5
48,79.5
52,79.7
53,79.7
54,80.0
58,79.5
59,79.5
60,79.5
64,79.7
65,79.7
66,80.0
70,79.5
71,79.5
72,79.5
76,79.5
77,79.7
78,79.7
82,79.2
83,79.2
84,79.2
88,79.2
89,79.5
90,79.7
94,77.2
95,78.7
96,79.2
