Document Name: HZ19_qPCR1 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Wednesday, May 13, 2020 15:58:27
Last Modified: Wednesday, May 13, 2020 17:42:04
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,0781,Eimeria,Unknown,33.00,0.536,,,,,72.40
A2,0781,Eimeria,Unknown,32.59,0.536,,,,,78.50
A3,0781,Eimeria,Unknown,31.94,0.536,,,,,74.90
A4,0781,Mus,Unknown,23.78,10.316,,,,,79.20
A5,0781,Mus,Unknown,21.70,10.316,,,,,79.50
A6,0781,Mus,Unknown,4.96,10.316,,,,,79.70
A7,0693,Eimeria,Unknown,31.44,0.554,,,,,74.70
A8,0693,Eimeria,Unknown,31.74,0.554,,,,,74.70
A9,0693,Eimeria,Unknown,32.51,0.554,,,,,74.70
A10,0693,Mus,Unknown,24.38,10.699,,,,,79.00
A11,0693,Mus,Unknown,8.90,10.699,,,,,79.20
A12,0693,Mus,Unknown,3.84,10.699,,,,,79.20
B1,0713,Eimeria,Unknown,33.40,0.686,,,,,74.40
B2,0713,Eimeria,Unknown,32.93,0.686,,,,,82.90
B3,0713,Eimeria,Unknown,32.05,0.686,,,,,78.70
B4,0713,Mus,Unknown,24.08,9.641,,,,,79.50
B5,0713,Mus,Unknown,22.33,9.641,,,,,79.50
B6,0713,Mus,Unknown,6.57,9.641,,,,,79.70
B7,0720,Eimeria,Unknown,32.32,0.403,,,,,82.90
B8,0720,Eimeria,Unknown,31.51,0.403,,,,,79.70
B9,0720,Eimeria,Unknown,31.89,0.403,,,,,79.70
B10,0720,Mus,Unknown,23.39,10.148,,,,,79.20
B11,0720,Mus,Unknown,21.57,10.148,,,,,79.20
B12,0720,Mus,Unknown,4.97,10.148,,,,,79.20
C1,0816,Eimeria,Unknown,31.05,0.453,,,,,74.20
C2,0816,Eimeria,Unknown,31.94,0.453,,,,,81.80
C3,0816,Eimeria,Unknown,31.65,0.453,,,,,83.10
C4,0816,Mus,Unknown,22.23,8.246,,,,,79.70
C5,0816,Mus,Unknown,10.57,8.246,,,,,79.70
C6,0816,Mus,Unknown,Undetermined,,,,,,79.70
