Detector = Eimeria,Reporter = SYBR
Well, Tm
1,73.9
2,82.0
3,83.0
7,82.8
8,81.7
9,79.2
13,74.9
14,80.7
15,80.7
19,74.2
20,83.0
21,83.0
25,78.4
26,78.9
27,82.5
31,78.7
32,77.1
33,73.0
37,74.4
38,74.7
39,74.7
43,81.7
44,83.0
45,75.4
49,79.9
50,79.9
51,80.5
55,75.4
56,75.2
57,75.2
61,77.9
62,77.9
63,83.3
67,80.7
68,78.4
69,74.4
73,74.9
74,75.2
75,75.2
79,81.5
80,80.5
81,76.6
85,73.9
86,74.2
87,73.9
91,78.7
92,78.2
93,77.9
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.4
5,79.4
6,79.7
10,79.2
11,79.2
12,79.2
16,79.7
17,79.7
18,79.9
22,79.4
23,79.4
24,79.2
28,79.7
29,79.9
30,79.9
34,79.7
35,79.7
36,79.4
40,79.4
41,79.7
42,79.9
46,79.7
47,79.7
48,79.4
52,79.7
53,79.7
54,79.9
58,79.7
59,79.7
60,79.4
64,79.9
65,79.9
66,80.2
70,79.4
71,79.4
72,79.4
76,79.7
77,79.9
78,79.9
82,78.9
83,79.2
84,79.2
88,79.4
89,79.4
90,79.7
94,79.2
95,82.5
96,76.6
