Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,840,Eimeria,Unknown,36,1.088,,,,,82.1
A2,840,Eimeria,Unknown,35.16,1.088,,,,,73.4
A3,840,Eimeria,Unknown,33.84,1.088,,,,,74.9
A4,840,Mus,Unknown,28.31,1.901,,,,,79.3
A5,840,Mus,Unknown,26.47,1.901,,,,,79.3
A6,840,Mus,Unknown,24.51,1.901,,,,,79.6
A7,776,Eimeria,Unknown,29.08,0.175,,,,,74.2
A8,776,Eimeria,Unknown,29.26,0.175,,,,,73.9
A9,776,Eimeria,Unknown,29.43,0.175,,,,,73.9
A10,776,Mus,Unknown,22.39,3.976,,,,,79.1
A11,776,Mus,Unknown,20.88,3.976,,,,,79.1
A12,776,Mus,Unknown,14.87,3.976,,,,,79.1
B1,729,Eimeria,Unknown,35.04,0.99,,,,,82.9
B2,729,Eimeria,Unknown,33.07,0.99,,,,,74.7
B3,729,Eimeria,Unknown,34.19,0.99,,,,,76.3
B4,729,Mus,Unknown,25.51,1.378,,,,,79.6
B5,729,Mus,Unknown,24.26,1.378,,,,,79.6
B6,729,Mus,Unknown,22.75,1.378,,,,,79.9
B7,839,Eimeria,Unknown,30.32,0.086,,,,,74.4
B8,839,Eimeria,Unknown,30.47,0.086,,,,,74.7
B9,839,Eimeria,Unknown,30.47,0.086,,,,,74.4
B10,839,Mus,Unknown,23.56,1.4,,,,,79.3
B11,839,Mus,Unknown,22.63,1.4,,,,,79.3
B12,839,Mus,Unknown,20.81,1.4,,,,,79.3
C1,735,Eimeria,Unknown,31.19,0.687,,,,,74.4
C2,735,Eimeria,Unknown,32.55,0.687,,,,,74.2
C3,735,Eimeria,Unknown,31.77,0.687,,,,,74.2
C4,735,Mus,Unknown,23.53,7.371,,,,,79.9
C5,735,Mus,Unknown,10.09,7.371,,,,,79.9
C6,735,Mus,Unknown,22.05,7.371,,,,,79.9
C7,787,Eimeria,Unknown,30.69,0.531,,,,,75.4
C8,787,Eimeria,Unknown,31.36,0.531,,,,,74.7
C9,787,Eimeria,Unknown,30.31,0.531,,,,,74.9
C10,787,Mus,Unknown,25.88,1.953,,,,,79.6
C11,787,Mus,Unknown,24.32,1.953,,,,,79.6
C12,787,Mus,Unknown,22,1.953,,,,,79.6
D1,755,Eimeria,Unknown,30.38,0.296,,,,,74.4
D2,755,Eimeria,Unknown,30.74,0.296,,,,,74.7
D3,755,Eimeria,Unknown,30.15,0.296,,,,,74.7
D4,755,Mus,Unknown,25.76,1.741,,,,,79.9
D5,755,Mus,Unknown,23.86,1.741,,,,,79.9
D6,755,Mus,Unknown,22.28,1.741,,,,,80.1
D7,831,Eimeria,Unknown,31.13,0.655,,,,,75.1
D8,831,Eimeria,Unknown,30.93,0.655,,,,,75.1
D9,831,Eimeria,Unknown,32.15,0.655,,,,,81.4
D10,831,Mus,Unknown,25.76,1.771,,,,,79.9
D11,831,Mus,Unknown,23.36,1.771,,,,,79.9
D12,831,Mus,Unknown,22.3,1.771,,,,,79.6
E1,811,Eimeria,Unknown,34.87,0.496,,,,,78.8
E2,811,Eimeria,Unknown,35.83,0.496,,,,,79.9
E3,811,Eimeria,Unknown,35.58,0.496,,,,,77.1
E4,811,Mus,Unknown,26.58,1.837,,,,,79.9
E5,811,Mus,Unknown,24.55,1.837,,,,,79.9
E6,811,Mus,Unknown,22.92,1.837,,,,,80.1
E7,804,Eimeria,Unknown,23.76,0.139,,,,,75.1
E8,804,Eimeria,Unknown,24.02,0.139,,,,,74.9
E9,804,Eimeria,Unknown,23.81,0.139,,,,,74.9
E10,804,Mus,Unknown,24.19,9.768,,,,,79.6
E11,804,Mus,Unknown,22.91,9.768,,,,,79.6
E12,804,Mus,Unknown,6.67,9.768,,,,,79.3
F1,815,Eimeria,Unknown,34.51,2.619,,,,,75.1
F2,815,Eimeria,Unknown,30.13,2.619,,,,,75.4
F3,815,Eimeria,Unknown,34.8,2.619,,,,,74.2
F4,815,Mus,Unknown,27.37,2.447,,,,,79.9
F5,815,Mus,Unknown,25.09,2.447,,,,,79.9
F6,815,Mus,Unknown,22.48,2.447,,,,,80.1
F7,798,Eimeria,Unknown,32.01,0.969,,,,,75.1
F8,798,Eimeria,Unknown,32.88,0.969,,,,,74.4
F9,798,Eimeria,Unknown,33.94,0.969,,,,,83.1
F10,798,Mus,Unknown,25.22,1.674,,,,,79.3
F11,798,Mus,Unknown,23.28,1.674,,,,,79.3
F12,798,Mus,Unknown,21.89,1.674,,,,,79.6
G1,829,Eimeria,Unknown,31.28,0.205,,,,,74.9
G2,829,Eimeria,Unknown,31.67,0.205,,,,,74.7
G3,829,Eimeria,Unknown,31.59,0.205,,,,,75.4
G4,829,Mus,Unknown,27.73,1.752,,,,,79.9
G5,829,Mus,Unknown,25.51,1.752,,,,,79.9
G6,829,Mus,Unknown,24.27,1.752,,,,,80.1
G7,NTC,Eimeria,Unknown,31.44,2.996,,,,,74.4
G8,NTC,Eimeria,Unknown,Undetermined,,,,,,80.1
G9,NTC,Eimeria,Unknown,34.06,2.996,,,,,74.4
G10,NTC,Mus,Unknown,Undetermined,,,,,,72.5
G11,NTC,Mus,Unknown,Undetermined,,,,,,82.1
G12,NTC,Mus,Unknown,Undetermined,,,,,,72.5
H1,806,Eimeria,Unknown,30.96,0.43,,,,,73.9
