Detector = Eimeria,Reporter = SYBR
Well, Tm
1,74.0
2,74.4
3,74.4
7,74.2
8,74.4
9,74.0
13,79.4
14,79.9
15,74.9
19,74.4
20,74.7
21,74.7
25,74.2
26,78.4
27,74.9
31,75.4
32,79.7
33,75.1
37,74.9
38,74.9
39,74.9
43,74.9
44,74.9
45,74.4
49,83.0
50,74.4
51,74.9
55,75.1
56,74.7
57,74.2
61,74.7
62,75.1
63,74.7
67,74.9
68,74.4
69,74.2
73,74.2
74,74.7
75,74.7
79,74.7
80,74.4
81,74.2
85,82.5
86,82.2
87,74.2
91,74.9
92,74.2
93,74.2
Detector = Mus,Reporter = SYBR
Well, Tm
4,79.4
5,79.7
6,79.7
10,79.2
11,79.2
12,79.2
16,79.7
17,79.7
18,79.9
22,79.4
23,79.4
24,79.4
28,79.7
29,79.9
30,79.9
34,79.7
35,79.4
36,79.4
40,79.7
41,79.7
42,79.7
46,79.7
47,79.7
48,79.4
52,79.9
53,79.9
54,79.9
58,79.4
59,79.7
60,79.4
64,79.9
65,79.9
66,79.9
70,79.4
71,79.4
72,79.4
76,79.7
77,79.7
78,79.9
82,79.4
83,79.4
84,79.2
88,79.4
89,79.7
90,79.7
94,85.9
95,75.4
96,87.0
