Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,792,Eimeria,20.82,0.283,TRUE
A2,792,Eimeria,20.9,0.283,TRUE
A3,792,Eimeria,20.38,0.283,TRUE
A4,792,Mus,27.12,2.125,TRUE
A5,792,Mus,24.1,2.125,TRUE
A6,792,Mus,23.01,2.125,TRUE
A7,791,Eimeria,28.78,0.755,TRUE
A8,791,Eimeria,29.87,0.755,TRUE
A9,791,Eimeria,28.42,0.755,TRUE
A10,791,Mus,27.77,1.957,TRUE
A11,791,Mus,26.42,1.957,TRUE
A12,791,Mus,23.91,1.957,TRUE
B1,796,Eimeria,32.3,0.908,TRUE
B2,796,Eimeria,32.3,0.908,TRUE
B3,796,Eimeria,30.73,0.908,TRUE
B4,796,Mus,25.35,1.783,TRUE
B5,796,Mus,23.3,1.783,TRUE
B6,796,Mus,21.8,1.783,TRUE
B7,794,Eimeria,32.66,4.215,FALSE
B8,794,Eimeria,Undetermined,,FALSE
B9,794,Eimeria,38.62,4.215,FALSE
B10,794,Mus,29.35,1.736,TRUE
B11,794,Mus,27.35,1.736,TRUE
B12,794,Mus,25.89,1.736,TRUE
C1,838,Eimeria,30.44,1.013,TRUE
C2,838,Eimeria,31.71,1.013,TRUE
C3,838,Eimeria,32.45,1.013,TRUE
C4,838,Mus,26.38,1.689,TRUE
C5,838,Mus,24.5,1.689,TRUE
C6,838,Mus,23.01,1.689,TRUE
C7,797,Eimeria,36.79,1.349,FALSE
C8,797,Eimeria,36.93,1.349,FALSE
C9,797,Eimeria,34.53,1.349,FALSE
C10,797,Mus,27.34,2.009,TRUE
C11,797,Mus,25.29,2.009,TRUE
C12,797,Mus,23.32,2.009,TRUE
D1,856,Eimeria,30.28,0.187,FALSE
D2,856,Eimeria,30.16,0.187,FALSE
D3,856,Eimeria,30.52,0.187,FALSE
D4,856,Mus,22.12,0.975,TRUE
D5,856,Mus,20.25,0.975,TRUE
D6,856,Mus,20.72,0.975,TRUE
D7,803,Eimeria,31.75,1.592,TRUE
D8,803,Eimeria,34.08,1.592,TRUE
D9,803,Eimeria,31.03,1.592,TRUE
D10,803,Mus,25.35,1.728,TRUE
D11,803,Mus,23.54,1.728,TRUE
D12,803,Mus,21.9,1.728,TRUE
E1,737,Eimeria,25.29,0.136,TRUE
E2,737,Eimeria,25.56,0.136,TRUE
E3,737,Eimeria,25.45,0.136,TRUE
E4,737,Mus,27.82,1.975,TRUE
E5,737,Mus,25.79,1.975,TRUE
E6,737,Mus,23.88,1.975,TRUE
E7,805,Eimeria,33.59,0.886,TRUE
E8,805,Eimeria,32.25,0.886,TRUE
E9,805,Eimeria,31.92,0.886,TRUE
E10,805,Mus,29.28,2.346,TRUE
E11,805,Mus,27.45,2.346,TRUE
E12,805,Mus,24.62,2.346,TRUE
F1,738,Eimeria,30.66,1.248,TRUE
F2,738,Eimeria,33.14,1.248,TRUE
F3,738,Eimeria,31.64,1.248,TRUE
F4,738,Mus,26.29,1.654,TRUE
F5,738,Mus,24.35,1.654,TRUE
F6,738,Mus,23,1.654,TRUE
F7,826,Eimeria,32.11,0.379,TRUE
F8,826,Eimeria,32.82,0.379,TRUE
F9,826,Eimeria,32.23,0.379,TRUE
F10,826,Mus,25.01,1.634,TRUE
F11,826,Mus,23.35,1.634,TRUE
F12,826,Mus,21.74,1.634,TRUE
G1,784,Eimeria,32.51,0.697,TRUE
G2,784,Eimeria,31.12,0.697,TRUE
G3,784,Eimeria,31.92,0.697,TRUE
G4,784,Mus,25.47,1.988,TRUE
G5,784,Mus,23.23,1.988,TRUE
G6,784,Mus,21.51,1.988,TRUE
G7,837,Eimeria,33.17,0.915,FALSE
G8,837,Eimeria,32.92,0.915,FALSE
G9,837,Eimeria,34.61,0.915,FALSE
G10,837,Mus,27.23,1.833,TRUE
G11,837,Mus,25.08,1.833,TRUE
G12,837,Mus,23.59,1.833,TRUE
H1,777,Eimeria,34.19,1.142,FALSE
H2,777,Eimeria,31.91,1.142,FALSE
H3,777,Eimeria,32.89,1.142,FALSE
H4,777,Mus,26.8,2.3,TRUE
H5,777,Mus,24.3,2.3,TRUE
H6,777,Mus,22.2,2.3,TRUE
H7,NTC,Eimeria,32.67,1.71,TRUE
H8,NTC,Eimeria,33.66,1.71,TRUE
H9,NTC,Eimeria,36,1.71,TRUE
H10,NTC,Mus,Undetermined,,TRUE
H11,NTC,Mus,35.15,1.185,TRUE
H12,NTC,Mus,33.48,1.185,TRUE
