Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,698,Eimeria,Unknown,31.71,0.382,,,,,74
A2,698,Eimeria,Unknown,31.04,0.382,,,,,74.4
A3,698,Eimeria,Unknown,31.07,0.382,,,,,74.4
A4,698,Mus,Unknown,23.5,1.158,,,,,79.4
A5,698,Mus,Unknown,22.03,1.158,,,,,79.7
A6,698,Mus,Unknown,21.21,1.158,,,,,79.7
A7,853,Eimeria,Unknown,31.18,0.505,,,,,74.2
A8,853,Eimeria,Unknown,31.21,0.505,,,,,74.4
A9,853,Eimeria,Unknown,30.32,0.505,,,,,74
A10,853,Mus,Unknown,24.1,1.506,,,,,79.2
A11,853,Mus,Unknown,22.98,1.506,,,,,79.2
A12,853,Mus,Unknown,21.12,1.506,,,,,79.2
B1,690,Eimeria,Unknown,30.25,0.334,,,,,79.4
B2,690,Eimeria,Unknown,30.26,0.334,,,,,79.9
B3,690,Eimeria,Unknown,30.83,0.334,,,,,74.9
B4,690,Mus,Unknown,23.8,1.056,,,,,79.7
B5,690,Mus,Unknown,22.32,1.056,,,,,79.7
B6,690,Mus,Unknown,21.75,1.056,,,,,79.9
B7,722,Eimeria,Unknown,31.84,0.657,,,,,74.4
B8,722,Eimeria,Unknown,31.36,0.657,,,,,74.7
B9,722,Eimeria,Unknown,30.54,0.657,,,,,74.7
B10,722,Mus,Unknown,25.94,1.602,,,,,79.4
B11,722,Mus,Unknown,24.56,1.602,,,,,79.4
B12,722,Mus,Unknown,22.74,1.602,,,,,79.4
C1,808,Eimeria,Unknown,32.43,1.175,,,,,74.2
C2,808,Eimeria,Unknown,30.15,1.175,,,,,78.4
C3,808,Eimeria,Unknown,31.79,1.175,,,,,74.9
C4,808,Mus,Unknown,24.32,1.347,,,,,79.7
C5,808,Mus,Unknown,22.48,1.347,,,,,79.9
C6,808,Mus,Unknown,21.7,1.347,,,,,79.9
C7,728,Eimeria,Unknown,31.43,1.031,,,,,75.4
C8,728,Eimeria,Unknown,33.04,1.031,,,,,79.7
C9,728,Eimeria,Unknown,31.13,1.031,,,,,75.1
C10,728,Mus,Unknown,24.08,0.979,,,,,79.7
C11,728,Mus,Unknown,23.09,0.979,,,,,79.4
C12,728,Mus,Unknown,22.12,0.979,,,,,79.4
D1,813,Eimeria,Unknown,26.05,0.365,,,,,74.9
D2,813,Eimeria,Unknown,26.15,0.365,,,,,74.9
D3,813,Eimeria,Unknown,25.47,0.365,,,,,74.9
D4,813,Mus,Unknown,24.78,0.859,,,,,79.7
D5,813,Mus,Unknown,23.79,0.859,,,,,79.7
D6,813,Mus,Unknown,23.07,0.859,,,,,79.7
D7,731,Eimeria,Unknown,31.58,1.001,,,,,74.9
D8,731,Eimeria,Unknown,31.66,1.001,,,,,74.9
D9,731,Eimeria,Unknown,29.89,1.001,,,,,74.4
D10,731,Mus,Unknown,26.31,1.257,,,,,79.7
D11,731,Mus,Unknown,25.11,1.257,,,,,79.7
D12,731,Mus,Unknown,23.8,1.257,,,,,79.4
E1,855,Eimeria,Unknown,31.58,0.423,,,,,83
E2,855,Eimeria,Unknown,31.18,0.423,,,,,74.4
E3,855,Eimeria,Unknown,30.73,0.423,,,,,74.9
E4,855,Mus,Unknown,22.84,0.803,,,,,79.9
E5,855,Mus,Unknown,21.72,0.803,,,,,79.9
E6,855,Mus,Unknown,21.28,0.803,,,,,79.9
E7,734,Eimeria,Unknown,31.77,0.463,,,,,75.1
E8,734,Eimeria,Unknown,31.37,0.463,,,,,74.7
E9,734,Eimeria,Unknown,30.84,0.463,,,,,74.2
E10,734,Mus,Unknown,23.09,1.225,,,,,79.4
E11,734,Mus,Unknown,21.68,1.225,,,,,79.7
E12,734,Mus,Unknown,20.65,1.225,,,,,79.4
F1,822,Eimeria,Unknown,30.37,0.722,,,,,74.7
F2,822,Eimeria,Unknown,29.9,0.722,,,,,75.1
F3,822,Eimeria,Unknown,31.32,0.722,,,,,74.7
F4,822,Mus,Unknown,24.13,1.056,,,,,79.9
F5,822,Mus,Unknown,22.44,1.056,,,,,79.9
F6,822,Mus,Unknown,22.19,1.056,,,,,79.9
F7,742,Eimeria,Unknown,32.26,0.558,,,,,74.9
F8,742,Eimeria,Unknown,32.22,0.558,,,,,74.4
F9,742,Eimeria,Unknown,31.28,0.558,,,,,74.2
F10,742,Mus,Unknown,23.16,1.072,,,,,79.4
F11,742,Mus,Unknown,22.45,1.072,,,,,79.4
F12,742,Mus,Unknown,21.06,1.072,,,,,79.4
G1,832,Eimeria,Unknown,31.14,0.625,,,,,74.2
G2,832,Eimeria,Unknown,29.97,0.625,,,,,74.7
G3,832,Eimeria,Unknown,30.19,0.625,,,,,74.7
G4,832,Mus,Unknown,23.87,0.986,,,,,79.7
G5,832,Mus,Unknown,22.91,0.986,,,,,79.7
G6,832,Mus,Unknown,21.9,0.986,,,,,79.9
G7,747,Eimeria,Unknown,32.03,0.235,,,,,74.7
G8,747,Eimeria,Unknown,31.63,0.235,,,,,74.4
G9,747,Eimeria,Unknown,31.61,0.235,,,,,74.2
G10,747,Mus,Unknown,24.69,1.407,,,,,79.4
G11,747,Mus,Unknown,23.52,1.407,,,,,79.4
G12,747,Mus,Unknown,21.88,1.407,,,,,79.2
H1,841,Eimeria,Unknown,30.06,0.231,,,,,82.5
H2,841,Eimeria,Unknown,30.5,0.231,,,,,82.2
H3,841,Eimeria,Unknown,30.41,0.231,,,,,74.2
H4,841,Mus,Unknown,22.29,1.293,,,,,79.4
H5,841,Mus,Unknown,20.89,1.293,,,,,79.7
H6,841,Mus,Unknown,19.71,1.293,,,,,79.7
H7,NTC,Eimeria,Unknown,32.05,0.087,,,,,74.9
H8,NTC,Eimeria,Unknown,32.22,0.087,,,,,74.2
H9,NTC,Eimeria,Unknown,32.17,0.087,,,,,74.2
H10,NTC,Mus,Unknown,Undetermined,,,,,,85.9
H11,NTC,Mus,Unknown,Undetermined,,,,,,75.4
H12,NTC,Mus,Unknown,Undetermined,,,,,,87
