Sample Name,Detector,Ct,StdDev Ct,MC
781,Eimeria,33,0.536,FALSE
781,Eimeria,32.59,0.536,FALSE
781,Eimeria,31.94,0.536,FALSE
781,Mus,23.78,10.316,TRUE
781,Mus,21.7,10.316,TRUE
781,Mus,4.96,10.316,TRUE
693,Eimeria,31.44,0.554,TRUE
693,Eimeria,31.74,0.554,TRUE
693,Eimeria,32.51,0.554,TRUE
693,Mus,24.38,10.699,TRUE
693,Mus,8.9,10.699,TRUE
693,Mus,3.84,10.699,TRUE
713,Eimeria,33.4,0.686,FALSE
713,Eimeria,32.93,0.686,FALSE
713,Eimeria,32.05,0.686,FALSE
713,Mus,24.08,9.641,TRUE
713,Mus,22.33,9.641,TRUE
713,Mus,6.57,9.641,TRUE
720,Eimeria,32.32,0.403,FALSE
720,Eimeria,31.51,0.403,FALSE
720,Eimeria,31.89,0.403,FALSE
720,Mus,23.39,10.148,TRUE
720,Mus,21.57,10.148,TRUE
720,Mus,4.97,10.148,TRUE
816,Eimeria,31.05,0.453,FALSE
816,Eimeria,31.94,0.453,FALSE
816,Eimeria,31.65,0.453,FALSE
816,Mus,22.23,8.246,TRUE
816,Mus,10.57,8.246,TRUE
818,Eimeria,31.63,0.752,FALSE
818,Eimeria,32.71,0.752,FALSE
818,Eimeria,31.27,0.752,FALSE
818,Mus,24.83,1.709,TRUE
818,Mus,22.77,1.709,TRUE
818,Mus,21.44,1.709,TRUE
702,Eimeria,33.17,0.031,FALSE
702,Eimeria,33.18,0.031,FALSE
702,Eimeria,33.23,0.031,FALSE
702,Mus,24.08,11.263,TRUE
702,Mus,22.67,11.263,TRUE
702,Mus,3.91,11.263,TRUE
716,Eimeria,32.46,0.279,TRUE
716,Eimeria,32.04,0.279,TRUE
716,Eimeria,32.57,0.279,TRUE
716,Mus,24.43,11.02,TRUE
716,Mus,22.47,11.02,TRUE
716,Mus,4.44,11.02,TRUE
785,Eimeria,31.93,0.552,TRUE
785,Eimeria,31.81,0.552,TRUE
785,Eimeria,32.82,0.552,TRUE
785,Mus,25.32,2.096,TRUE
785,Mus,23.39,2.096,TRUE
785,Mus,21.13,2.096,TRUE
727,Eimeria,33.36,0.761,FALSE
727,Eimeria,32.23,0.761,FALSE
727,Eimeria,31.91,0.761,FALSE
727,Mus,24.32,10.495,TRUE
727,Mus,22.66,10.495,TRUE
727,Mus,5.37,10.495,TRUE
802,Eimeria,31.91,0.998,FALSE
802,Eimeria,31.87,0.998,FALSE
802,Eimeria,33.62,0.998,FALSE
802,Mus,24.39,11.015,TRUE
802,Mus,22.85,11.015,TRUE
802,Mus,4.59,11.015,TRUE
793,Eimeria,30.33,1.54,FALSE
793,Eimeria,33.35,1.54,FALSE
793,Eimeria,31.31,1.54,FALSE
793,Mus,23.83,8.807,TRUE
793,Mus,21.88,8.807,TRUE
793,Mus,7.69,8.807,TRUE
736,Eimeria,31.33,0.325,TRUE
736,Eimeria,30.73,0.325,TRUE
736,Eimeria,31.25,0.325,TRUE
736,Mus,25.3,9.741,TRUE
736,Mus,23.51,9.741,TRUE
736,Mus,7.61,9.741,TRUE
821,Eimeria,30.82,0.378,TRUE
821,Eimeria,30.07,0.378,TRUE
821,Eimeria,30.55,0.378,TRUE
821,Mus,27.35,1.665,TRUE
821,Mus,25.28,1.665,TRUE
821,Mus,24.06,1.665,TRUE
687,Eimeria,30.7,0.766,TRUE
687,Eimeria,32,0.766,TRUE
687,Eimeria,30.65,0.766,TRUE
687,Mus,23.38,10.336,TRUE
687,Mus,21.28,10.336,TRUE
687,Mus,4.53,10.336,TRUE
NTC,Eimeria,Undetermined,,FALSE
NTC,Eimeria,Undetermined,,FALSE
NTC,Eimeria,34.23,,TRUE
NTC,Mus,Undetermined,,FALSE
NTC,Mus,Undetermined,,FALSE
NTC,Mus,35,,TRUE
