Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,705,Eimeria,Unknown,34.2,0.569,,,,,73.6
A2,705,Eimeria,Unknown,35.09,0.569,,,,,81.2
A3,705,Eimeria,Unknown,34.03,0.569,,,,,81
A4,705,Mus,Unknown,24.43,1.57,,,,,79.4
A5,705,Mus,Unknown,22.39,1.57,,,,,79.4
A6,705,Mus,Unknown,21.34,1.57,,,,,79.7
A7,773,Eimeria,Unknown,31.33,1.3,,,,,74
A8,773,Eimeria,Unknown,33.41,1.3,,,,,74
A9,773,Eimeria,Unknown,33.72,1.3,,,,,73.6
A10,773,Mus,Unknown,23.72,1.409,,,,,78.9
A11,773,Mus,Unknown,22.45,1.409,,,,,78.9
A12,773,Mus,Unknown,20.91,1.409,,,,,78.9
B1,765,Eimeria,Unknown,33.4,0.604,,,,,74.3
B2,765,Eimeria,Unknown,34.61,0.604,,,,,74.5
B3,765,Eimeria,Unknown,34.04,0.604,,,,,74.5
B4,765,Mus,Unknown,25.64,1.553,,,,,79.4
B5,765,Mus,Unknown,23.94,1.553,,,,,79.7
B6,765,Mus,Unknown,22.54,1.553,,,,,80
B7,756,Eimeria,Unknown,35.67,1.233,,,,,76.1
B8,756,Eimeria,Unknown,35.29,1.233,,,,,83.1
B9,756,Eimeria,Unknown,33.37,1.233,,,,,74
B10,756,Mus,Unknown,24.43,1.216,,,,,79.2
B11,756,Mus,Unknown,23.28,1.216,,,,,79.2
B12,756,Mus,Unknown,22,1.216,,,,,79.2
C1,733,Eimeria,Unknown,33.56,0.401,,,,,73.8
C2,733,Eimeria,Unknown,34.32,0.401,,,,,75
C3,733,Eimeria,Unknown,33.73,0.401,,,,,78.9
C4,733,Mus,Unknown,24.33,1.785,,,,,79.7
C5,733,Mus,Unknown,22.22,1.785,,,,,80
C6,733,Mus,Unknown,20.78,1.785,,,,,80
C7,739,Eimeria,Unknown,33.61,0.543,,,,,74
C8,739,Eimeria,Unknown,33.19,0.543,,,,,74.3
C9,739,Eimeria,Unknown,32.53,0.543,,,,,75
C10,739,Mus,Unknown,21.93,1.339,,,,,79.4
C11,739,Mus,Unknown,20.04,1.339,,,,,79.2
C12,739,Mus,Unknown,Undetermined,,,,,,79.2
D1,761,Eimeria,Unknown,33.97,0.729,,,,,82
D2,761,Eimeria,Unknown,34.03,0.729,,,,,79.2
D3,761,Eimeria,Unknown,32.73,0.729,,,,,75
D4,761,Mus,Unknown,23.1,1.453,,,,,80
D5,761,Mus,Unknown,21.37,1.453,,,,,80
D6,761,Mus,Unknown,20.21,1.453,,,,,80
