"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","Position","pop","counts"
"1","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","IL17A_CD4",1.92
"2","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","IFNy_CD8",12
"3","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Th17",5.7
"4","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Act_CD8",27.9
"5","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Div_Th17",8.26
"6","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Div_Act_CD8",21.3
"7","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","IFNy_CD4",12.7
"8","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","CD8",11.1
"9","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Treg17",15.8
"10","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Div_Th1",31.9
"11","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","CD4",20
"12","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Treg",6.81
"13","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Th1",15.9
"14","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild",20.7875785155625,"mLN","Div_Treg",33.6
"15","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","IFNy_CD4",4.78
"16","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Div_Act_CD8",22
"17","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Treg",5.82
"18","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","IL17A_CD4",1.16
"19","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Th1",11
"20","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","IFNy_CD8",4.7
"21","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Treg17",2.4
"22","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Act_CD8",26.7
"23","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Th17",0.43
"24","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Div_Th17",12.8
"25","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","CD8",15
"26","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Div_Th1",41.3
"27","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","CD4",27.7
"28","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild",17.1154869809471,"mLN","Div_Treg",24.9
"29","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","Div_Act_CD8",15.8
"30","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","Treg17",4.09
"31","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","Treg",9.83
"32","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","IFNy_CD4",3.12
"33","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","CD8",17.5
"34","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","IL17A_CD4",1.78
"35","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","IFNy_CD8",11.1
"36","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","CD4",33.6
"37","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","Th17",1.93
"38","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild",64.6586526808859,"mLN","Th1",10.6
