"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"22","AA_0691",32.6033333333333,FALSE,25.87,-6.73333333333333,"wild",108.263650485904,25.5,5.7,20.7,1.61,7.42,26.2,1.45,8.28,12.8,5.67,23.6,5.99,1.76,3.38,"spleen"
"23","AA_0692",32.69,FALSE,25.4766666666667,-7.21333333333333,"wild",NA,16.4,8.2,39,0.75,6.66,47.6,2.96,3.77,13.6,11,24.1,2.68,2.03,0.5,"spleen"
"24","AA_0692",32.69,FALSE,25.4766666666667,-7.21333333333333,"wild",NA,36.6,5.22,25,9.77,1.69,44.1,1.85,5.91,27.1,14.2,13.5,3.31,0.5,1.59,"mLN"
"25","AA_0693",31.8966666666667,TRUE,12.3733333333333,-19.5233333333333,"wild",NA,36.7,5.8,30.9,4.49,6.69,29.1,1.3,7.51,22.8,27.7,27.2,2.34,3.15,4.88,"mLN"
"26","AA_0693",31.8966666666667,TRUE,12.3733333333333,-19.5233333333333,"wild",NA,19.1,8.8,31,0.54,15.8,40.1,0.91,16.1,11.8,33.9,32.8,19,6.7,20.3,"spleen"
"27","AA_0694",26.1466666666667,TRUE,24.02,-2.12666666666667,"wild",916.888636873929,24.5,5.58,30.7,3.13,7.35,34,0.74,14.2,12,17.1,36.3,1.08,2.15,5.25,"mLN"
"28","AA_0694",26.1466666666667,TRUE,24.02,-2.12666666666667,"wild",916.888636873929,9.54,7.7,38.2,1.24,7.21,57.3,3.69,7.7,7.46,9.95,41.7,4.54,2.61,2.28,"spleen"
"29","AA_0695",30.8066666666667,TRUE,19.3866666666667,-11.42,"wild",122.952407167836,20.7,8.16,30.4,7.18,7.26,26.2,1.54,3.33,12.1,17,30.7,11.4,26.7,5.88,"mLN"
"30","AA_0695",30.8066666666667,TRUE,19.3866666666667,-11.42,"wild",122.952407167836,21.2,6.2,17.1,0.96,10.3,27,1.72,8.82,9.98,25.7,27.3,7.77,1.31,9.79,"spleen"
"31","AA_0696",31.22,TRUE,23.9666666666667,-7.25333333333334,"wild",214.606923211642,28.6,6.37,35.1,2.76,8.25,51.2,0.9,10.2,15.2,21.1,36.7,1.53,1.63,7.68,"mLN"
"32","AA_0696",31.22,TRUE,23.9666666666667,-7.25333333333334,"wild",214.606923211642,7.12,9.36,39,1.76,12.8,56.8,7.42,9.9,5.08,13.9,51.2,5.65,1.64,12.7,"spleen"
"33","AA_0697",32.17,FALSE,25.0266666666667,-7.14333333333333,"wild",21.6766207471745,47.6,8.25,11.4,4.78,2.01,21.1,1.86,5.02,17.5,9.58,10.9,4.99,11.1,0.55,"mLN"
