"","Mouse_ID","IFNy"
"1","AA_0682",17.1154869809471
"2","AA_0684",463.798876711237
"3","AA_0686",NA
"4","AA_0712",21.7407263879409
"5","AA_0715",30.7142601406632
"6","AA_0762",61.5859358002492
"7","AA_0774",11.2982790313474
"8","AA_0775",11.9543892107134
"9","AA_0809",7.4041538006493
"10","AA_0825",27.4264203485479
"11","AA_0830",29.6075148735655
"12","AA_0842",15.88182076634
"13","AA_0850",17.9392149676293
"14","AA_0851",8.22511749424512
"15","AA_0681",20.7875785155625
"16","AA_0683",64.6586526808859
"17","AA_0685",66.3078365198891
"18","AA_0687",86.0681895697546
"19","AA_0688",38.2811509994226
"20","AA_0689",264.143903959328
"21","AA_0690",25.7820406092397
"22","AA_0691",108.263650485904
"23","AA_0694",916.888636873929
"24","AA_0695",122.952407167836
"25","AA_0696",214.606923211642
"26","AA_0697",21.6766207471745
"27","AA_0698",11.4724322280817
"28","AA_0699",31.6287217547885
"29","AA_0700",NA
"30","AA_0701",NA
"31","AA_0704",133.679258760397
"32","AA_0705",21.4613032713458
"33","AA_0706",35.0842022081647
"34","AA_0707",21.9389964424636
"35","AA_0708",NA
"36","AA_0709",16.3952304651993
"37","AA_0717",29.3065307802482
"38","AA_0718",7.38230691769908
"39","AA_0719",5.35792013692603
"40","AA_0721",17.8763763167597
"41","AA_0722",26.8490499753658
"42","AA_0723",3.84097665990173
"43","AA_0724",16.187899344412
"44","AA_0725",21.8675246208082
"45","AA_0726",NA
"46","AA_0777",111.527010259291
"47","AA_0773",15.3505048874582
"48","AA_0776",9.54454588992076
"49","AA_0772",16.187899344412
"50","AA_0728",NA
"51","AA_0771",342.517843770568
"52","AA_0729",9.83222945964245
"53","AA_0770",16.9593402516726
"54","AA_0730",5.52080144264973
"55","AA_0763",22.0498071645638
"56","AA_0764",NA
"57","AA_0765",14.0974744806951
"58","AA_0766",5.52080144264973
"59","AA_0767",NA
"60","AA_0769",16.6065221477355
"61","AA_0778",NA
"62","AA_0779",18.1597502051205
"63","AA_0780",NA
"64","AA_0782",5.48944951604238
"65","AA_0783",NA
"66","AA_0784",2.99715594384047
"67","AA_0785",19.0513782725387
"68","AA_0786",NA
"69","AA_0787",NA
"70","AA_0788",14.3051335630885
"71","AA_0789",49.6587431017406
"72","AA_0790",3.13938262269383
"73","AA_0791",19.1253674148338
"74","AA_0792",128.396121073588
"75","AA_0794",21.9774619827865
"76","AA_0795",47.7268328498267
"77","AA_0796",NA
"78","AA_0797",20.7662044167415
"79","AA_0798",34.894492240272
"80","AA_0799",7.89931417222197
"81","AA_0800",11.7730176724578
"82","AA_0801",55.6844883013844
"83","AA_0803",38.7408708746415
"84","AA_0804",124.707741282077
"85","AA_0805",42.5781466291113
"86","AA_0806",61.7920092143247
"87","AA_0807",20.4982697883361
"88","AA_0692",4.65004338669125
"89","AA_0693",145.91461784518
"90","AA_0702",0.85281470969986
"91","AA_0703",536.749538158128
"92","AA_0710",4.96589754014628
"93","AA_0713",20.3257438697988
"94","AA_0714",53.1162085788689
"95","AA_0716",34.7039189577257
"96","AA_0720",40.0052706547764
"97","AA_0727",15.6921658620415
"98","AA_0731",123.038147706157
"99","AA_0732",4.80816776713662
"100","AA_0733",59.557164475258
"101","AA_0734",209.414433322795
"102","AA_0735",2.93302287692315
"103","AA_0736",22.92874750585
"104","AA_0737",29.6007218190353
"105","AA_0738",2.63070700277573
"106","AA_0739",281.976245174082
"107","AA_0740",47.6885021129687
"108","AA_0849",129.191491628692
"109","AA_0852",261.625213779618
"110","AA_0853",87.8123032460389
"111","AA_0854",9.79502030644527
"112","AA_0855",266.910753880115
"113","AA_0856",13.1934467060722
"114","AA_0857",109.966002273061
"115","AA_0741",130.971828875766
"116","AA_0742",37.4610414177941
"117","AA_0743",258.255561728026
"118","AA_0744",83.7016007607998
"119","AA_0745",3.87959605222917
"120","AA_0746",126.560689551338
"121","AA_0747",31.8767320425466
"122","AA_0748",149.868963011285
"123","AA_0749",9.82005694413184
"124","AA_0750",65.6582148084818
"125","AA_0751",6.44739653983444
"126","AA_0752",78.913226815855
"127","AA_0753",80.4543962357689
"128","AA_0754",43.3843726410914
"129","AA_0755",753.39809165986
"130","AA_0756",30.6263216230062
"131","AA_0757",48.8302528368158
"132","AA_0758",64.8827708236109
"133","AA_0759",34.8120049580819
"134","AA_0760",25.2473775816303
"135","AA_0761",70.8302974964285
"136","AA_0781",43.8526087003439
"137","AA_0793",109.42076220355
"138","AA_0808",110.445918612184
"139","AA_0810",119.849225984467
"140","AA_0811",68.4655049741122
"141","AA_0812",48.6735880008189
"142","AA_0813",479.011440321456
"143","AA_0814",254.164063444499
"144","AA_0815",245.36617387814
"145","AA_0816",137.333716540467
"146","AA_0817",110.79798411452
"147","AA_0818",101.107411385782
"148","AA_0819",63.4448718743655
"149","AA_0820",36.1105076766263
"150","AA_0821",58.093607995825
"151","AA_0822",54.8544738670484
"152","AA_0823",56.4591841230552
"153","AA_0824",22.6454045594744
"154","BLK2",NA
"155","AA_0827",22.3817288935125
"156","AA_0828",93.7120406111665
"157","AA_0829",67.7686657208225
"158","AA_0831",12.6608556586843
"159","AA_0832",75.6718354788059
"160","AA_0833",86.9363641032195
"161","AA_0834",109.303762129596
"162","AA_0835",17.036101134014
"163","AA_0836",65.6830347379844
"164","AA_0837",32.6293497590504
"165","AA_0838",34.3963994010636
"166","AA_0839",31.0687936889571
"167","AA_0840",69.1363293863269
