"","Address","Longitude","Latitude","Year"
"1","Althüttendorf",13.4832,52.5745,2014
"2","Beetz",13.058,52.4849,2014
"3","Böckenberg",13.4518,53.76,2014
"4","Brunn",12.3137,52.5431,2014
"5","Danewitz",13.3959,52.442,2014
"6","Flieth",13.4855,53.94,2014
"7","Friedrichsfelde 11",13.5036,53.539,2014
"8","Hammer",13.2621,52.5248,2014
"9","Hohenwutzen 30",14.78,52.5012,2014
"10","Joachimstahl",13.4358,52.5844,2014
"11","Liebenthal",13.2749,52.5456,2014
"12","Lietzow",12.509,52.371,2014
"13","Lübars",13.2128,52.3716,2014
"14","Neu-Temmen",13.4632,53.512,2014
"15","Neugaul",14.714,52.4517,2014
"16","Neulöwenberg",13.115,52.543,2014
"17","Neurüdnitz",14.1056,52.4723,2014
"18","Pausien",13.241,52.3814,2014
"19","Rüdnitz 21",13.3824,52.431,2014
"20","Schmachtenhagen",13.2042,52.4719,2014
"21","Staffelde",12.5933,52.4347,2014
"22","Stegelitz",11.4312,49.5257,2014
"23","Temmen",13.452,53.548,2014
"24","Tempelfelde",13.432,52.424,2014
"25","Zäckericker Loose",14.1427,52.4718,2014
"26","Zehlendorf 1",13.2358,52.4749,2014
"27","Zehlendorf 21a",13.2316,52.4631,2014
"28","Bezvěrov1",13.314,49.594,2014
"29","Bezvěrov2",13.311,49.5939,2014
"30","Blažim 39",13.256,49.551,2014
"31","Buškovice2",13.2227,50.1318,2014
"32","Chlum Svaté Máří1",12.3155,50.96,2014
"33","Chlum Svaté Máří 161",12.3151,50.95,2014
"34","Chotíkov 1",12.3021,50.79,2014
"35","Dolní Dvory",12.2514,50.5,2014
"36","Hohenberg 1",12.1246,50.67,2014
"37","Hůrka3",12.151,50.711,2014
"38","Jindřichov 31",12.2351,50.621,2014
"39","Jindřichov 5",12.2356,50.624,2014
"40","Josefov 20",12.3447,50.1241,2014
"41","Kaceřov2",12.3024,50.856,2014
"42","Kozlov",13.157,50.63,2014
"43","Krasíkov",12.566,49.5252,2014
"44","Křižovatka1",12.2322,50.1151,2014
"45","Křižovatka 60",12.2336,50.1138,2014
"46","Křižovatka silo",12.2342,50.1138,2014
"47","Kübelhof1",11.2628,50.1142,2014
"48","Květná 13",12.317,50.1214,2014
"49","Loužek",12.2717,50.621,2014
"50","Maiersreuth 9",12.2433,49.5919,2014
"51","Milhostov 64",12.273,50.932,2014
"52","Münchenreuth 31",12.1659,50.25,2014
"53","Nebanice 64, Vrbová",12.2721,50.655,2014
"54","Nebanice 10 Farm Pub",12.2813,50.653,2014
"55","Nepomyšl 172",13.1824,50.1258,2014
"56","Nová Ves 1 (CH)",12.2514,50.1039,2014
"57","Obilná2",12.2817,50.547,2014
"58","Ödmeiersrieth 4",12.315,49.3349,2014
"59","Odrava 26",12.293,50.616,2014
"60","Pastuchovice",13.233,50.49,2014
"61","Přehořov 11",13.2241,50.141,2014
"62","Přílezy - Pig house",12.5634,50.531,2014
