Name,Ct SYBR,Target SYBR,Ct Dev SYBR
CEWE_AA_527,27.760000000000002,GBP2,0.44
CEWE_AA_529,24.870000000000001,GBP2,0.17
CEWE_AA_529,24.989999999999998,GBP2,0.17
CEWE_AA_529,25.210000000000001,GBP2,0.17
CEWE_AA_524,28.690000000000001,CXCR3,0.16
CEWE_AA_524,28.949999999999999,CXCR3,0.16
CEWE_AA_524,28.969999999999999,CXCR3,0.16
CEWE_AA_526,25.670000000000002,CXCR3,0.08
CEWE_AA_526,25.579999999999998,CXCR3,0.08
CEWE_AA_526,25.739999999999998,CXCR3,0.08
CEWE_AA_527,27.780000000000001,CXCR3,0.38
CEWE_AA_527,28.34,CXCR3,0.38
CEWE_AA_527,28.510000000000002,CXCR3,0.38
CEWE_AA_529,24.890000000000001,CXCR3,0.14
CEWE_AA_529,24.98,CXCR3,0.14
CEWE_AA_529,25.16,CXCR3,0.14
CEWE_AA_524,26.140000000000001,IRG6,0.26
CEWE_AA_524,26.010000000000002,IRG6,0.26
CEWE_AA_524,25.640000000000001,IRG6,0.26
CEWE_AA_526,23.059999999999999,IRG6,0.21
CEWE_AA_526,23.309999999999999,IRG6,0.21
CEWE_AA_526,22.879999999999999,IRG6,0.21
CEWE_AA_527,25.739999999999998,IRG6,0.12
CEWE_AA_527,25.559999999999999,IRG6,0.12
CEWE_AA_527,25.789999999999999,IRG6,0.12
CEWE_AA_529,22.52,IRG6,0.63
CEWE_AA_529,22.420000000000002,IRG6,0.63
CEWE_AA_529,23.550000000000001,IRG6,0.63
CEWE_AA_532,18.289999999999999,GAPDH,0.32
CEWE_AA_532,17.870000000000001,GAPDH,0.32
CEWE_AA_532,18.489999999999998,GAPDH,0.32
CEWE_AA_533,23.460000000000001,GAPDH,1.21
CEWE_AA_533,21.370000000000001,GAPDH,1.21
CEWE_AA_533,21.370000000000001,GAPDH,1.21
CEWE_AA_535,21.23,GAPDH,1.1
CEWE_AA_535,19.890000000000001,GAPDH,1.1
CEWE_AA_535,19.059999999999999,GAPDH,1.1
CEWE_AA_532,21.870000000000001,beta-Actin,0.71
CEWE_AA_532,23.18,beta-Actin,0.71
CEWE_AA_532,23.010000000000002,beta-Actin,0.71
CEWE_AA_533,25.52,beta-Actin,0.88
CEWE_AA_533,23.760000000000002,beta-Actin,0.88
CEWE_AA_533,24.600000000000001,beta-Actin,0.88
CEWE_AA_535,24.690000000000001,beta-Actin,2.46
CEWE_AA_535,23.5,beta-Actin,2.46
CEWE_AA_535,19.960000000000001,beta-Actin,2.46
CEWE_AA_532,24.57,IL-6,1.73
CEWE_AA_532,24.609999999999999,IL-6,1.73
CEWE_AA_532,27.579999999999998,IL-6,1.73
CEWE_AA_533,29.829999999999998,IL-6,1
CEWE_AA_533,28,IL-6,1
CEWE_AA_533,28.219999999999999,IL-6,1
CEWE_AA_535,28.100000000000001,IL-6,1.33
CEWE_AA_535,26.84,IL-6,1.33
CEWE_AA_535,25.449999999999999,IL-6,1.33
CEWE_AA_532,23.390000000000001,IL-12b,1.11
CEWE_AA_532,23.949999999999999,IL-12b,1.11
CEWE_AA_532,25.539999999999999,IL-12b,1.11
CEWE_AA_533,29.140000000000001,IL-12b,0.72
CEWE_AA_533,27.84,IL-12b,0.72
CEWE_AA_533,27.98,IL-12b,0.72
CEWE_AA_535,27.510000000000002,IL-12b,1.58
CEWE_AA_535,26.239999999999998,IL-12b,1.58
CEWE_AA_535,24.370000000000001,IL-12b,1.58
CEWE_AA_532,25.300000000000001,GBP2,0.79
CEWE_AA_532,25.68,GBP2,0.79
CEWE_AA_532,26.82,GBP2,0.79
CEWE_AA_533,33.049999999999997,GBP2,1
CEWE_AA_533,31.579999999999998,GBP2,1
CEWE_AA_533,31.129999999999999,GBP2,1
CEWE_AA_535,30.190000000000001,GBP2,1.36
CEWE_AA_535,29.239999999999998,GBP2,1.36
CEWE_AA_535,27.510000000000002,GBP2,1.36
CEWE_AA_532,25.260000000000002,CXCR3,1.01
CEWE_AA_532,25.82,CXCR3,1.01
CEWE_AA_532,27.23,CXCR3,1.01
CEWE_AA_533,28.969999999999999,CXCR3,0.92
CEWE_AA_533,27.149999999999999,CXCR3,0.92
CEWE_AA_533,27.879999999999999,CXCR3,0.92
CEWE_AA_535,27.600000000000001,CXCR3,0.99
CEWE_AA_535,26.75,CXCR3,0.99
CEWE_AA_535,25.640000000000001,CXCR3,0.99
CEWE_AA_532,22.579999999999998,IRG6,0.49
CEWE_AA_532,22.899999999999999,IRG6,0.49
CEWE_AA_532,23.530000000000001,IRG6,0.49
CEWE_AA_533,25.960000000000001,IRG6,0.57
CEWE_AA_533,24.82,IRG6,0.57
CEWE_AA_533,25.329999999999998,IRG6,0.57
CEWE_AA_535,23.760000000000002,IRG6,0.56
CEWE_AA_535,23.5,IRG6,0.56
CEWE_AA_535,22.690000000000001,IRG6,0.56
CEWE_AA_536,18.899999999999999,GAPDH,0.8
CEWE_AA_536,17.550000000000001,GAPDH,0.8
CEWE_AA_536,17.48,GAPDH,0.8
CEWE_AA_537,21.030000000000001,GAPDH,0.17
CEWE_AA_537,20.780000000000001,GAPDH,0.17
CEWE_AA_537,20.710000000000001,GAPDH,0.17
CEWE_AA_538,22.07,GAPDH,0.33
CEWE_AA_538,22.66,GAPDH,0.33
CEWE_AA_538,22.120000000000001,GAPDH,0.33
CEWE_AA_539,20.91,GAPDH,0.41
CEWE_AA_539,20.579999999999998,GAPDH,0.41
CEWE_AA_539,20.09,GAPDH,0.41
CEWE_AA_536,22.59,beta-Actin,0.65
CEWE_AA_536,22.350000000000001,beta-Actin,0.65
CEWE_AA_536,21.359999999999999,beta-Actin,0.65
CEWE_AA_537,25.489999999999998,beta-Actin,0.45
CEWE_AA_537,24.989999999999998,beta-Actin,0.45
CEWE_AA_537,24.59,beta-Actin,0.45
CEWE_AA_538,25.530000000000001,beta-Actin,0.41
CEWE_AA_538,25.260000000000002,beta-Actin,0.41
CEWE_AA_538,24.73,beta-Actin,0.41
CEWE_AA_539,23.989999999999998,beta-Actin,0.38
CEWE_AA_539,24.280000000000001,beta-Actin,0.38
CEWE_AA_539,24.739999999999998,beta-Actin,0.38
CEWE_AA_536,24.52,IL-6,0.24
CEWE_AA_536,24.280000000000001,IL-6,0.24
CEWE_AA_536,24.039999999999999,IL-6,0.24
CEWE_AA_537,27.760000000000002,IL-6,0.43
CEWE_AA_537,27.149999999999999,IL-6,0.43
CEWE_AA_537,26.93,IL-6,0.43
CEWE_AA_538,28.649999999999999,IL-6,0.39
CEWE_AA_538,28.300000000000001,IL-6,0.39
CEWE_AA_538,27.870000000000001,IL-6,0.39
CEWE_AA_539,27.510000000000002,IL-6,0.15
CEWE_AA_539,27.530000000000001,IL-6,0.15
CEWE_AA_539,27.260000000000002,IL-6,0.15
CEWE_AA_536,24.550000000000001,IL-12b,0.84
CEWE_AA_536,23.039999999999999,IL-12b,0.84
CEWE_AA_536,23.140000000000001,IL-12b,0.84
CEWE_AA_537,26.780000000000001,IL-12b,0.25
CEWE_AA_537,26.890000000000001,IL-12b,0.25
CEWE_AA_537,26.41,IL-12b,0.25
CEWE_AA_538,29.129999999999999,IL-12b,0.9
CEWE_AA_538,27.940000000000001,IL-12b,0.9
CEWE_AA_538,27.370000000000001,IL-12b,0.9
CEWE_AA_539,27.77,IL-12b,0.73
CEWE_AA_539,27.120000000000001,IL-12b,0.73
CEWE_AA_539,26.300000000000001,IL-12b,0.73
CEWE_AA_536,30.280000000000001,GBP2,2.6
CEWE_AA_536,25.670000000000002,GBP2,2.6
CEWE_AA_536,25.870000000000001,GBP2,2.6
CEWE_AA_537,29.559999999999999,GBP2,0.68
CEWE_AA_537,29.359999999999999,GBP2,0.68
CEWE_AA_537,28.300000000000001,GBP2,0.68
CEWE_AA_538,32.109999999999999,GBP2,1.4
CEWE_AA_538,30.239999999999998,GBP2,1.4
CEWE_AA_538,29.370000000000001,GBP2,1.4
CEWE_AA_539,31.219999999999999,GBP2,0.73
CEWE_AA_539,29.940000000000001,GBP2,0.73
CEWE_AA_539,29.949999999999999,GBP2,0.73
CEWE_AA_536,25.350000000000001,CXCR3,0.86
CEWE_AA_536,23.670000000000002,CXCR3,0.86
CEWE_AA_536,24.239999999999998,CXCR3,0.86
CEWE_AA_537,28.010000000000002,CXCR3,0.37
CEWE_AA_537,27.82,CXCR3,0.37
CEWE_AA_537,27.289999999999999,CXCR3,0.37
CEWE_AA_538,28.16,CXCR3,0.58
CEWE_AA_538,27.59,CXCR3,0.58
CEWE_AA_538,27,CXCR3,0.58
CEWE_AA_539,26.960000000000001,CXCR3,0.25
CEWE_AA_539,27.440000000000001,CXCR3,0.25
CEWE_AA_539,27.32,CXCR3,0.25
CEWE_AA_536,20.989999999999998,IRG6,0.3
CEWE_AA_536,21.32,IRG6,0.3
CEWE_AA_536,21.59,IRG6,0.3
CEWE_AA_537,24.850000000000001,IRG6,0.05
CEWE_AA_537,24.850000000000001,IRG6,0.05
CEWE_AA_537,24.93,IRG6,0.05
CEWE_AA_538,27.010000000000002,IRG6,0.93
CEWE_AA_538,25.960000000000001,IRG6,0.93
CEWE_AA_538,25.16,IRG6,0.93
CEWE_AA_539,24.91,IRG6,0.22
CEWE_AA_539,24.760000000000002,IRG6,0.22
CEWE_AA_539,24.469999999999999,IRG6,0.22
CEWE_AA_540,19.760000000000002,GAPDH,0.21
CEWE_AA_540,19.34,GAPDH,0.21
CEWE_AA_540,19.609999999999999,GAPDH,0.21
CEWE_AA_542,25.82,GAPDH,1.1
CEWE_AA_542,24.18,GAPDH,1.1
CEWE_AA_542,23.739999999999998,GAPDH,1.1
CEWE_AA_543,20.710000000000001,GAPDH,0.82
CEWE_AA_543,19.149999999999999,GAPDH,0.82
CEWE_AA_543,19.52,GAPDH,0.82
CEWE_AA_554,22.100000000000001,GAPDH,0.2
CEWE_AA_554,21.760000000000002,GAPDH,0.2
CEWE_AA_554,21.75,GAPDH,0.2
CEWE_AA_540,22.41,beta-Actin,0.46
CEWE_AA_540,22.969999999999999,beta-Actin,0.46
CEWE_AA_540,23.329999999999998,beta-Actin,0.46
CEWE_AA_542,25.899999999999999,beta-Actin,0.51
CEWE_AA_542,25.629999999999999,beta-Actin,0.51
CEWE_AA_542,24.91,beta-Actin,0.51
CEWE_AA_543,23.66,beta-Actin,0.24
CEWE_AA_543,23.329999999999998,beta-Actin,0.24
CEWE_AA_543,23.199999999999999,beta-Actin,0.24
CEWE_AA_554,24.620000000000001,beta-Actin,0.2
CEWE_AA_554,24.579999999999998,beta-Actin,0.2
CEWE_AA_554,24.25,beta-Actin,0.2
CEWE_AA_540,26.510000000000002,IL-6,0.06
CEWE_AA_540,26.609999999999999,IL-6,0.06
CEWE_AA_540,26.629999999999999,IL-6,0.06
CEWE_AA_542,34.020000000000003,IL-6,0.97
CEWE_AA_542,32.979999999999997,IL-6,0.97
CEWE_AA_542,32.090000000000003,IL-6,0.97
CEWE_AA_543,26.920000000000002,IL-6,0.5
CEWE_AA_543,26.100000000000001,IL-6,0.5
CEWE_AA_543,26.030000000000001,IL-6,0.5
CEWE_AA_554,20.32,IL-6,4.78
CEWE_AA_554,28.539999999999999,IL-6,4.78
CEWE_AA_554,28.66,IL-6,4.78
CEWE_AA_540,25.07,IL-12b,0.97
CEWE_AA_540,25.5,IL-12b,0.97
CEWE_AA_540,26.93,IL-12b,0.97
CEWE_AA_542,,IL-12b,
CEWE_AA_542,,IL-12b,
CEWE_AA_542,34.369999999999997,IL-12b,
CEWE_AA_543,25.550000000000001,IL-12b,0.49
CEWE_AA_543,25.690000000000001,IL-12b,0.49
CEWE_AA_543,24.77,IL-12b,0.49
CEWE_AA_554,32.670000000000002,IL-12b,0.47
CEWE_AA_554,33.119999999999997,IL-12b,0.47
CEWE_AA_554,32.18,IL-12b,0.47
CEWE_AA_540,24.949999999999999,GBP2,0.91
CEWE_AA_540,26.210000000000001,GBP2,0.91
CEWE_AA_540,26.719999999999999,GBP2,0.91
