COCE,ILWE,ELFO,WEOH,WFOR,591,,,
COCE_0800,ILWE_0795,ELFO_0795,WEOH_,WFOR_,,,,
COCE_0801,ILWE_0796,ELFO_0796,WEOH_,WFOR_,,,,
COCE_0802,ILWE_0797,ELFO_0797,WEOH_,WFOR_,,,,
COCE_0803,ILWE_0798,ELFO_0798,WEOH_,WFOR_,,,,
COCE_0804,ILWE_0799,ELFO_0799,WEOH_,WFOR_,,,,
COCE_0805,ILWE_0800,ELFO_0800,WEOH_,WFOR_,,,,
COCE_0806,ILWE_0801,ELFO_0801,WEOH_,WFOR_,,,,
COCE_0807,ILWE_0802,ELFO_0802,WEOH_,WFOR_,,,,
COCE_0808,ILWE_0803,ELFO_0803,WEOH_,WFOR_,,,,
COCE_0809,ILWE_0804,ELFO_0804,WEOH_,WFOR_,,,,
COCE_0810,ILWE_0805,ELFO_0805,WEOH_,WFOR_,,,,
COCE_0811,ILWE_0806,ELFO_0806,WEOH_,WFOR_,,,,
COCE_0812,ILWE_0807,ELFO_0807,WEOH_,WFOR_,,,,
COCE_0813,ILWE_0808,ELFO_0808,WEOH_,WFOR_,,,,
COCE_0814,ILWE_0809,ELFO_0809,WEOH_,WFOR_,,,,
COCE_0815,ILWE_0810,ELFO_0810,WEOH_,WFOR_,,,,
COCE_0816,ILWE_0811,ELFO_0811,WEOH_,WFOR_,,,,
COCE_0817,ILWE_0812,ELFO_0812,WEOH_,WFOR_,,,,
COCE_0818,ILWE_0813,ELFO_0813,WEOH_,WFOR_,,,,
COCE_0819,ILWE_0814,ELFO_0814,WEOH_,WFOR_,,,,
COCE_0820,ILWE_0815,ELFO_0815,WEOH_,WFOR_,,,,
COCE_0821,ILWE_0816,ELFO_0816,WEOH_,WFOR_,,,,
COCE_0822,ILWE_0817,ELFO_0817,WEOH_,WFOR_,,,,
COCE_0823,ILWE_0818,ELFO_0818,WEOH_,WFOR_,,,,
COCE_0824,ILWE_0819,ELFO_0819,WEOH_,WFOR_,,,,
COCE_0825,ILWE_0820,ELFO_0820,WEOH_,WFOR_,,,,
COCE_0826,ILWE_0821,ELFO_0821,WEOH_,WFOR_,,,,
COCE_0827,ILWE_0822,ELFO_0822,WEOH_,WFOR_,,,,
COCE_0828,ILWE_0823,ELFO_0823,WEOH_,WFOR_,,,,
COCE_0829,ILWE_0824,ELFO_0824,WEOH_,WFOR_,,,,
COCE_0830,ILWE_0825,ELFO_0825,WEOH_,WFOR_,,,,
COCE_0831,ILWE_0826,ELFO_0826,WEOH_,WFOR_,,,,
COCE_0832,ILWE_0827,ELFO_0827,WEOH_,WFOR_,,,,
COCE_0833,ILWE_0828,ELFO_0828,WEOH_,WFOR_,,,,
COCE_0834,ILWE_0829,ELFO_0829,WEOH_,WFOR_,,,,
COCE_0835,ILWE_0830,ELFO_0830,WEOH_,WFOR_,,,,
COCE_0836,ILWE_0831,ELFO_0831,WEOH_,WFOR_,,,,
COCE_0837,ILWE_0832,ELFO_0832,WEOH_,WFOR_,,,,
COCE_0838,ILWE_0833,ELFO_0833,WEOH_,WFOR_,,,,
COCE_0839,ILWE_0834,ELFO_0834,WEOH_,WFOR_,,,,
COCE_0840,ILWE_0835,ELFO_0835,WEOH_,WFOR_,,,,
COCE_0841,ILWE_0836,ELFO_0836,WEOH_,WFOR_,,,,
COCE_0842,ILWE_0837,ELFO_0837,WEOH_,WFOR_,,,,
COCE_0843,ILWE_0838,ELFO_0838,WEOH_,WFOR_,,,,
COCE_0844,ILWE_0839,ELFO_0839,WEOH_,WFOR_,,,,
COCE_0845,ILWE_0840,ELFO_0840,WEOH_,WFOR_,,,,
COCE_0846,ILWE_0841,ELFO_0841,WEOH_,WFOR_,,,,
COCE_0847,ILWE_0842,ELFO_0842,WEOH_,WFOR_,,,,
COCE_0848,ILWE_0843,ELFO_0843,WEOH_,WFOR_,,,,
COCE_0849,ILWE_0844,ELFO_0844,WEOH_,WFOR_,,,,
COCE_0850,ILWE_0845,ELFO_0845,WEOH_,WFOR_,,,,
COCE_0851,ILWE_0846,ELFO_0846,WEOH_,WFOR_,,,,
COCE_0852,ILWE_0847,ELFO_0847,WEOH_,WFOR_,,,,
COCE_0853,ILWE_0848,ELFO_0848,WEOH_,WFOR_,,,,
COCE_0854,ILWE_0849,ELFO_0849,WEOH_,WFOR_,,,,
COCE_0855,ILWE_0850,ELFO_0850,WEOH_,WFOR_,,,,
COCE_0856,ILWE_0851,ELFO_0851,WEOH_,WFOR_,,,,
COCE_0857,ILWE_0852,ELFO_0852,WEOH_,WFOR_,,,,
COCE_0858,ILWE_0853,ELFO_0853,WEOH_,WFOR_,,,,
COCE_0859,ILWE_0854,ELFO_0854,WEOH_,WFOR_,,,,
COCE_0860,,ELFO_0855,WEOH_,WFOR_,,,,
COCE_0861,,ELFO_0856,WEOH_,WFOR_,,,,
COCE_0862,,ELFO_0857,WEOH_,WFOR_,,,,
COCE_0863,,ELFO_0858,WEOH_,WFOR_,,,,
