KI,LUN,CECE,SG,SICE,FEC,FEC,MES,SPL1,SPL2,COCE1,COCE2,LIV,LIV1,COWE,CEWE,CEWE,ILWE,ILWE,ELFO,WEOH,WFOR
,,AA_0681,AA_0681,AA_0681,AA_0681,AA_0681,AA_0681,AA_0681,AA_0681,,AA_0681,AA_0681,,,,,,AA_0681,AA_0681,,
,,AA_0682,AA_0682,AA_0682,AA_0682,AA_0682,AA_0682,AA_0682,AA_0682,,AA_0682,AA_0682,,,,,,AA_0682,AA_0682,,
,,AA_0683,AA_0683,AA_0683,AA_0683,AA_0683,AA_0683,AA_0683,AA_0683,,AA_0683,AA_0683,,,,,,AA_0683,AA_0683,,
,,AA_0684,AA_0684,AA_0684,AA_0684,AA_0684,AA_0684,AA_0684,AA_0684,,AA_0684,AA_0684,,,,,,AA_0684,AA_0684,,
,,AA_0685,AA_0685,AA_0685,AA_0685,AA_0685,AA_0685,AA_0685,AA_0685,,AA_0685,AA_0685,,,,,,AA_0685,AA_0685,,
AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,AA_0686,,AA_0686,AA_0686,,AA_0686,AA_0686,,
AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,AA_0687,,AA_0687,AA_0687,,AA_0687,AA_0687,,
AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,AA_0688,,AA_0688,AA_0688,,AA_0688,AA_0688,,
AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,AA_0689,,AA_0689,AA_0689,,AA_0689,AA_0689,,
AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,AA_0690,,AA_0690,AA_0690,,AA_0690,AA_0690,,
AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,AA_0691,,AA_0691,AA_0691,,AA_0691,AA_0691,,
AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,AA_0692,,AA_0692,AA_0692,,AA_0692,AA_0692,,
AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,AA_0693,,AA_0693,AA_0693,,AA_0693,AA_0693,,
AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,AA_0694,,AA_0694,AA_0694,,AA_0694,AA_0694,,
AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,AA_0695,,AA_0695,AA_0695,,AA_0695,AA_0695,,
AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,AA_0696,,AA_0696,AA_0696,,AA_0696,AA_0696,,
AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,AA_0697,,AA_0697,AA_0697,,AA_0697,AA_0697,,
AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,AA_0698,,AA_0698,AA_0698,,AA_0698,AA_0698,,
AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,AA_0699,,AA_0699,AA_0699,,AA_0699,AA_0699,,
AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,AA_0700,,AA_0700,AA_0700,,AA_0700,AA_0700,,
AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,AA_0701,,AA_0701,AA_0701,,AA_0701,AA_0701,,
AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,AA_0702,,AA_0702,AA_0702,,AA_0702,AA_0702,,
AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,AA_0703,,AA_0703,AA_0703,,AA_0703,AA_0703,,
AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,AA_0704,,AA_0704,AA_0704,,AA_0704,AA_0704,,
AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,AA_0705,,AA_0705,AA_0705,,AA_0705,AA_0705,,
