# File Name: qPCR_eimeria_field_faeces_JK_09022022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 10:37:01 AM UTC
# Run End Date/Time: 2022-02-09 11:58:09 AM UTC
# Run Duration: 81 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:51:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:52:30 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","98709.97","40621.902","176383.1"
"2","A2","1","91222.47","37231.16","150389.03"
"3","A3","1","123999.53","43835.32","153723.0"
"4","A4","1","98802.31","37571.953","135522.27"
"5","A5","1","106451.27","37866.293","122794.44"
"6","A6","1","122683.875","41291.37","132110.98"
"7","A7","1","102365.87","39167.883","142880.64"
"8","A8","1","106216.86","37508.18","131769.89"
"9","A9","1","104897.87","36940.35","123326.016"
"10","A10","1","55590.992","25434.143","103263.5"
"11","A11","1","80141.92","29932.414","109536.77"
"12","A12","1","82857.48","30925.818","119927.97"
"13","B1","1","130655.21","49430.832","181090.1"
"14","B2","1","146436.75","47266.1","150788.7"
"15","B3","1","144023.77","42447.09","125123.164"
"16","B4","1","130353.195","45105.09","151940.58"
"17","B5","1","125010.72","36981.84","114496.44"
"18","B6","1","146010.0","42170.28","123974.5"
"19","B7","1","111472.26","40767.254","146445.62"
"20","B8","1","97078.55","29844.033","99221.75"
"21","B9","1","116799.47","35081.91","107411.92"
"22","B10","1","69005.61","32319.184","128993.445"
"23","B11","1","83184.33","28192.623","100048.945"
"24","B12","1","84836.72","33229.797","120151.02"
"25","C1","1","140693.36","52727.65","179482.64"
"26","C2","1","169355.84","51637.01","154048.05"
"27","C3","1","171279.4","49427.785","140004.55"
"28","C4","1","130424.05","46547.887","162746.16"
"29","C5","1","131065.22","38195.176","116324.984"
"30","C6","1","150409.33","43275.312","129155.195"
"31","C7","1","125598.19","43325.496","146348.61"
"32","C8","1","116028.62","34770.984","108564.375"
"33","C9","1","129443.95","39026.367","115925.4"
"34","C10","1","78992.13","39573.14","157087.56"
"35","C11","1","65766.445","26244.338","99706.14"
"36","C12","1","65640.305","26428.385","101535.4"
"37","D1","1","113405.98","44784.96","167233.36"
"38","D2","1","113179.484","39635.438","134479.78"
"39","D3","1","153008.73","48858.734","154619.98"
"40","D4","1","116468.66","47057.805","175161.16"
"41","D5","1","86453.016","33729.117","118693.79"
"42","D6","1","67846.234","25384.16","90382.15"
"43","D7","1","143099.27","43631.18","140172.8"
"44","D8","1","103679.2","31203.492","96365.7"
"45","D9","1","125982.45","35716.547","104178.23"
"46","D10","1","131478.12","43867.26","138122.52"
"47","D11","1","90287.49","28881.803","89610.945"
"48","D12","1","91077.016","30869.555","94608.18"
"49","E1","1","160184.98","53309.555","179810.02"
"50","E2","1","149072.0","48969.754","152415.6"
"51","E3","1","117851.336","36111.613","108314.9"
"52","E4","1","131527.23","44345.844","142295.34"
"53","E5","1","142577.6","44956.555","140483.66"
"54","E6","1","135807.62","39256.8","116281.055"
"55","E7","1","125463.43","41478.523","137481.31"
"56","E8","1","100945.22","29794.182","90882.44"
"57","E9","1","115006.375","34940.426","106047.48"
"58","E10","1","101770.445","42612.305","151079.69"
"59","E11","1","98114.28","34798.94","114633.12"
"60","E12","1","100588.01","34492.25","106556.51"
"61","F1","1","149162.2","50436.266","171034.14"
"62","F2","1","129444.25","41859.965","142236.89"
"63","F3","1","116184.734","38474.926","125058.875"
"64","F4","1","104854.26","41952.555","156736.5"
"65","F5","1","111379.414","39784.63","134924.02"
"66","F6","1","118087.22","36425.254","114894.11"
"67","F7","1","125021.43","46030.918","158185.44"
"68","F8","1","106871.86","35095.812","116045.32"
"69","F9","1","110369.74","33139.42","103108.586"
"70","F10","1","100378.72","35215.535","117359.35"
"71","F11","1","113654.16","37184.73","116361.66"
"72","F12","1","103858.555","33124.37","97127.164"
"73","G1","1","139850.0","49770.637","171059.81"
"74","G2","1","149280.5","50475.18","159356.62"
"75","G3","1","139657.66","45070.055","135484.72"
"76","G4","1","118951.18","45208.56","157392.16"
"77","G5","1","134701.53","40859.543","125182.11"
"78","G6","1","117509.47","38356.527","121429.27"
"79","G7","1","105372.29","39970.38","138868.08"
"80","G8","1","134807.05","43176.727","135348.12"
"81","G9","1","113317.68","33891.68","101269.57"
"82","G10","1","112968.48","41085.953","136543.81"
"83","G11","1","102342.26","34975.996","109250.45"
"84","G12","1","141216.88","43990.0","133460.45"
"85","H1","1","110573.71","46608.316","170552.61"
"86","H2","1","106859.336","40658.19","134708.83"
"87","H3","1","150532.39","47866.41","139358.1"
"88","H4","1","122633.336","44457.84","147174.0"
"89","H5","1","136910.52","43867.914","133145.92"
"90","H6","1","138127.34","41313.195","121494.07"
"91","H7","1","118647.88","44107.72","150095.86"
"92","H8","1","132357.8","42808.273","132187.5"
"93","H9","1","104723.56","33466.414","105117.1"
"94","H10","1","43500.316","25464.941","112382.914"
"95","H11","1","42213.965","24404.664","110323.49"
"96","H12","1","41117.39","21690.383","110686.45"
"1","A1","1","62505.29","34355.05","170153.81"
"2","A2","1","48988.695","31303.35","147240.62"
"3","A3","1","57417.008","34842.4","147221.33"
"4","A4","1","56989.156","31102.06","134852.66"
"5","A5","1","39777.887","28250.521","117343.62"
"6","A6","1","46005.668","30500.994","125565.82"
"7","A7","1","51423.61","31996.604","137160.27"
"8","A8","1","53069.062","30303.293","125948.33"
"9","A9","1","46086.105","28023.705","116090.86"
"10","A10","1","33041.3","22775.598","101071.85"
"11","A11","1","42166.098","23918.799","107310.016"
"12","A12","1","47988.277","24692.494","115031.836"
"13","B1","1","69097.28","38879.1","174731.58"
"14","B2","1","68158.54","34772.07","144356.0"
"15","B3","1","61559.832","29547.629","119638.95"
"16","B4","1","65486.844","35210.336","142388.03"
"17","B5","1","60439.21","28142.848","109532.625"
"18","B6","1","59141.305","30714.074","118623.984"
"19","B7","1","61413.277","34979.38","139706.89"
"20","B8","1","49173.09","23230.033","93945.61"
"21","B9","1","52748.45","25824.93","103309.5"
