# File Name: qPCR_eimeria_field_faeces_JK_09022022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 10:37:01 AM UTC
# Run End Date/Time: 2022-02-09 11:58:09 AM UTC
# Run Duration: 81 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:51:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:52:30 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"24","B12","false","AA688","Eim","UNKNOWN","SYBR","None","Amp","1.470940936940274","","","27.828590312667153","0.992824237238062","28.05249226329526","0.6032384899537495","true","0.10566044958412003","true","3","23","75.26614379882812","","",""
"25","C1","false","AA839","Eim","UNKNOWN","SYBR","None","Amp","1.4550039546698568","","","26.97212538198339","0.9473377111915833","26.6897722483412","0.2593716172421641","true","0.10566044958412003","true","3","22","74.7903823852539","","",""
"26","C2","false","AA839","Eim","UNKNOWN","SYBR","None","Amp","1.4385378964538855","","","26.635089419861295","0.9024210643234815","26.6897722483412","0.2593716172421641","true","0.10566044958412003","true","3","22","74.63939666748047","","",""
"27","C3","false","AA839","Eim","UNKNOWN","SYBR","None","Amp","1.4251905412626977","","","26.462101943178922","0.9041042586157335","26.6897722483412","0.2593716172421641","true","0.10566044958412003","true","3","22","74.63939666748047","","",""
"28","C4","false","AA747","Eim","UNKNOWN","SYBR","None","Amp","1.4565479808577886","","","27.182494617524412","0.947249328810065","26.783545209163822","0.3724510650761263","true","0.10566044958412003","true","3","22","74.94136810302734","","",""
"29","C5","false","AA747","Eim","UNKNOWN","SYBR","None","Amp","1.445833413120787","","","26.44496866080808","0.9097420741483635","26.783545209163822","0.3724510650761263","true","0.10566044958412003","true","3","22","74.79873657226562","","",""
"30","C6","false","AA747","Eim","UNKNOWN","SYBR","None","Amp","1.4305819004969134","","","26.723172349158972","0.8930226950275247","26.783545209163822","0.3724510650761263","true","0.10566044958412003","true","3","23","75.10091400146484","","",""
"31","C7","false","AA774","Eim","UNKNOWN","SYBR","None","Amp","1.4327105414009802","","","30.88820984665759","0.9047304752303006","31.477476961352025","0.7480642377077245","true","0.10566044958412003","true","3","27","79.9357681274414","","",""
"32","C8","false","AA774","Eim","UNKNOWN","SYBR","None","Amp","1.403721610538628","","","32.31907788919942","0.881028222623887","31.477476961352025","0.7480642377077245","true","0.10566044958412003","true","3","27","79.78468322753906","","",""
"33","C9","false","AA774","Eim","UNKNOWN","SYBR","None","Amp","1.434668135532786","","","31.225143148199066","0.8698954343172739","31.477476961352025","0.7480642377077245","true","0.10566044958412003","true","3","27","80.70960998535156","74.35890197753906","",""
"34","C10","false","AA818","Eim","UNKNOWN","SYBR","None","Amp","1.430515035271669","","","31.751486415874638","0.9699512644227826","31.83060170560978","0.07371272964236596","true","0.10566044958412003","true","3","27","74.96372985839844","81.61685180664062","",""
"35","C11","false","AA818","Eim","UNKNOWN","SYBR","None","Amp","1.4315382474203338","","","31.897346566388173","0.971092125701554","31.83060170560978","0.07371272964236596","true","0.10566044958412003","true","3","28","74.8125228881836","","",""
"36","C12","false","AA818","Eim","UNKNOWN","SYBR","None","Amp","1.4386978282883438","","","31.842972134566523","0.9501047967386029","31.83060170560978","0.07371272964236596","true","0.10566044958412003","true","3","27","75.26614379882812","84.7922134399414","",""
"37","D1","false","AA850","Eim","UNKNOWN","SYBR","None","Amp","1.3892816854001402","","","34.74323907790789","0.9449414568647707","33.370593983339404","1.409802647841019","true","0.10566044958412003","true","3","29","81.28280639648438","","",""
"38","D2","false","AA850","Eim","UNKNOWN","SYBR","None","Amp","1.4000292467390287","","","31.926361422183057","0.8869882784871865","33.370593983339404","1.409802647841019","true","0.10566044958412003","true","3","28","74.48841094970703","","",""
"39","D3","false","AA850","Eim","UNKNOWN","SYBR","None","Amp","1.3897467033874105","","","33.44218144992726","0.8670944406548075","33.370593983339404","1.409802647841019","true","0.10566044958412003","true","3","29","77.50814056396484","81.28280639648438","",""
"40","D4","false","AA783","Eim","UNKNOWN","SYBR","None","Amp","1.4617163273056257","","","33.76222988439021","0.9764746445935139","34.66588604018549","0.8886805205773848","true","0.10566044958412003","true","3","29","74.48841094970703","78.11209106445312","",""
"41","D5","false","AA783","Eim","UNKNOWN","SYBR","None","Inconclusive","1.3230982159717288","","","35.53879277074003","0.9437310011820657","34.66588604018549","0.8886805205773848","true","0.10566044958412003","true","3","32","79.02923583984375","85.07279968261719","",""
"42","D6","false","AA783","Eim","UNKNOWN","SYBR","None","Inconclusive","1.424940695681205","","","34.69663546542624","0.9415717438751166","34.66588604018549","0.8886805205773848","true","0.10566044958412003","true","3","30","79.18032836914062","85.07279968261719","",""
"43","D7","false","AA824","Eim","UNKNOWN","SYBR","None","Amp","1.456543712051075","","","32.73579000611977","0.9313535710985235","32.78264885473383","0.7552641746295861","true","0.10566044958412003","true","3","28","80.3890380859375","","",""
"44","D8","false","AA824","Eim","UNKNOWN","SYBR","None","Amp","1.4490949363919245","","","32.05190511609433","0.9305392041138362","32.78264885473383","0.7552641746295861","true","0.10566044958412003","true","3","28","77.97161102294922","84.61953735351562","",""
