"Transect","Mouse_ID","Sex","Longitude","Latitude","Year","Body_weight","Cysticercus","Trichuris_muris","Aspiculuris_tetraptera","Syphacia_obvelata","Flea","Dissection","Capture","Mastophorus_muris","Hymenolepis_microstoma","Heterakis_spumosa","Mesocestoides","Catenotaenia_pusilla","Body_length","Tail_length","mtBamH","Zfy2","Y","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","HI_NLoci","HI","Dist0","REGion","SRY1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","Dist","Hymenolepis","Oxyurids","Mix_Syphacia_Aspiculuris","State","Status","Species","Dissectors","Embryo_left","Embryo_right","Feces_weight","Hymenolepis_diminiuta","Heligmosomoides_polygurus"
"HZ_BR","AA_0061","M",13.5953,52.2742,2016,11.94,0,0,0,15,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,72,80,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-20.44,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0062","F",13.5953,52.2742,2016,17.29,0,0,0,44,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,87,92,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100/125","100","100","100","HI 13",0.04,-20.44,"dom",NA,"dd","dd","dm","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0063","M",13.84,52.2678,2016,9.76,0,0,0,5,NA,2016-09-23,2016-09-22,0,"0",0,NA,0,65,74,"d","m","m","d","d","d","d","d","d","94","100","100","100","70/100","100","HI 14",0.1,-3.77,"mus",NA,"dd","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0064","F",13.4642,52.4164,2016,16.2,0,0,0,1,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,73,88,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100/120","100","100","HI 13",0.08,-7.42,"dom",NA,"dd","dm","dd","dm","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0065","M",13.4642,52.4164,2016,14,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,75,81,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-7.42,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0066","F",13.4642,52.4164,2016,19.45,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,87,89,"d",NA,NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","90/100","100","HI 13",0.12,-7.42,"dom",NA,"mm","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0067","M",13.4642,52.4164,2016,18.73,0,0,1,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,79,86,"d","d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","HI 14",0.1,-7.42,"dom",NA,"dd","dm","dd","dm","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0068","F",13.4642,52.4164,2016,16.8,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,83,89,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100/120","100","100","HI 13",0.04,-7.42,"dom",NA,"dd","dd","dd","dm","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0069","M",13.4642,52.4164,2016,14.25,0,0,0,1,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,78,87,"d","d","d","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0,-7.42,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0070","F",13.4642,52.4164,2016,13.96,0,0,0,9,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,72,85,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-7.42,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0071","F",13.6,52.8425,2016,13.65,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,78,88,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100","100","100","HI 13",0.04,-6.45,"dom",NA,"dd","dm","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0072","F",13.3047,52.9936,2016,15.11,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,75,82,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0073","F",13.3047,52.9936,2016,18.03,0,0,0,1,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,85,79,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0074","F",13.3047,52.9936,2016,19.75,0,0,0,17,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,86,88,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0075","F",13.3047,52.9936,2016,17.08,0,0,0,9,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,84,81,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0076","M",13.7072,52.2422,2016,21.85,0,0,0,2,NA,2016-09-24,2016-09-23,15,"0",0,NA,0,86,86,"d","m","m","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0.05,-12.61,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0077","F",13.5883,52.2156,2016,25.72,0,0,0,0,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,92,90,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-20.5,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0078","F",13.5883,52.2156,2016,14.42,0,0,0,26,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,74,73,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-20.5,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0079","M",13.84,52.2678,2016,14.53,0,0,0,3,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,75,83,"d","m","m","d","d","d","d","d","d","94","100","100","100","70/100","100","HI 14",0.1,-3.77,"mus",NA,"dd","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0080","F",13.84,52.2678,2016,12.51,0,0,0,3,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,72,80,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-3.77,"mus",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0081","M",13.84,52.2678,2016,18.35,0,0,0,1,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,86,91,"d","m","m","d","d","d","d","d","d","94","100","100","100","100","100","HI 14",0.05,-3.77,"mus",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0082","F",13.84,52.2678,2016,12.02,0,0,0,1,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,72,81,"d",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0,-3.77,"mus",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0083","F",13.6761,52.4978,2016,17.94,0,0,0,4,NA,2016-09-24,2016-09-23,0,"0",0,NA,0,85,79,"d",NA,NA,"mm","mm",NA,"mm","mm","mm","100","95/100","125","120","90","80","HI 12",0.9130434783,-12.08,"dom",NA,"mm","dm","mm","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0084","M",13.6761,52.4978,2016,20.04,0,0,0,3,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,82,82,"d",NA,NA,NA,NA,NA,"m","m","m","94","100","100/125","100/120","90/100","80","HI 10",0.5,-12.08,"dom",NA,"dd","dd","dm","dm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0085","F",13.6761,52.4978,2016,28.27,0,0,0,0,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,91,92,"d",NA,NA,"mm","mm","mm","mm","mm","mm","94/100","95/100","100","120","90","80","HI 13",0.8,-12.08,"dom",NA,"dm","dm","dd","mm","mm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0086","M",13.6761,52.4978,2016,16.17,0,0,0,10,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,75,93,"d",NA,NA,NA,"d",NA,"d","d","d","94","100","100","100","100","80","HI 11",0.1176470588,-12.08,"dom",NA,"dd","dd","dd","dd","dd","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0087","F",13.6761,52.4978,2016,15.42,0,0,0,1,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,81,75,"d",NA,NA,"mm","mm",NA,"mm","mm","mm","94/100","95/100","100/125","120","90/100","80","HI 12",0.7826086957,-12.08,"dom",NA,"dm","dm","dm","mm","dm","mm",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0088","M",13.84,52.2678,2016,12.44,0,0,0,19,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,73,81,"d","m","m","d","d","d","d","d","d","100","100","100","100","90/100","100","HI 14",0.2,-3.77,"mus",NA,"mm","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0089","F",13.84,52.2678,2016,10.82,0,0,0,0,NA,2016-09-24,2016-09-22,0,"0",0,NA,0,68,71,"d",NA,NA,NA,"dd",NA,"dd","dd","dd","94","100","100","100","70/100","100","HI 11",0.0476190476,-3.77,"mus",NA,"dd","dd","dd","dd","dm","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0090","M",13.7072,52.2422,2016,11.18,0,0,0,3,"2",2016-09-25,2016-09-24,0,"0",0,NA,0,75,76,"d",NA,NA,NA,NA,NA,"dd",NA,NA,"94","100","100","100","100","100","HI 8",0,-12.61,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0091","F",13.5544,52.7881,2016,11.6,0,0,0,32,"11",2016-09-25,2016-09-24,0,"0",0,NA,0,68,73,"d",NA,NA,NA,NA,NA,"dd","dd","dd","94","100","100","100","100","100","HI 10",0,-12.43,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0092","M",13.5544,52.7881,2016,16.71,0,0,0,22,"10",2016-09-25,2016-09-24,0,"0",0,NA,0,77,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","100","100","100","100","100","HI 6",0,-12.43,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0093","M",13.3047,52.9936,2016,16.26,0,0,0,3,"5",2016-09-25,2016-09-24,0,"0",0,NA,0,81,85,NA,"m","m","d",NA,NA,NA,"d","d","94","100","100","100","100","100","HI 10",0.0625,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HZ_BR","AA_0094","F",13.3047,52.9936,2016,16.76,0,0,0,8,"4",2016-09-25,2016-09-24,0,"0",0,NA,0,81,83,"m",NA,NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","HI 13",0.04,-8.52,"dom",NA,"dd","dd","dd","dd","dd","dd",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
