"Latitude","Longitude","Year","Number_mus_caught","People","Address","Date_set","Time_set","Number_traps_set","Date_collect","Time_collect","Number_rodents_caught"
52.3108,14.2492,2013,2,NA,NA,NA,NA,NA,NA,NA,NA
50.195,11.4411,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
49.8825,11.72,2014,6,NA,NA,NA,NA,NA,NA,NA,NA
50.1814,11.7625,2014,7,NA,NA,NA,NA,NA,NA,NA,NA
50.1569,12.1033,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1019,12.2128,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
49.9914,12.2331,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
50.1197,12.2503,2014,5,NA,NA,NA,NA,NA,NA,NA,NA
50.0133,12.2578,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
49.1144,12.2781,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.0347,12.2831,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.1975,12.3894444444,2014,5,NA,NA,NA,NA,NA,NA,NA,NA
50.1938888889,12.3933333333,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1058,12.3975,2014,3,NA,NA,NA,NA,NA,NA,NA,NA
50.1058333333,12.3977777778,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
49.9877777778,12.4086111111,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
50.0833333333,12.4205555556,2014,7,NA,NA,NA,NA,NA,NA,NA,NA
50.1775,12.4206,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.1058333333,12.4544444444,2014,10,NA,NA,NA,NA,NA,NA,NA,NA
50.1153,12.4558,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.1588888889,12.4583333333,2014,8,NA,NA,NA,NA,NA,NA,NA,NA
50.115,12.4702777778,2014,3,NA,NA,NA,NA,NA,NA,NA,NA
50.1147,12.4703,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.115,12.4703,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.0964,12.4714,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
50.1044,12.4842,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1192,12.5058,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1191666667,12.5058333333,2014,3,NA,NA,NA,NA,NA,NA,NA,NA
50.1488888889,12.5066666667,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1489,12.5067,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
49.5636111111,12.5175,2014,5,NA,NA,NA,NA,NA,NA,NA,NA
50.2039,12.5186,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.2038888889,12.5186111111,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
52.9086,12.5269,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.1513888889,12.5308333333,2014,6,NA,NA,NA,NA,NA,NA,NA,NA
50.1516666667,12.5319444444,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.2113888889,12.5797222222,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.135,12.5828,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
50.1347222222,12.5977777778,2014,3,NA,NA,NA,NA,NA,NA,NA,NA
52.6169,12.8358,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
49.8811,12.935,2014,4,NA,NA,NA,NA,NA,NA,NA,NA
50.0919,12.9428,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
52.7297,12.9925,2014,1,NA,NA,NA,NA,NA,NA,NA,NA
52.8136,13.0161,2014,3,NA,NA,NA,NA,NA,NA,NA,NA
50.1083,13.0325,2014,6,NA,NA,NA,NA,NA,NA,NA,NA
52.6372,13.0447,2014,5,NA,NA,NA,NA,NA,NA,NA,NA
49.9169444444,13.0488888889,2014,2,NA,NA,NA,NA,NA,NA,NA,NA
