Transect,State,Locality,Code,ID_mouse,Sex,Species,Year,Capture,Dissection,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver_mass,Spleen_mass,Testis_mass,Left epididymis weight,Seminal vesicle weight,Embryo,Notes
,,,,,nb male :,93,,,,159,,,,,,,,,,,
,,,,,nb female :,117,,,,,,,,,,,,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0028,male,mus musculus,2016,07.06.2016,07 or 08.06.2016,,,23.69,90,65 (shorten),0.92,49,0.060/0.064,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0029,male,mus musculus,2016,07.06.2016,07 or 08.06.2016,,,19883,86,77,948,29,0.181 both,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0030,female,mus musculus,2016,07.06.2016,07 or 08.06.2016,,,22283,95,86,1308,43,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0031,female,mus musculus,2016,07.06.2016,07 or 08.06.2016,,,20478,91,85,1115,54,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0032,male,mus musculus,2016,07.06.2016,07 or 08.06.2016,,,20062,84,79,NA,48,0.050/0.057,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0033,male (young),mus musculus,2016,07.06.2016,07 or 08.06.2016,,,14066,75,74,732,17,0.021/0.091,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0034,male,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,21676,88,84,1.01,0.02,0.083/0.085,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0035,female,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,22595,89,82,1304,42,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0036,female,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,16985,81,82,0.9,38,NA,,,,
HZ_BR,Germany,Wildpark Schorfheide,SCHORF16,AA_0037,male,mus musculus,2016,08.06.2016,08 or 09.06.2016,,,24.79,90,89,1357,67,0.065/0.068,,,,
