Transect,State,Locality,Code,ID_mouse,Sex,Species,Year,Capture,Dissection,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver_mass,Spleen_mass,Testis_mass,Left epididymis weight,Seminal vesicle weight,Embryo,Notes
,,,,,nb male :,93,,,,159,,,,,,,,,,,
,,,,,nb female :,117,,,,,,,,,,,,,,,
HZ_BR,Germany,,E_DU19,AA_0151,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,19.01,85,87,NA,31,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0152,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,13.75,75,81,NA,17,0.058/0.059,12,33,,
HZ_BR,Germany,,E_DU19,AA_0153,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,13.03,75,75,NA,31,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0154,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,17.37,80,83,NA,51,0.016/0.018,13,118,,
HZ_BR,Germany,,E_DU19,AA_0155,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,14.96,78,85,NA,27,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0156,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,21269,90,85,NA,46,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0157,male (young),mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,11.63,69,77,NA,22,0.021/0.021,3,2,,
HZ_BR,Germany,,E_DU19,AA_0158,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,20.54,90,84,NA,53,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0159,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,26.38,89,85,NA,64,NA,NA,NA,,
HZ_BR,Germany,,E_DU19,AA_0160,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,20.26,86,78,NA,41,NA,NA,NA,,
HZ_BR,Germany,,E_DORW,AA_0161,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,fleas,15565,80,85,NA,32,NA,NA,NA,,
HZ_BR,Germany,,E_DORW,AA_0162,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,16.28,82,82,NA,37,NA,NA,NA,,
HZ_BR,Germany,,E_DORW,AA_0163,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,13.89,80,75,NA,45,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0164,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,14.46,80,80,NA,NA,0.066/0.066,23,81,,
HZ_BR,Germany,,E_HIND,AA_0165,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,11.39,73,81,NA,27,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0166,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,16418,84,84,NA,33,0.103/0.096,26,151,,
HZ_BR,Germany,,E_HIND,AA_0167,female,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,18.09,89,81,NA,38,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0168,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,11.83,70,75,NA,0.05,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0169,male,mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,17.1,81,80,NA,33,0.064/0.068,18,68,,
HZ_BR,Germany,,E_HIND,AA_0170,female (pregnant),mus musculus,2016,28.09.2016,29.09.2016,TRUE,FALSE,21551,86,90,NA,41,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0171,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,20567,84,90,NA,0.04,0.075/0.077,24,122,,
HZ_BR,Germany,,E_HIND,AA_0172,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,19.85,89,82,NA,39,NA,NA,NA,,
HZ_BR,Germany,,E_DOB1,AA_0173,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,fleas,17.61,83,70,NA,0.09,0.07/0.067,16,111,,"very small stomach, light MES, light liver, light kidney"
HZ_BR,Germany,,E_HIND,AA_0174,female (pregnant),mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,28.14,85,83,NA,27,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0175,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,15.9,81,80,NA,0.04,NA,NA,NA,,
HZ_BR,Germany,,E_HIND,AA_0176,female (pregnant),mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,18.9,80,81,NA,0.06,NA,NA,NA,,
HZ_BR,Germany,,STEG1,AA_0177,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,16.59,82,71,NA,0.03,0.080/0.070,22,124,,
HZ_BR,Germany,,E_GERS,AA_0178,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,11955,74,69,NA,0.02,NA,NA,NA,,
HZ_BR,Germany,,E_GERS,AA_0179,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,fleas,12.41,75,69,NA,21,0.065/0.067,14,43,,
HZ_BR,Germany,,E_ZOOT,AA_0180,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,25.49,104,90,NA,34,NA,NA,NA,,
HZ_BR,Germany,,E_ZOOT,AA_0181,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,fleas,17553,80,82,NA,0.03,0.071/0.084,21,56,,
HZ_BR,Germany,,E_NE20,AA_0182,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,17.69,88,86,NA,43,NA,NA,NA,,
HZ_BR,Germany,,E_ZOOT,AA_0183,male,mus musculus,2016,28.09.2016,30.09.2016,TRUE,fleas,17.75,82,81,NA,47,0.072/0.076,0.02,132,,
HZ_BR,Germany,,E_ZOOT,AA_0184,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,18359,90,80,NA,51,NA,NA,NA,,
HZ_BR,Germany,,DOBB8,AA_0185,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,14.4,79,70,NA,53,0.054/0.061,17,86,,
HZ_BR,Germany,,DOBB8,AA_0186,female,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,11.16,70,60,NA,33,NA,NA,NA,,
HZ_BR,Germany,,DOBB8,AA_0187,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,15.53,80,65,NA,61,0.025/0.031,14,73,,
HZ_BR,Germany,,DOBB8,AA_0188,female,mus musculus,2016,29.09.2016,30.09.2016,TRUE,fleas,9.07,67,59,NA,22,NA,NA,NA,,
HZ_BR,Germany,,DOBB8,AA_0189,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,fleas,19.24,85,70,NA,113,0.041/0.042,15,104,,
HZ_BR,Germany,,E_HIND,AA_0190,female,mus musculus,2016,28.09.2016,30.09.2016,TRUE,FALSE,21.23,95,91,NA,33,NA,NA,NA,,
HZ_BR,Germany,,E_DOB1,AA_0191,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,fleas,18.93,86,71,NA,319,0.048/0.053,16,0.08,,
HZ_BR,Germany,,E_MA20,AA_0192,female,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,7894,64,59,NA,12,NA,NA,NA,,
HZ_BR,Germany,,E_MA20,AA_0193,female,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,16.04,86,75,NA,11,NA,NA,NA,,
HZ_BR,Germany,,E_MA20,AA_0194,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,15.21,79,75,NA,11,0.073/0.075,17,0.06,,
HZ_BR,Germany,,E_MA20,AA_0195,female (pregnant),mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,16.65,84,78,NA,23,NA,NA,NA,,
HZ_BR,Germany,,E_AD23,AA_0196,male,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,15.92,81,75,NA,0.04,0.054/0.050,16,66,,
HZ_BR,Germany,,E_MA20,AA_0197,female,mus musculus,2016,29.09.2016,30.09.2016,TRUE,FALSE,15.07,83,75,NA,19,NA,NA,NA,,
HZ_BR,Germany,,E_AMR1,AA_0198,male,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,6443,58,49,NA,0.01,0.012/0.011,1,1,,
HZ_BR,Germany,,E_AD23,AA_0199,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,11.32,70,69,NA,21,NA,NA,NA,,
HZ_BR,Germany,,E_AD23,AA_0200,male,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,11,69,59,NA,51,0.009/0.008,2,2,,
HZ_BR,Germany,,E_AD23,AA_0201,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,15.85,80,73,NA,38,NA,NA,NA,,
HZ_BR,Germany,,E_AD23,AA_0202,male,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,17833,81,NA,NA,65,0.064/0.064,18,79,,
HZ_BR,Germany,,E_ST18,AA_0203,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,fleas,10.43,68,68,NA,31,NA,NA,NA,,
HZ_BR,Germany,,E_AD23,AA_0204,male,mus musculus,2016,29.09.2016,31.09.2016,TRUE,fleas,12.52,74,70,NA,28,0.041/0.043,11,96,,
HZ_BR,Germany,,E_ST18,AA_0205,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,fleas,18.28,85,77,NA,67,NA,NA,NA,,
HZ_BR,Germany,,E_AD23,AA_0206,male,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,11.8,71,65,NA,0.03,0.008/0.012,2,2,,
HZ_BR,Germany,,E_MO12,AA_0207,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,fleas,15.29,83,73,NA,46,NA,NA,NA,,
HZ_BR,Germany,,E_ST18,AA_0208,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,fleas,15.56,90,80,NA,52,NA,NA,NA,,
HZ_BR,Germany,,E_MO12,AA_0209,female (pregnant),mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,14.32,79,71,NA,32,NA,NA,NA,,
HZ_BR,Germany,,LETS38,AA_0210,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,16625,84,76,NA,26,NA,NA,NA,,
HZ_BR,Germany,,E_MA20,AA_0211,female,mus musculus,2016,29.09.2016,31.09.2016,TRUE,FALSE,14.01,82,79,NA,16,NA,NA,NA,,
