Mouse_ID,Transect,State,Address,Code,Latitude,Longitude,Sex,Status,Species,Year,Capture,Dissection,Dissectors,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,Left.epididymis.weight,Seminal.vesicle.weight,Left.ovarium.weight,Right.ovarium.weight,Total,Embryo_left,Embryo_right,Feces_weight,Worms_presence,Syphacia_cecum_colon,Cysticercus_tenia_teniformis_liver,Catotenia_pusilla_SI,Mastophorus_stomach_SI,Heterakis_spumosa_colon_cecum,Tapeworm_SI,Trichuris_cecum,Aspiculuris_colon,Hymenolepis_SI,Rodentolepis_liver_digtract,Mesocoides_body_cavities,Mesocoides_lungs,Heigmosomoides_polyguis,H_diminita?,Notes
AA_0253,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,16.71,85.36,80.96,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0254,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,16.46,82.03,79.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0255,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,male,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,FALSE,8.76,65.53,75.2,0.0127,0.0151,0.0154,NA,NA,NA,NA,NA,NA,NA,0.06,TRUE,40,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0256,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,TRUE,19.31,83.51,90.74,0.09,NA,NA,NA,NA,NA,NA,NA,0,0,0.28,TRUE,0,0,0,46,0,0,0,0,0,0,0,0,0,,NA
AA_0257,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,male,adult,Mus musculus,2017,11/09/17,12/09/17,German,TRUE,16.84,82.62,75.34,0.03,0.0859,0.0842,0.029,NA,NA,NA,NA,NA,NA,0.85,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0258,HZ_BR,Germany,SCHEN8h,SCHEN8h,52.2747,13.595,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,13.03,77.94,77.52,0.03,NA,NA,NA,NA,NA,NA,NA,0,0,0.3,TRUE,6,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0259,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,12.85,71.94,73.96,0.05,NA,NA,NA,NA,NA,NA,NA,0,0,0.28,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0260,HZ_BR,Germany,BESTE6,BESTE6,52.2225,13.6025,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,17.82,83.01,79.18,0.07,NA,NA,NA,NA,NA,NA,NA,0,0,0.34,TRUE,9,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0261,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,male,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,11.69,72,71.17,0.02,0.0221,0.0242,0.0031,NA,NA,NA,NA,NA,NA,0.43,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,0,,NA
AA_0262,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,TRUE,21.39,87.56,83.37,0.08,NA,NA,NA,NA,NA,NA,NA,0,0,0.2,TRUE,20,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0263,HZ_BR,Germany,Marienhof 6 15741 Bestensee,MARIE,52.2458,13.5994,female,pregadultnt,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,27.83,83.43,80.67,0.03,NA,NA,NA,NA,NA,NA,NA,5,2,0.27,TRUE,8,0,0,1,1,0,2,0,1,0,0,0,0,,check the worms
AA_0264,HZ_BR,Germany,Erkner Kinderbauernhof,ERKNKI,52.3989,13.7581,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,18.98,82.8,75.69,0.03,NA,NA,NA,NA,NA,NA,NA,0,0,0.19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0265,HZ_BR,Germany,Walter-rathenau strasse 14 Neu Zittenau,NA,52.384336,13.760233,male young,young,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,8.33,63.74,63.49,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0266,HZ_BR,Germany,PFLASTERSTR.,NA,52.6788854,14.0506342,na,adult,Mus musculus,2017,11/09/17,12/09/17,Czech,NA,14.7,79.68,78.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol (1 tube “All digestive tract”)
AA_0267,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,female,adult,Mus musculus,2017,11/09/17,12/09/17,German,FALSE,16.24,79.5,84.22,0.04,NA,NA,NA,NA,NA,NA,NA,0,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
