Code,Team,Address,Latitude,Longitude,Date_set,Time_set,Number_traps_set,Date_collect,Time_collect,Number_rodents_caught,Number_mus_caught,Other_samples,Mice_IDs,People
LINDH8,A,Joachimsthal Forst 8,52.994488,13.677423,10/09/17,17:30:00,24,11/09/17,11:00:00,4,0,,,"Sükrü, Erik, Anna"
HAMMER1,A,Mittelweg 1,52.88,13.4392,10/09/17,14:30:00,6,12/09/17,12:45:00,0,0,,,"Sükrü, Erik, Anna"
LIEBWILDPFERDE,A,Wildpferdgehege Leibenthal,52.914774,13.433735,10/09/17,15:45:00,16,12/09/17,13:15:00,0,0,,,"Sükrü, Erik, Anna"
SCHORFHOF,A,Wildpark Schorfheide,52.921731,13.547089,11/09/17,12:15:00,46,12/09/17,16:30:00,9,9,,,"Sascha, Erik, Anna"
REITBOESE,A,Reiterhof Böse,52.896941,13.535213,11/09/17,13:00:00,40,12/09/17,15:00:00,5,5,,,"Sascha, Erik, Anna"
HAMMERKOMBI,A,,52.877944,13.445731,11/09/17,14:30:00,36,12/09/17,12:30:00,0,0,,,"Sascha, Erik, Anna"
LANK16,A,Wandlizerstr. 16 16346,52.757551,13.523808,11/09/17,17:30:00,24,12/09/17,11:30:00,6,0,,,"Sascha, Erik, Anna"
GIEL68,C,"Alt-Gielsdorf 68, 15345",52.6053,13.8756,11/09/17,12:13:00,14,12/09/17,10:30:00,9,9,,,"Nico, Sabrina, Tabea"
,D,"Kiefernweg 8, 15537 Gosen-Neu Zittau",52.374656,13.777103,11/09/17,13:35:00,10,12/09/17,15:00:00,1,1,,,"Jana, Robin, Sükrü, Cem"
,D,Gubhof 46,52.398664,14.100445,11/09/17,15:10:00,20,12/09/17,13:30:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,D,Steinhöfel Buchenholzer Dorfstraße,52.424077,14.116322,11/09/17,17:30:00,12,12/09/17,11:50:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,D,Steinhöfel Buchenholzer Dorfstraße ,52.424996,14.114678,11/09/17,17:20:00,6,12/09/17,14:30:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,D,"Buchenholzer Dorfstraße 23, 15518 Fürstenwalde",52.42666,14.11359,11/09/17,17:00:00,24,12/09/17,12:00:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,D,"Steinhöfer Chausee 5, 15518 Neundorf",52.388959,14.111142,11/09/17,14:30:00,10,12/09/17,13:00:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,E,"Dorfanger 7, 15754 Hebersee",52.242473,13.70713,11/09/17,17:30:00,23,12/09/17,11:00:00,2,2,,,"Yasmin, Mona, Mert"
,D,Reitsport Münderhofe,52.496944,13.677066,12/09/17,18:00:00,43,13/09/17,11:45:00,4,4,,,"Jana, Robin, Sükrü, Cem"
,D,Buchenholzer Weg 3,52.438036,14.101097,12/09/17,12:40:00,7,13/09/17,16:30:00,0,0,,,"Jana, Robin, Sükrü, Cem"
,A,Wildpark Schorfheide,52.921731,13.547089,12/09/17,16:00:00,24,13/09/17,12:00:00,0,0,,,"Sascha, Erik, Anna"
,A,Reiterhof Böse,52.896941,13.535213,12/09/17,13:05:00,12,13/09/17,11:30:00,1,1,,,"Sascha, Erik, Anna"
,C,"Siedlung 12, 16269 Wrietzen",52.712247,14.066834,12/09/17,13:30:00,15,13/09/17,10:45:00,0,0,,,"Tabea, Sabrina, Julia"
,C,"Alt Gaul 26b, 16269 Wriezen",52.738064,14.095413,12/09/17,14:30:00,40,13/09/17,11:30:00,7,7,,,"Tabea, Sabrina, Julia"
,C,"Croustillier 17, 16259 Oderaue",52.791376,14.116181,12/09/17,16:00:00,27,13/09/17,10:15:00,6,6,,,"Tabea, Sabrina, Julia"
BOCK34,B,,53.1333,13.75500,12/09/17,12:44:00,22,13/09/17,13:13:00,0,0,,,"Lukas, Lina, Saskia"
ORTB7,B,Berkenlatten,53.1406,13.7586,12/09/17,12:02:00,12,13/09/17,12:19:00,1,1,,,"Lukas, Lina, Saskia"
TEMM,B,"Lindenallee 3a, Alt-Temmen",53.09666,13.7555,12/09/17,13:33:00,40,13/09/17,11:30:00,0,0,,,"Lukas, Lina, Saskia"
,B,"Hauptstr. 1, 16248 Hohenfinow",52.814205,13.924277,12/09/17,10:00:00,53,13/09/17,09:30:00,0,0,,,"Lukas, Lina, Saskia"
,E,Heidensee 15754 Langer See 45,52.235443,13.787984,12/09/17,12:45:00,24,13/09/17,11:40:00,0,0,,,"Yasmin, Mert"
,E,Dorfplatz 1 Heidensee 15754,52.245935,13.802619,12/09/17,13:45:00,26,12/09/17,??,0,0,,,"Yasmin, Mert"
,E,"Alte Dorfstraße 31, 15859 Storkow",52.242982,13.867386,12/09/17,16:00:00,24,13/09/17,18:15:00,7,7,,,"Yasmin, Mert"
,E,"Storkow, 15859 Storkow",52.236326,13.871527,12/09/17,??,11,13/09/17,18:00:00,0,0,,,"Yasmin, Mert"
,E,"Neue Str. 7, 15754 Heidesee",52.217559,13.823642,12/09/17,??,24,13/09/17,??,0,0,,,"Yasmin, Mert"
,F,Erste-Kolonie 39,51.830746,14.076701,12/09/17,13:00:00,20,13/09/17,12:00:00,1,0,,,"Emanuel, Sven"
,F,Dübener Haupstr. 24,51.897811,13.809616,12/09/17,09:15:00,30,13/09/17,13:25:00,2,,,,"Emanuel, Sven"
,F,"Neuendorfer Dorfstr. 4, 15907 Lübben",51.908938,13.859796,12/09/17,10:00:00,30,13/09/17,14:35:00,0,0,,,"Emanuel, Sven"
,F,"Boblitzer Spreestr. 36, Lübbenau",51.84028,13.987939,12/09/17,11:23:00,15,13/09/17,12:55:00,0,0,,,"Emanuel, Sven"
,F,Radduscher Dorfstraße 15,51.817611,14.042841,12/09/17,12:15:00,17,13/09/17,12:30:00,0,0,,,"Emanuel, Sven"
,E,Weg zur Mühle 29 Heidesee,52.297386,13.785319,13/09/17,14:30:00,22,14/09/17,11:45:00,0,0,,,"Yasmin, Mert"
,E,Hoehanh,52.203601,13.831581,13/09/17,16:45:00,22,14/09/17,14:15:00,0,0,,,"Yasmin, Mert"
,E,Spreehagenstr. 1 15754 Heidesee,52.269419,13.834069,13/09/17,13:00:00,24,14/09/17,??,5,2,,,"Yasmin, Mert"
,B,,53.1406,13.7586,13/09/17,12:25:00,9,14/09/17,13:00:00,0,0,,,"Lukas, Lina, Saskia"
,B,"Steinhöflerweg 13, 17278 Stegelitz",53.123442,13.853654,13/09/17,13:43:00,4,14/09/17,12:30:00,0,0,,,"Lukas, Lina, Saskia"
