Year ,Transect ,Code ,ID_mouse ,Worms_presence ,Intestinal_content_sample ,Intestinal_content_DNA ,Cecum_content_sample ,Cecum_content_DNA ,Colon_content_sample ,Colon_content_DNA ,Ap5_PCR,18S_PCR,COI_PCR,SSU_PCR,LSU_PCR,ORF470_PCR
2014,HZ_CZ ,VRBI4 ,SK2695,FALSE,1,1,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA
2014,HZ_CZ ,KUBL1 ,SK2696,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NEB3 ,SK2697,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,DODV ,SK2698,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,DODV ,SK2699,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2700,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,VER15 ,SK2701,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2702,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,VER15 ,SK2703,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,TYN4 ,SK2704,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,PAST ,SK2705,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NEB64 ,SK2706,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NEB64 ,SK2707,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
2014,HZ_CZ ,NEB64 ,SK2708,FALSE,1,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
