"counter","Mouse_ID","Feces_g","PBS_dil_in_mL","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","positive_too_low_to_count","comments","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","OPG"
"Lorenzo","SK_3091","0.093","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3092","0.724","1","0","0","0","0","FALSE","very low","0","0","0","0","0","0"
"Lorenzo","SK_3093","0.14","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3094","0.149","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3095","0.165","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3096","0.148","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3097","0.124","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3098","0.196","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3099","0.033","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3100","0.089","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3101","0.193","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3102","0.533","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3103","0.229","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3104","0.285","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3105","0.277","1","0","0","0","0","FALSE","very low","0","0","0","0","0","0"
"Lorenzo","SK_3106","0.201","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3107","0.231","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3108","0.274","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3109","0.123","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3110","0.06","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3111","0.209","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3112","0.241","1","0","0","0","0","FALSE","very low","0","0","0","0","0","0"
"Lorenzo","SK_3113","0.223","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3114","0.381","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3115","0.294","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3116","0.219","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3117","0.158","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3118","0.233","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3119","0.218","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3120","0.276","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3121","0.125","1","0","0","0","0","TRUE","low","0","0","0","0","0","0"
"Lorenzo","SK_3122","0.156","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3123","0.224","1","0","0","0","0","FALSE","low","0","0","0","0","0","0"
"Lorenzo","SK_3124","0.204","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3125","0.626","1","0","0","0","0","FALSE","very low","0","0","0","0","0","0"
"Lorenzo","SK_3126","0.252","1","3","2","4","4","FALSE","","3","2","4","4","3.25","128968.253968254"
"Lorenzo","SK_3127","0.189","1","9","6","6","10","FALSE","","9","6","6","10","7.75","410052.91005291"
"Lorenzo","SK_3129","0.251","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3130","0.197","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3131","0.167","1","6","6","3","5","FALSE","","6","6","3","5","5","299401.19760479"
"Lorenzo","SK_3132","0.138","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3133","0.154","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3134","0.122","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3135","0.141","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3136","0.207","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3137","0.223","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3138","0.191","1","0","0","0","0","FALSE","low","0","0","0","0","0","0"
"Lorenzo","SK_3139","0.254","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3140","0.32","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3141","0.212","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3142","0.219","1","0","0","0","0","FALSE","high","0","0","0","0","0","0"
"Lorenzo","SK_3143","0.162","1","0","0","0","0","FALSE","high","0","0","0","0","0","0"
"Lorenzo","SK_3144","0.058","1","0","0","0","0","FALSE","high","0","0","0","0","0","0"
"Lorenzo","SK_3145","0.131","1","0","0","0","0","FALSE","high","0","0","0","0","0","0"
"Lorenzo","SK_3146","0.211","1","0","0","0","0","FALSE","medium","0","0","0","0","0","0"
"Lorenzo","SK_3147","0.141","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3148","0.173","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3149","0.158","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3150","0.255","1","0","0","0","0","TRUE","medium","0","0","0","0","0","0"
"Lorenzo","SK_3151","0.148","1","2","1","2","2","FALSE","","2","1","2","2","1.75","118243.243243243"
"Lorenzo","SK_3152","0.042","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3154","0.153","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3155","0.119","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3156","0.159","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3157","0.082","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3158","0.199","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3159","0.221","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3160","0.331","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3161","0.231","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3162","0.411","1","0","0","0","0","FALSE","medium","0","0","0","0","0","0"
"Lorenzo","SK_3164","0.416","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3165","0.243","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3166","0.279","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3167","0.195","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3168","0.282","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3169","0.424","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3170","0.289","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3171","0.183","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3172","0.33","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3173","0.278","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3174","0.11","1","4","5","6","12","FALSE","","4","5","6","12","6.75","613636.363636364"
"Lorenzo","SK_3175","0.246","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3176","0.266","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3178","0.334","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3179","0.218","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3180","0.239","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3181","0.448","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3182","0.615","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3183","0.25","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3184","0.126","1","1","2","3","0","FALSE","","1","2","3","0","1.5","119047.619047619"
"Lorenzo","SK_3185","0.324","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3186","0.331","1","0","0","0","0","FALSE","low","0","0","0","0","0","0"
"Lorenzo","SK_3187","0.191","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3188","0.191","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3189","0.178","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3190","0.137","1","0","0","0","0","FALSE","med/low","0","0","0","0","0","0"
"Lorenzo","SK_3191","0.172","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
"Lorenzo","SK_3207","0.333","1","0","0","0","0","FALSE","","0","0","0","0","0","0"
