"Mouse_ID","OPG","counter","year"
"AA_0128",0,"Enas","2016"
"AA_0129",0,"Enas","2016"
"AA_0130",0,"Enas","2016"
"AA_0131",0,"Enas","2016"
"AA_0132",0,"Enas","2016"
"AA_0133",0,"Enas","2016"
"AA_0134",0,"Enas","2016"
"AA_0135",0,"Enas","2016"
"AA_0136",0,"Enas","2016"
"AA_0137",116041,"Enas","2016"
"AA_0138",0,"Enas","2016"
"AA_0139",290102,"Enas","2016"
"AA_0140",23208,"Enas","2016"
"AA_0141",0,"Enas","2016"
"AA_0142",0,"Enas","2016"
"AA_0143",0,"Enas","2016"
"AA_0144",0,"Enas","2016"
"AA_0145",0,"Enas","2016"
"AA_0146",0,"Enas","2016"
"AA_0001",0,"Phuong","2016"
"AA_0002",0,"Phuong","2016"
"AA_0003",0,"Phuong","2016"
"AA_0004",0,"Phuong","2016"
"AA_0005",0,"Phuong","2016"
"AA_0006",0,"Phuong","2016"
"AA_0007",0,"Phuong","2016"
"AA_0008",0,"Phuong","2016"
"AA_0009",0,"Phuong","2016"
"AA_0010",0,"Phuong","2016"
"AA_0011",0,"Phuong","2016"
"AA_0012",0,"Phuong","2016"
"AA_0013",0,"Phuong","2016"
"AA_0014",0,"Phuong","2016"
"AA_0015",0,"Phuong","2016"
"AA_0017",0,"Phuong","2016"
"AA_0018",0,"Phuong","2016"
"AA_0019",0,"Phuong","2016"
"AA_0020",0,"Phuong","2016"
"AA_0021",0,"Phuong","2016"
"AA_0022",0,"Phuong","2016"
"AA_0023",0,"Phuong","2016"
"AA_0024",0,"Phuong","2016"
"AA_0025",0,"Phuong","2016"
"AA_0026",0,"Phuong","2016"
"AA_0027",0,"Phuong","2016"
"AA_0028",0,"Phuong","2016"
"AA_0029",0,"Phuong","2016"
"AA_0030",0,"Phuong","2016"
"AA_0031",0,"Phuong","2016"
"AA_0032",0,"Phuong","2016"
"AA_0033",0,"Phuong","2016"
"AA_0034",0,"Phuong","2016"
"AA_0035",0,"Phuong","2016"
"AA_0036",0,"Phuong","2016"
"AA_0037",0,"Phuong","2016"
"AA_0038",0,"Phuong","2016"
"AA_0039",0,"Phuong","2016"
"AA_0040",0,"Phuong","2016"
"AA_0041",0,"Phuong","2016"
"AA_0042",0,"Phuong","2016"
"AA_0043",0,"Phuong","2016"
"AA_0045",0,"Phuong","2016"
"AA_0046",0,"Phuong","2016"
"AA_0162",0,"Phuong","2016"
"AA_0163",0,"Phuong","2016"
"AA_0164",0,"Phuong","2016"
"AA_0165",8e+05,"Phuong","2016"
"AA_0166",0,"Phuong","2016"
"AA_0167",3e+05,"Phuong","2016"
"AA_0168",0,"Phuong","2016"
"AA_0169",6e+05,"Phuong","2016"
"AA_0170",0,"Phuong","2016"
