Year ,Transect,Code ,Mouse_ID,CEWE_Tissue,CEWE_DNA,qPCR_Result_C,18S_PCR_C,18S_Sequence_C,COI_PCR_C,COI_Sequence_C,ORF_PCR_C,ORF_Sequence_C,ILWE_Tissue,ILWE_DNA,qPCR_Result_I,18S_PCR_I,18S_Sequence_I,COI_PCR_I,COI_Sequence_I,ORF_PCR_I,ORF_Sequence_I,
2014,HZ_CZ ,VER15 ,SK_2737,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,VER15 ,SK_2738,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRASIK ,SK_2739,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,HUR3 ,SK_2740,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BLAZI ,SK_2741,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SEYB ,SK_2742,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SEYB ,SK_2743,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BLAZI ,SK_2744,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BEZ2 ,SK_2745,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,HUR3 ,SK_2746,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,HUR3 ,SK_2747,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MUNR ,SK_2748,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MUNR ,SK_2749,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ60 ,SK_2750,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BLAZI ,SK_2751,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,ODM4 ,SK_2752,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,ODM4 ,SK_2753,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BLAZI ,SK_2754,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BEZ2 ,SK_2755,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,PAST ,SK_2756,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MUNR ,SK_2757,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BEZ2 ,SK_2758,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,ROSE ,SK_2759,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BEZ1 ,SK_2760,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,BEZ1 ,SK_2761,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,NEBFP ,SK_2762,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,MUNR ,SK_2763,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ1 ,SK_2764,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ1 ,SK_2765,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ1 ,SK_2766,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,KRIZ1 ,SK_2767,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SEYB ,SK_2768,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SEYB ,SK_2769,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SABIH ,SK_2770,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,SABIH ,SK_2771,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,HOHBG1 ,SK_2772,,,,,,,,,,,,,,,,,,,
2014,HZ_CZ ,HOHBG1 ,SK_2773,,,,,,,,,,,,,,,,,,,
