Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,oocysts_per_mL(N*10000/dil),OPG
AA_0047,1,2016,Alice,April2018,14,17,18,16,NA,NA,NA,NA,16.25,,0.1,1625000,1625000
AA_0048,1,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0049,1,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0050,1,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0051,1,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0052,1,2016,Alice,April2018,1,1,3,2,0,3,0,1,1.375,,0.1,137500,137500
AA_0053,1,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0054,1,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0055,1,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0058,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0059,2,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0060,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0061,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0062,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0063,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0064,2.5,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0065,2.5,2016,Alice,April2018,1,0,0,0,1,0,0,0,0.25,,0.1,25000,10000
AA_0066,2.5,2016,Enas,2017,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,Positive_LOST,0.1,Positive_LOST,Positive_LOST
AA_0067,2.5,2016,Alice,April2018,1,0,0,0,0,0,0,0,0.125,,0.1,12500,5000
AA_0068,2.5,2016,Alice,April2018,4,4,3,0,1,2,1,2,2.125,,0.1,212500,85000
AA_0069,2.5,2016,Alice,April2018,3,5,3,4,3,8,5,2,4.125,,0.1,412500,165000
AA_0070,2.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0071,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0072,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0073,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0074,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0075,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0076,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0077,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0078,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0079,2.5,2016,Enas,2017,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0080,2.5,2016,Alice,April2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
