sample.ID,delta_ct_cewe,delta_ct_ilwe,observer_qpcr
AA_0048,9.5633333333,10.2533333333,Mert
AA_0049,10.4533333333,10.5766666667,Mert
AA_0050,10.22,11.0466666667,Mert
AA_0051,9.6133333333,9.56,Mert
AA_0052,10.19,9.9466666667,Mert
AA_0053,0.27,8.7433333333,Mert
AA_0054,7.1366666667,1.5566666667,Mert
AA_0055,9.0233333333,8.6033333333,Mert
AA_0056,9.2466666667,8.0766666667,Mert
AA_0057,9.2533333333,9.0333333333,Mert
AA_0058,8.9033333333,8.8166666667,Mert
AA_0059,10.0066666667,8.89,Mert
AA_0060,8.5633333333,9.34,Mert
AA_0061,8.8866666667,9.6,Mert
AA_0062,8.0066666667,8.3666666667,Mert
AA_0063,7.97,8.7966666667,Mert
AA_0065,2.2166666667,9.0133333333,Mert
AA_0067,3.5933333333,8.52,Mert
AA_0071,7.7,8.7466666667,Mert
AA_0072,7.3366666667,8.16,Mert
AA_0073,7.1533333333,9.0333333333,Mert
AA_0074,10.63,10.9766666667,Mert
AA_0075,10.14,10.9066666667,Mert
AA_0076,7.6033333333,11.2866666667,Mert
AA_0077,9.7933333333,11.7466666667,Mert
AA_0078,10.6433333333,11.3166666667,Mert
AA_0079,-2.9,11.0633333333,Mert
AA_0081,6.8133333333,10.6933333333,Mert
AA_0082,0.3533333333,10.59,Mert
AA_0083,8.2633333333,10.9066666667,Mert
AA_0084,9.7366666667,11.2866666667,Mert
AA_0085,9.7166666667,11,Mert
AA_0086,9.77,11.4333333333,Mert
AA_0087,10.6266666667,10.7333333333,Mert
AA_0089,10.37,11.2,Mert
AA_0090,9.5333333333,11.1733333333,Mert
AA_0091,9.8533333333,9.9966666667,Mert
AA_0092,8.9033333333,10.7966666667,Mert
AA_0093,9.4833333333,10.33,Mert
AA_0094,-0.9433333333,10.5266666667,Mert
AA_0095,5.8366666667,10.6333333333,Mert
AA_0096,9.7066666667,11.2333333333,Mert
AA_0097,9.9,10.96,Mert
AA_0098,10.4333333333,11.0333333333,Mert
AA_0099,9.8933333333,10.2733333333,Mert
AA_0101,9.5466666667,10.8366666667,Mert
AA_0102,10.2866666667,10.7933333333,Mert
AA_0103,9.9,11.2466666667,Mert
AA_0104,10.5866666667,11.0333333333,Mert
AA_0105,9.7033333333,9.115,Mert
AA_0106,8.4566666667,8.6266666667,Mert
AA_0107,8.9333333333,9.8333333333,Mert
AA_0108,8.83,9.7566666667,Mert
AA_0109,8.0766666667,9.61,Mert
AA_0110,8.6366666667,10.25,Mert
AA_0111,0.6966666667,-1.93,Mert
AA_0112,0.0766666667,5.9333333333,Mert
AA_0113,1.45,8.7166666667,Mert
AA_0114,5.3933333333,8.6166666667,Mert
AA_0115,8.0266666667,8.51,Mert
AA_0117,8.7266666667,8.76,Mert
AA_0118,9.17,9.7533333333,Mert
AA_0119,8.5833333333,5.0166666667,Mert
AA_0120,2.77,8.8766666667,Mert
AA_0121,3.1266666667,9.6466666667,Mert
