Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,OPG
SK_3154,0.153,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3155,0.119,2015,Lorenzo,2017,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3156,0.159,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3157,0.082,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3158,0.199,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3159,0.221,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3160,0.331,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3161,0.231,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3162,0.411,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,nematode eggs,0.1,0
SK_3164,0.416,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3165,0.243,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3166,0.279,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3167,0.195,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3168,0.282,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3169,0.424,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,worm eggs,0.1,0
SK_3170,0.289,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3171,0.183,2015,Alice,Jan2018,0,1,0,0,0,0,1,0,0.25,,0.1,1366.1202185792
SK_3172,0.33,2015,Alice,Jan2018,1,0,1,0,0,0,0,0,0.25,,0.1,757.5757575758
SK_3173,0.278,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3174,0.11,2015,Alice,Jan2018,20,11,9,14,10,11,15,12,12.75,,0.1,115909.090909091
SK_3175,0.246,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3176,0.266,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3178,0.334,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,worms eggs cf alice lab book,0.1,0
SK_3179,0.218,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3180,0.239,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3181,0.448,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,cestode eggs,0.1,0
SK_3182,0.615,2015,Alice,Jan2018,1,0,1,0,0,0,0,0,0.25,,0.1,406.5040650407
SK_3183,0.25,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3184,0.126,2015,Alice,Jan2018,6,10,13,9,4,13,11,9,9.375,,0.1,74404.7619047619
SK_3185,0.324,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,another coccidia?,0.1,0
SK_3186,0.331,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3187,0.191,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3188,0.191,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,worms eggs cf alice lab book,0.1,0
SK_3189,0.178,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3190,0.137,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,trichuris eggs,0.1,0
SK_3191,0.172,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3192,NA,2015,Alice,Jan2018,1,0,0,0,1,0,0,0,0.25,"not sure  just one. nematode eggs",0.1,NA
SK_3207,0.33,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3208,0.207,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3209,0.311,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3210,0.234,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3211,0.139,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
SK_3212,0.224,2015,Alice,Jan2018,0,0,0,0,0,0,0,0,0,,0.1,0
