"Mouse_ID","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_microL","oocysts_per_microL","OPG"
"SK_3121",125,2015,"Alice","Jan2018",3,0,0,0,0,3,0,1,875,"small eimeria",100,8.75,7000
"SK_3122",156,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3123",224,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"worms eggs cf alice lab book",100,0,0
"SK_3124",204,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3125",626,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3126",252,2015,"Alice","Jan2018",9,7,10,8,10,12,8,10,9.25,"",100,92.5,36706
"SK_3127",189,2015,"Alice","Jan2018",47,49,27,32,30,36,32,54,38375,"",100,383.75,203042
"SK_3129",251,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3130",197,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3131",167,2015,"Alice","Jan2018",18,19,7,22,13,15,23,22,17375,"",100,173.75,104042
"SK_3132",138,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3133",154,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3134",122,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3135",141,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3136",207,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"too cloudy for detection",100,0,0
"SK_3137",223,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3138",191,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"nematode eggs",100,0,0
"SK_3139",254,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"worms eggs cf alice lab book",100,0,0
"SK_3140",0.32,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3141",212,2015,"Alice","Jan2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,"trichuris eggs",100,NA,NA
"SK_3142",219,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"full of trichuris",100,0,0
"SK_3143",162,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3144",58,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"full of trichuris",100,0,0
"SK_3145",131,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"full of trichuris",100,0,0
"SK_3146",211,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3147",141,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
"SK_3148",173,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",100,0,0
