counter,Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,oocysts_in_feces,OPG,Nematoda,Insgesamt,potassium.dichromat,comment,year
Lorenzo,AA_0288,0.26,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0289,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0290,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0291,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0295,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0296,0.91,,1ml,,3,3,5,2,4,6,3,5,38750,42582,,NA,NA,,2017
Lorenzo,AA_0297,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0298,0.13,,1ml,,6,7,8,8,3,1,4,6,53750,413462,,NA,NA,,2017
Lorenzo,AA_0299,0.45,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0300,0.24,,1ml,Nematod,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0301,0.6,,1ml,check again,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2017
Lorenzo,AA_0302,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0303,0.04,,1ml,,0,0,0,0,0,1,1,0,2500,62500,,NA,NA,,2017
Lorenzo,AA_0304,0.69,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0306,0.46,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0307,0.56,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0308,0.52,,1ml,,1,1,0,1,0,0,2,1,7500,14423,,NA,NA,,2017
Lorenzo,AA_0309,0.06,,1ml,,0,0,1,0,0,0,0,1,2500,41667,,NA,NA,,2017
Lorenzo,AA_0310,0.07,,1ml,,0,0,0,0,1,0,0,0,1250,17857,,NA,NA,,2017
Lorenzo,AA_0311,0.29,,1ml,,0,1,0,1,0,0,0,0,2500,8621,,NA,NA,,2017
Lorenzo,AA_0312,0.45,,1ml,,4,0,3,8,3,3,0,3,30000,66667,positive,NA,NA,,2017
Lorenzo,AA_0313,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0314,0.12,,1ml,,0,1,2,2,3,2,1,3,17500,145833,,NA,NA,,2017
Lorenzo,AA_0315,0.79,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0316,0.31,,1ml,,5,1,2,2,4,0,0,1,18750,60484,,NA,NA,,2017
Lorenzo,AA_0317,0.49,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0318,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0319,0.84,,1ml,,1,7,2,6,4,2,5,4,38750,46131,positive,NA,NA,,2017
Lorenzo,AA_0320,0.74,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0321,0.41,,1ml,,1,0,1,0,1,1,3,0,8750,21341,,NA,NA,,2017
Lorenzo,AA_0322,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0323,0.75,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0324,0.33,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0325,0.29,,1ml,,0,0,1,0,0,2,0,0,3750,12931,,NA,NA,,2017
Lorenzo,AA_0326,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0327,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0328,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0329,0.61,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0330,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0331,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0332,0.4,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0333,0.46,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
