Mouse_ID,Feces_g,year,counter,Date_count,N_oocysts_sq1,N_oocysts_sq2,N_oocysts_sq3,N_oocysts_sq4,N_oocysts_sq5,N_oocysts_sq6,N_oocysts_sq7,N_oocysts_sq8,mean_neubauer,comments,PBS_dil_in_mL,oocysts_per_mL.N.10000.dil.,OPG
AA_0344,0.38,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0345,0.09,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0346,0.73,2017,Alice,March2018,2,2,2,1,2,2,2,1,1.75,,0.1,17500,2397.2602739726
AA_0347,0.04,2017,Alice,March2018,0,0,0,0,1,1,0,0,0.25,,0.1,2500,6250
AA_0348,0.04,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0349,0.49,2017,Alice,March2018,2,2,2,3,1,2,2,2,2,,1,20000,40816.3265306122
AA_0350,0.45,2017,Alice,March2018,3,0,2,1,1,1,1,2,1.375,,1,13750,30555.5555555556
AA_0351,0.14,2017,Alice,March2018,0,3,2,2,2,2,0,1,1.5,,0.1,15000,10714.2857142857
AA_0352,1.24,2017,Alice,March2018,0,1,1,2,0,2,0,0,0.75,,1,7500,6048.3870967742
AA_0353,0.58,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0354,0.08,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0355,0.41,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0356,0.16,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0358,0.05,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0359,0.44,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0365,0.08,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0366,0.33,2017,Alice,March2018,70,71,81,57,78,65,66,79,70.875,NA,0.1,708750,214772.727272727
AA_0367,0.06,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0368,0.51,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0369,0.75,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0370,0.73,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0371,0.29,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0372,0.03,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0373,0.77,2017,Alice,March2018,0,0,0,0,1,0,0,0,0.125,NA,0.1,1250,162.3376623377
AA_0374,0.22,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,,0.1,0,0
AA_0375,0.19,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
AA_0376,0.65,2017,Alice,March2018,0,0,0,0,0,0,0,0,0,NA,0.1,0,0
