counter,Mouse_ID,Feces_g,PBS_dil,N_oocysts_sq1,X,X.1,X.2,positive_too_low_to_count,oocysts_in_feces,OPG,Parasites,year
Lorenzo,SK_3167,0.195,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3168,0.282,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3169,0.424,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3170,0.289,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3171,0.183,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3172,0.33,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3173,0.278,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3174,0.11,1ml,4,5,6,12,FALSE,67500,613636,,2015
Lorenzo,SK_3175,0.246,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3176,0.266,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3178,0.334,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3179,0.218,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3180,0.239,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3181,0.448,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3182,0.615,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3183,0.25,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3184,0.126,1ml,1,2,3,0,FALSE,15000,119048,,2015
Lorenzo,SK_3185,0.324,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3186,0.331,1ml,0,0,0,0,FALSE,0,0,low,2015
Lorenzo,SK_3187,0.191,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3188,0.191,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3189,0.178,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3190,0.137,1ml,0,0,0,0,FALSE,0,0,med/low,2015
Lorenzo,SK_3191,0.172,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3207,0.333,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3208,0.207,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3209,0.311,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3210,0.234,1ml,0,0,0,0,FALSE,0,0,low,2015
Lorenzo,SK_3211,0.139,1ml,0,0,0,0,FALSE,0,0,,2015
Lorenzo,SK_3212,0.224,1ml,0,0,0,0,FALSE,0,0,,2015
