"Mouse_ID","year","OPG.lorenzo","OPG.enas","OPG.phuong","OPG.alice","X12_Ap5_PCR","X13_18S_Seq","X14_COI_Seq","X16_ORF470_Seq","PCRpos3markers"
"AA_0131",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0132",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0133",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0134",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0135",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0136",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0137",2016,NA,8000,NA,NA,FALSE,FALSE,NA,NA,"negative"
"AA_0138",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0139",2016,NA,20000,NA,NA,TRUE,TRUE,TRUE,TRUE,"positive"
"AA_0140",2016,NA,1600,NA,NA,NA,NA,NA,NA,NA
"AA_0141",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0142",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0143",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0144",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0145",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0146",2016,NA,0,NA,NA,NA,NA,NA,NA,NA
"AA_0147",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0148",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0149",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0150",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0151",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0152",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0153",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0154",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0155",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0156",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0157",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0158",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0159",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0160",2016,NA,0,0,NA,NA,NA,NA,NA,NA
"AA_0161",2016,NA,800,0,NA,NA,NA,NA,NA,NA
"AA_0162",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0163",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0164",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0165",2016,NA,NA,800000,NA,NA,TRUE,TRUE,TRUE,"positive"
"AA_0166",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0167",2016,NA,NA,300000,NA,NA,NA,NA,NA,NA
"AA_0168",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0169",2016,NA,NA,600000,NA,NA,TRUE,TRUE,TRUE,"positive"
"AA_0170",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0171",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0172",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0173",2016,NA,NA,600000,NA,FALSE,FALSE,TRUE,TRUE,"positive"
"AA_0174",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0175",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0176",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0177",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0178",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0179",2016,NA,NA,100000,NA,FALSE,FALSE,NA,NA,"negative"
"AA_0180",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0181",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0182",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0183",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0184",2016,NA,NA,700000,NA,NA,NA,NA,NA,NA
"AA_0185",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0186",2016,NA,NA,300000,NA,NA,NA,NA,NA,NA
"AA_0187",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0188",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0189",2016,NA,NA,300000,NA,NA,NA,NA,NA,NA
"AA_0190",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0191",2016,NA,NA,100000,NA,NA,NA,NA,NA,NA
"AA_0192",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0193",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0194",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0195",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0196",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0197",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0198",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0199",2016,NA,NA,100000,NA,NA,FALSE,NA,NA,"negative"
"AA_0200",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0201",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0202",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0203",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0204",2016,NA,NA,200000,NA,NA,NA,NA,NA,NA
"AA_0205",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0206",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0207",2016,NA,NA,100000,NA,NA,NA,NA,NA,NA
"AA_0208",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0209",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0210",2016,NA,NA,0,NA,NA,NA,NA,NA,NA
"AA_0211",2016,NA,NA,100000,NA,NA,NA,NA,NA,NA
"AA_0237",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0238",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0239",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0240",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0242",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0243",2017,25463,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0245",2017,154412,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0246",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0247",2017,19792,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0248",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0249",2017,64024,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0250",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0251",2017,6127,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0252",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0253",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0254",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0255",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0256",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0257",2017,41176,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0258",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0259",2017,17857,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0260",2017,11029,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0261",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
"AA_0262",2017,0,NA,NA,NA,NA,NA,NA,NA,NA
